[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,FCd_Down_30K
FILEOPENTIME,3772421499.98848,07/16/2019,6:51 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Cu2OSeO3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3772421651.76189,29.9067106246948,200.016342163086,,,5,,,,6.46999990567565,,,,,0.000701146765533259,1.41446886450409E-7,0.0752312217470994,0.000154652783031477,0.000701037166731554,1.41424776373001E-7,0.000701036562418536,9.0818118406471E-8,9.20484333002131E-7,1.08411423481391E-7,1.00015633807579,10.005763053894,2,20,10,3,2.29330364998978,0.204993938585672,0.0403775237500668,172.74836730957,29.9063148498535,29.9100208282471,200.016342163086,200.016342163086,,,29.5557327270508,0,1,,,,,,1,1,1,29.9063682556152,0,29.9076031771573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772421674.7913,29.9220972061157,180.247863769531,,,5,,,,6.46999990567565,,,,,0.000672226887498792,2.62864932772122E-7,0.139241560430954,0.000192517591587543,0.0006721217207973,2.62823808802772E-7,0.000672119736027151,2.28829601090429E-7,1.63340451736304E-6,1.29280192366778E-7,1.000156469726,10.005763053894,2,20,10,3,2.19849488405753,0.198948183361756,0.0403775237500668,172.74836730957,29.919282913208,29.9303817749023,180.247863769531,180.247863769531,,,29.4064865112305,0,1,,,,,,1,1,1,29.9235229492188,0,29.9246517528187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772421696.4888,29.9364948272705,160.236511230469,,,5,,,,6.46999990567565,,,,,0.000649628702892243,1.69553420836566E-7,0.115729685293622,0.00012006718212841,0.000649527089941536,1.6952689980491E-7,0.000649525764955183,1.5056378950173E-7,1.31195552681202E-6,7.79096595316838E-8,1.00015644143606,10.005763053894,2,20,10,3,2.12466994556155,0.191342629023811,0.0403775237500668,172.74836730957,29.9349422454834,29.9459762573242,160.236511230469,160.236511230469,,,29.3318634033203,0,1,,,,,,1,1,1,29.9376430511475,0,29.9393356323242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772421718.38153,29.9565296173096,140.261596679688,,,5,,,,6.46999990567565,,,,,0.000633504812802606,1.11922068577324E-7,0.0897846477701778,4.12302943235863E-5,0.000633405576280652,1.11904536339856E-7,0.000633404798583158,1.0884311964168E-7,9.92570024707305E-7,2.59961643344736E-8,1.00015667137403,10.005763053894,2,20,10,3,2.07202241212002,0.185610680220946,0.0403775237500668,172.74836730957,29.9512157440186,29.9733600616455,140.261596679688,140.261596679688,,,29.3194274902344,0,1,,,,,,1,1,1,29.9595985412598,0,29.9618147069758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772421738.8956,29.9738721847534,120.298812866211,,,5,,,,6.46999990567565,,,,,0.000621451726925999,8.32668945041535E-8,0.0790796933873716,9.78522162577518E-5,0.000621354454687113,8.32538612195031E-8,0.000621353862861114,5.68785453149279E-8,8.57593780530401E-7,6.07950367284532E-8,1.00015654871089,10.005763053894,2,20,10,3,2.03263678883766,0.181655865509635,0.0403775237500668,172.74836730957,29.9699535369873,29.9834804534912,120.298812866211,120.298812866211,,,29.3691749572754,0,1,,,,,,1,1,1,29.9759216308594,0,29.9775260925293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772421760.75853,29.9804601669312,100.287460327148,,,5,,,,6.46999990567565,,,,,0.000612668965332815,6.43355398656017E-8,0.0622960522272251,5.26276559390607E-5,0.000612573234035925,6.43254872515214E-8,0.000612572871956568,5.5674477968081E-8,6.66033117728746E-7,3.22198822643303E-8,1.00015627730951,10.005763053894,2,20,10,3,2.00396532244905,0.178458606770659,0.0403775237500668,172.74836730957,29.9793243408203,29.9811153411865,100.287460327148,100.287460327148,,,29.4313621520996,0,1,,,,,,1,1,1,29.9801044464111,0,29.9799650192261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772421782.38646,29.9830598831177,80.2396850585938,,,5,,,,6.46999990567565,,,,,0.000605893508640238,9.33258143503439E-8,0.0572159693043792,3.34074592089115E-5,0.000605798694459695,9.33112101162913E-8,0.000605798392403633,9.11092979269954E-8,6.0495474606667E-7,2.01513712837775E-8,1.00015651103479,10.005763053894,2,20,10,3,1.98182195178745,0.176266758307362,0.0403775237500668,172.74836730957,29.9799346923828,29.9942646026611,80.2396850585938,80.2396850585938,,,29.5059814453125,0,1,,,,,,1,1,1,29.9846858978271,0,29.9868654251099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772421805.44042,29.9981336593628,60.1676177978516,,,5,,,,6.46999990567565,,,,,0.000600779849321159,4.40714153843196E-8,0.0450372725904122,2.74122268870889E-5,0.000600685971450297,4.40645287841002E-8,0.000600685785876621,4.08798621238716E-8,4.72168374031036E-7,1.64474791289743E-8,1.00015628444033,10.005763053894,2,20,10,3,1.96513540863739,0.174319023732272,0.0403775237500668,172.74836730957,29.9977550506592,30.0052299499512,60.1676177978516,60.1676177978516,,,29.5557327270508,0,1,,,,,,1,1,1,29.9984970092773,0,30.0003816604614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772421825.94872,30.006519317627,40.2534141540527,,,5,,,,6.46999990567565,,,,,0.000596936874461655,2.5736461627119E-8,0.0435746759711222,2.38472622313288E-5,0.00059684357309282,2.57324390123309E-8,0.00059684340048774,2.14412472012902E-8,4.53912365219815E-7,1.42278366583431E-8,1.00015632466033,10.005763053894,2,20,10,3,1.95257217195691,0.173112424287887,0.0403775237500668,172.74836730957,30.0030326843262,30.0072555541992,40.2534141540527,40.2534141540527,,,29.6179161071777,0,1,,,,,,1,1,1,30.0062046051025,0,30.0052530288696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772421847.8037,30.000316619873,20.2056350708008,,,5,,,,6.46999990567565,,,,,0.000594009494684295,6.22263384640263E-8,0.0523754212698879,2.75541470140296E-5,0.000593916683442609,6.22166158858687E-8,0.000593916435297744,6.00378870724802E-8,5.42913150438734E-7,1.63205210750712E-8,1.00015626980059,10.005763053894,2,20,10,3,1.94297288176203,0.172520301728652,0.0403775237500668,172.74836730957,29.9997577667236,30.0009078979492,20.2056350708008,20.2056350708008,,,29.680103302002,0,1,,,,,,1,1,1,30.0001316070557,0,30.0002006530762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
