[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,FCd_Down_56K
FILEOPENTIME,3762224037.94549,03/20/2019,6:13 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SrM,SAMPLE_MATERIAL
INFO,MvsH,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.34,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3762224169.71342,55.9689674377441,219.72412109375,,,5,,,,31.6299982368946,,,,,0.000690845336106947,5.46167826839551E-7,1.14073532502333,0.000123054322874197,0.000690736796060613,5.46082017356396E-7,0.00069059989942771,5.40617272243068E-7,1.375137602268E-5,7.70618883268229E-8,1.00015713662129,10.005763053894,2,20,1,3,2.25548094390954,0.243816416196728,0.0413267537951469,172.859115600586,55.9366455078125,55.9801216125488,219.72412109375,219.72412109375,,,20.7222633361816,0,1,,,,,,1,1,1,55.9608535766602,0,55.957034556071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762224197.46928,55.9043369293213,199.822067260742,,,5,,,,31.6299982368946,,,,,0.00063268547104532,4.51066078477313E-7,0.162610464119733,0.000100519125258809,0.000632585906337921,4.50995094925175E-7,0.000632583358681029,4.46663490108093E-7,1.79533205774427E-6,6.23562527019128E-8,1.00015739317996,10.005763053894,2,20,10,3,2.06911342372837,0.187952705987976,0.0413267537951469,172.859115600586,55.8924751281738,55.9092864990234,199.822067260742,199.822067260742,,,20.8135566711426,0,1,,,,,,1,1,1,55.9019355773926,0,55.8996384360574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762224220.92219,55.9008445739746,179.750015258789,,,5,,,,31.6299982368946,,,,,0.000619366606685789,1.37668635409375E-6,0.0729016886443254,0.00121419416246693,0.000619268881562513,1.37646913727545E-6,0.000619268380283971,1.15317327825097E-6,7.87941719147577E-7,7.5157080584582E-7,1.00015780725657,10.005763053894,2,20,10,3,2.02584420811762,0.180780868699731,0.0413267537951469,172.859115600586,55.8990936279297,55.9111213684082,179.750015258789,179.750015258789,,,20.8601341247559,0,1,,,,,,1,1,1,55.9015808105469,0,55.9031063426625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762224243.65949,55.9213390350342,159.93293762207,,,5,,,,31.6299982368946,,,,,0.000622843910779184,1.52513305015635E-7,0.321794968898671,7.70316164935805E-5,0.000622745624846773,1.52489238131253E-7,0.000622735803008412,1.44835976218601E-7,3.49755875811231E-6,4.77022823212372E-8,1.00015782677307,10.005763053894,2,20,10,3,2.0364118672114,0.190600529409695,0.0413267537951469,172.859115600586,55.9180641174316,55.9230308532715,159.93293762207,159.93293762207,,,20.8764019012451,0,1,,,,,,1,1,1,55.9217414855957,0,55.9208322004838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762224266.17531,55.9409599304199,139.860870361328,,,5,,,,31.6299982368946,,,,,0.00066430565480045,1.91618011147709E-7,1.58783798151216,0.000178212025376776,0.000664200763490462,1.91587755400131E-7,0.000663945723263063,1.50868794660976E-7,1.84046402301407E-5,1.18086725828116E-7,1.00015792109217,10.005763053894,2,20,10,3,2.16695495888668,0.251181592631261,0.0413267537951469,172.859115600586,55.9364128112793,55.9560546875,139.860870361328,139.860870361328,,,20.892126083374,0,1,,,,,,1,1,1,55.9431304931641,0,55.9458309520375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762224289.28081,55.9651317596436,119.813102722168,,,5,,,,31.6299982368946,,,,,0.000740671245983003,1.87779774196395E-7,2.33977937202287,0.000171124244237126,0.000740554412757721,1.87750153879985E-7,0.00073993700629063,1.38711346915774E-7,3.02335075138958E-5,1.2652779346361E-7,1.00015776453866,10.005763053894,2,20,10,3,2.41218032709621,0.31168739497931,0.0413267537951469,172.859115600586,55.9632186889648,55.9764709472656,119.813102722168,119.813102722168,,,20.8906345367432,0,1,,,,,,1,1,1,55.9661102294922,0,55.9688911437988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762224310.96675,55.9908504486084,99.9231796264648,,,5,,,,31.6299982368946,,,,,0.000816136737585039,2.5356135068406E-7,1.30135533565453,0.00018377048412023,0.000816007976805422,2.53521346655702E-7,0.00081579750580397,2.04694219354181E-7,1.85323429198311E-5,1.4957723681464E-7,1.00015779353055,10.005763053894,2,20,10,3,2.66374499905554,0.295161497956473,0.0413267537951469,172.859115600586,55.9889335632324,55.9955139160156,99.9231796264648,99.9231796264648,,,20.8753681182861,0,1,,,,,,1,1,1,55.9919319152832,0,55.9925788879394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762224332.90616,56.0246810913086,79.8632583618164,,,5,,,,31.6299982368946,,,,,0.000781980546433204,1.6629387817665E-7,0.658496327387215,0.000179933793240555,0.00078185713079308,1.66267632938814E-7,0.000781805494616797,8.84897067924616E-8,8.98563069420867E-6,1.40763978186397E-7,1.0001578493503,10.005763053894,2,20,10,3,2.55528087141987,0.254100082640692,0.0413267537951469,172.859115600586,56.0217475891113,56.0264320373535,79.8632583618164,79.8632583618164,,,20.8733425140381,0,1,,,,,,1,1,1,56.0257339477539,0,56.0252788543701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762224353.44185,56.0315990447998,59.766902923584,,,5,,,,31.6299982368946,,,,,0.000726396533646413,2.00592579759713E-7,0.741882732068138,0.00019357764056455,0.000726281994053978,2.00560949938717E-7,0.000726221111274041,1.43069491200871E-7,9.40385170660703E-6,1.40555381710714E-7,1.00015770677694,10.005763053894,2,20,10,3,2.37330656250027,0.239441579233573,0.0413267537951469,172.859115600586,56.0266571044922,56.0317802429199,59.766902923584,59.766902923584,,,20.871789932251,0,1,,,,,,1,1,1,56.0315971374512,0,56.0300986550071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762224376.60626,56.023416519165,39.7919845581055,,,5,,,,31.6299982368946,,,,,0.000649821307551072,1.19083087727196E-7,0.397218668612626,0.000107629278399366,0.000649718936572375,1.1906432772026E-7,0.000649703322800577,9.64102369259185E-8,4.50431822006894E-6,6.98668759239014E-8,1.000157561944,10.005763053894,2,20,10,3,2.12437069905195,0.201379277697404,0.0413267537951469,172.859115600586,56.0195655822754,56.0244178771973,39.7919845581055,39.7919845581055,,,20.8417072296143,0,1,,,,,,1,1,1,56.0229148864746,0,56.0220890045166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
