[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,FCd_Down_5K
FILEOPENTIME,3772367299.54367,07/15/2019,3:48 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Cu2OSeO3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3772367531.44344,5.00021624565124,200.113494873047,,,5,,,,6.47999998182058,,,,,0.000642658912183221,1.54626057815071E-7,0.0345823931186393,0.000203063878243512,0.000642555800316352,1.54601248727099E-7,0.000642555683273294,8.29285818522167E-8,3.87831636585354E-7,1.30477570562755E-7,1.00016047145916,10.005763053894,2,20,10,3,2.10212345541518,0.186529989617347,0.0403775237500668,172.74836730957,4.99945306777954,5.00032377243042,200.113494873047,200.113494873047,,,9.22236633300781,0,1,,,,,,1,1,1,5.0001049041748,0,5.00001131163703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772367560.82682,4.99984550476074,180.15071105957,,,5,,,,6.47999998182058,,,,,0.000632799701385244,1.04402171387375E-7,0.0474294572281595,0.00010614692973264,0.000632698182142192,1.04385422281159E-7,0.000632697965362991,7.99241864875031E-8,5.23747616247293E-7,6.71449238522668E-8,1.00016045445667,10.005763053894,2,20,10,3,2.0698357369442,0.184088267230485,0.0403775237500668,172.74836730957,4.99919939041138,5.00075721740723,180.15071105957,180.15071105957,,,9.24584197998047,0,1,,,,,,1,1,1,4.9998893737793,0,5.00010912234967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772367585.60015,5.00000929832458,160.187942504883,,,5,,,,6.47999998182058,,,,,0.000623718102197998,1.04768148986486E-7,0.0575482997175101,0.000103125432478597,0.00062361810661701,1.04751352372936E-7,0.000623617792053449,8.26993159183133E-8,6.26366478991144E-7,6.42936153175572E-8,1.00016034746254,10.005763053894,2,20,10,3,2.04010124632168,0.181763041770467,0.0403775237500668,172.74836730957,4.99963235855103,5.00105953216553,160.187942504883,160.187942504883,,,9.25808143615723,0,1,,,,,,1,1,1,5.00007152557373,0,5.00018505255381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772367608.68373,4.99990010261536,140.2373046875,,,5,,,,6.47999998182058,,,,,0.00061565574481067,1.16619085201357E-7,0.0586656705075939,8.57656594776009E-5,0.000615556974409496,1.16600375859444E-7,0.000615556651737678,1.03984122733934E-7,6.30274282614371E-7,5.27536716240467E-8,1.00016045696057,10.005763053894,2,20,10,3,2.01372953073804,0.179409793931962,0.0403775237500668,172.74836730957,4.99928426742554,5.0006685256958,140.2373046875,140.2373046875,,,9.26912021636963,0,1,,,,,,1,1,1,4.99973773956299,0,4.99996769428253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772367632.84639,4.99981093406677,120.177383422852,,,5,,,,6.47999998182058,,,,,0.00060921136738117,4.48530365442611E-8,0.0554431876399315,4.22580283519794E-5,0.000609113633349793,4.48458409003259E-8,0.000609113348169567,3.67296200794645E-8,5.89418565981955E-7,2.5731001824172E-8,1.00016045287123,10.005763053894,2,20,10,3,1.99266349065423,0.177376966626396,0.0403775237500668,172.74836730957,4.99891376495361,5.0014796257019,120.177383422852,120.177383422852,,,9.28137588500977,0,1,,,,,,1,1,1,4.99975538253784,0,4.99997461759127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772367657.477,5.00013327598572,100.178176879883,,,5,,,,6.47999998182058,,,,,0.00060381860800443,1.24932826130657E-7,0.0500418040648976,4.64165466095274E-5,0.000603721730194656,1.24912781669615E-7,0.000603721499929918,1.21753296031764E-7,5.27287017436762E-7,2.79166246140657E-8,1.0001604676541,10.005763053894,2,20,10,3,1.97504358997262,0.17557835378305,0.0403775237500668,172.74836730957,4.99959659576416,5.00134611129761,100.178176879883,100.178176879883,,,9.29054832458496,0,1,,,,,,1,1,1,5.00003623962402,0,5.00010844071706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772367680.62694,5.00006818771362,80.1546783447266,,,5,,,,6.47999998182058,,,,,0.000599312115734436,9.12252854999089E-8,0.0527831769803697,0.000105550225303683,0.000599215962743255,9.12106494132325E-8,0.000599215708470906,6.57289115387116E-8,5.52021772039083E-7,6.32383803897588E-8,1.0001604646691,10.005763053894,2,20,10,3,1.9602975075222,0.174319737683272,0.0403775237500668,172.74836730957,4.99934720993042,5.00069189071655,80.1546783447266,80.1546783447266,,,9.29968452453613,0,1,,,,,,1,1,1,5.00009775161743,0,5.00012032190959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772367704.98258,5.00043654441833,60.1919059753418,,,5,,,,6.47999998182058,,,,,0.000595924909011092,4.68814983344137E-8,0.046911509665974,4.41336270102806E-5,0.000595829289395897,4.68739759255285E-8,0.000595829089683335,3.88095470746623E-8,4.87841313677295E-7,2.6286663442259E-8,1.00016048156225,10.005763053894,2,20,10,3,1.94923861833241,0.173093109168804,0.0403775237500668,172.74836730957,4.99943542480469,5.00096988677978,60.1919059753418,60.1919059753418,,,9.30799865722656,0,1,,,,,,1,1,1,5.00034475326538,0,5.00019856293996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772367729.28987,4.99987030029297,40.2291259765625,,,5,,,,6.47999998182058,,,,,0.000593117513989408,5.85045650004857E-8,0.0479873348327375,4.52545099429268E-5,0.000593022428128091,5.84951858187505E-8,0.000593022220134911,5.1984997040288E-8,4.96678162627932E-7,2.68187778746795E-8,1.00016034108797,10.005763053894,2,20,10,3,1.94005514578969,0.172272647579095,0.0403775237500668,172.74836730957,4.99949359893799,5.00098896026611,40.2291259765625,40.2291259765625,,,9.32094383239746,0,1,,,,,,1,1,1,4.99979114532471,0,5.00014122327169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772367753.51054,4.99999070167542,20.1813488006592,,,5,,,,6.47999998182058,,,,,0.000590960495386716,4.68051978010619E-8,0.0456038627991004,2.89113587449393E-5,0.00059086568441987,4.67976885917465E-8,0.000590865497258271,4.35764582800703E-8,4.70292139994892E-7,1.70621200703596E-8,1.00016046111552,10.005763053894,2,20,10,3,1.93300939506262,0.17152424754172,0.0403775237500668,172.74836730957,4.99902820587158,5.00093269348145,20.1813488006592,20.1813488006592,,,9.33388996124268,0,1,,,,,,1,1,1,4.9998517036438,0,4.99999101956685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
