[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,FCd_Up_20K
FILEOPENTIME,3772414334.9537,07/16/2019,4:52 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Cu2OSeO3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3772414499.02021,19.9450712203979,200.368499755859,,,5,,,,6.46999990567565,,,,,0.000663850268700577,8.56411712567239E-8,0.042168172610701,0.000115465934345081,0.000663745393312446,8.56276416228607E-8,0.000663745213551311,3.8186160818067E-8,4.88498944003952E-7,7.66414387382556E-8,1.00015800544785,10.005763053894,2,20,10,3,2.1714185854176,0.192921927825024,0.0403775237500668,172.74836730957,19.9443626403809,19.9500064849854,200.368499755859,200.368499755859,,,23.2063255310059,0,1,,,,,,1,1,1,19.945779800415,0,19.9462643941243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772414522.77272,19.9576473236084,200.392776489258,,,5,,,,6.46999990567565,,,,,0.000663742766431947,8.49542116322346E-8,0.0399568176388323,6.93872522400306E-5,0.00066363790574957,8.49407902330826E-8,0.000663637744374037,7.13874465254494E-8,4.6280645545361E-7,4.60301023678705E-8,1.00015800888025,10.005763053894,2,20,10,3,2.17107439691345,0.192806881960445,0.0403775237500668,172.74836730957,19.9565277099609,19.9623184204102,200.392776489258,200.392776489258,,,23.2697830200195,0,1,,,,,,1,1,1,19.9583969116211,0,19.9594234119762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772414545.8399,19.9678325653076,220.039855957031,,,5,,,,6.46999990567565,,,,,0.000676238067996566,1.1041448819485E-7,0.0494634824828237,9.18930651973938E-5,0.000676131150086792,1.10397030901561E-7,0.0006761308981306,9.1268531332535E-8,5.83704374535352E-7,6.21092555122204E-8,1.00015813190941,10.005763053894,2,20,10,3,2.21191045103265,0.196850034672282,0.0403775237500668,172.74836730957,19.9644832611084,19.9720554351807,220.039855957031,220.039855957031,,,23.3131275177002,0,1,,,,,,1,1,1,19.9690017700195,0,19.9693095467307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772414568.84716,19.9892749786377,239.990478515625,,,5,,,,6.46999990567565,,,,,0.00069185137196546,7.02474071784948E-8,0.0619118385925139,7.27311682489203E-5,0.000691741939827035,7.02362959423279E-8,0.000691741535980643,4.90153781639064E-8,7.47472280784207E-7,5.03053672200841E-8,1.00015819792342,10.005763053894,2,20,10,3,2.2629332323651,0.201934862817806,0.0403775237500668,172.74836730957,19.9864540100098,19.9914264678955,239.990478515625,239.990478515625,,,23.4191055297852,0,1,,,,,,1,1,1,19.9904479980469,0,19.9898809432983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772414590.7443,19.9879274368286,260.038269042969,,,5,,,,6.46999990567565,,,,,0.000710728707952503,2.08659731840091E-7,0.0862877708556189,0.000141392412528487,0.000710616415222326,2.08626764308733E-7,0.000710615609364566,1.82879170765157E-7,1.07019197130194E-6,1.00400874927363E-7,1.00015802158207,10.005763053894,2,20,10,3,2.32458628450618,0.20848359195072,0.0403775237500668,172.74836730957,19.9869918823242,19.9883918762207,260.038269042969,260.038269042969,,,23.5267868041992,0,1,,,,,,1,1,1,19.9879531860352,0,19.9875939109109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772414613.31884,19.9881381988525,279.988891601562,,,5,,,,6.46999990567565,,,,,0.000730989565593497,8.61981871809967E-7,0.175115877262233,0.000750459307014569,0.000730874064657949,8.61845673268558E-7,0.000730870651015733,6.64933883406519E-7,2.23380246900248E-6,5.48307299996689E-7,1.00015803124113,10.005763053894,2,20,10,3,2.39051500232266,0.218184296584348,0.0403775237500668,172.74836730957,19.9866714477539,19.9883346557617,279.988891601562,279.988891601562,,,23.6731281280518,0,1,,,,,,1,1,1,19.9882698059082,0,19.987512588501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772414635.48783,19.998682975769,300.036682128906,,,5,,,,6.46999990567565,,,,,0.000750185809726129,7.51895622052065E-7,0.146175606610073,0.000674761960995034,0.000750067256974406,7.51776799096675E-7,0.000750064815936514,5.55988272133243E-7,1.91360372924959E-6,5.06009285399323E-7,1.00015805616179,10.005763053894,2,20,10,3,2.45340080959418,0.222727335775089,0.0403775237500668,172.74836730957,19.9970092773438,20.0004177093506,300.036682128906,300.036682128906,,,23.833215713501,0,1,,,,,,1,1,1,19.999547958374,0,19.9992565155029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772414657.11394,20.0008487701416,320.011596679687,,,5,,,,6.46999990567565,,,,,0.000775253186569429,3.93446083040974E-7,0.10550875080118,0.000317720676908926,0.000775130773073775,3.93383957388077E-7,0.000775129458828096,3.06815240081268E-7,1.42738320427973E-6,2.4620184074084E-7,1.00015792624923,10.005763053894,2,20,10,3,2.53554018747205,0.228424351293147,0.0403775237500668,172.74836730957,20.0001125335693,20.0018692016602,320.011596679687,320.011596679687,,,23.9418563842773,0,1,,,,,,1,1,1,20.0005168914795,0,20.0006256103516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772414679.05072,20.0020866394043,339.986511230469,,,5,,,,6.46999990567565,,,,,0.000796423402816951,3.10416620802212E-7,0.0566801900548279,0.000237564087066473,0.00079629760134909,3.10367588005829E-7,0.000796297211709833,2.46093424762613E-7,7.87742001359022E-7,1.89119184571963E-7,1.00015798297979,10.005763053894,2,20,10,3,2.60497493635309,0.232497799089061,0.0403775237500668,172.74836730957,20.0010147094727,20.0026721954346,339.986511230469,339.986511230469,,,24.0486297607422,0,1,,,,,,1,1,1,20.0022392272949,0,20.0016428629557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772414700.44239,19.9998960494995,360.095031738281,,,5,,,,6.46999990567565,,,,,0.000807561903722108,3.23791151754452E-7,0.0235472912654542,0.000236947590099956,0.000807434423886591,3.23740038839669E-7,0.000807434355697657,2.6119674667709E-7,3.31837583559693E-7,1.912691095635E-7,1.0001578825868,10.005763053894,2,20,10,3,2.64153953443286,0.234278791431512,0.0403775237500668,172.74836730957,19.9991645812988,20.0009269714355,360.095031738281,360.095031738281,,,24.0928802490234,0,1,,,,,,1,1,1,19.9997959136963,0,20.0002496892756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
