[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,FCd_Up_40K
FILEOPENTIME,3772396337.73368,07/15/2019,11:52 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Cu2OSeO3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3772396488.46338,39.915225982666,200.210632324219,,,5,,,,6.47999998182058,,,,,0.000688617286904144,1.25660714805604E-7,0.0354379200117298,0.000101719380922073,0.000688511183797372,1.25641352828359E-7,0.000688511052101497,1.04327493672022E-7,4.258499126859E-7,7.00108820445386E-8,1.00015410513187,10.005763053894,2,20,10,3,2.2524723846557,0.199647987871365,0.0403775237500668,172.74836730957,39.9008560180664,39.9284782409668,200.210632324219,200.210632324219,,,23.0843181610107,0,1,,,,,,1,1,1,39.910961151123,0,39.909854888916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772396513.30065,39.9037055969238,200.198501586914,,,5,,,,6.47999998182058,,,,,0.000688462314964109,9.63838584272193E-8,0.0344759539778181,0.000122289051880028,0.00068835573049606,9.63689367357111E-8,0.000688355605881083,4.69146726105476E-8,4.14196634630958E-7,8.41782956670935E-8,1.00015483922531,10.005763053894,2,20,10,3,2.25196881746105,0.199565280060567,0.0403775237500668,172.74836730957,39.9027976989746,39.9091300964355,200.198501586914,200.198501586914,,,23.0426464080811,0,1,,,,,,1,1,1,39.9041557312012,0,39.9054058074951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772396535.23787,39.920690536499,220.027694702148,,,5,,,,6.47999998182058,,,,,0.000693123703591285,1.29985910283178E-7,0.0323844299569114,9.57317827466173E-5,0.000693016414881836,1.2996578974699E-7,0.000693016304183584,1.11774516953682E-7,3.91703202966977E-7,6.63141302011095E-8,1.00015481409552,10.005763053894,2,20,10,3,2.26722061453864,0.200881677945679,0.0403775237500668,172.74836730957,39.9180679321289,39.9266395568848,220.027694702148,220.027694702148,,,23.0411205291748,0,1,,,,,,1,1,1,39.9215850830078,0,39.9226020812988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772396556.8388,39.9506549835205,240.087615966797,,,5,,,,6.47999998182058,,,,,0.000698114557696505,1.20495392963777E-7,0.0260687409014091,0.000151195170248199,0.000698006339357568,1.20476714351316E-7,0.000698006267109837,5.81132699872748E-8,3.17582655041743E-7,1.0553429088346E-7,1.0001550391921,10.005763053894,2,20,10,3,2.2835650437038,0.202125154530579,0.0403775237500668,172.74836730957,39.9457855224609,39.9629974365234,240.087615966797,240.087615966797,,,23.0398616790771,0,1,,,,,,1,1,1,39.9533309936523,0,39.955358505249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772396578.76322,39.9693641662598,260.038269042969,,,5,,,,6.47999998182058,,,,,0.000703436206553063,1.1153676209849E-7,0.0104544226492349,0.000100738434973743,0.000703327367389231,1.11519504573486E-7,0.00070332735568124,8.61305414893563E-8,1.28331992009669E-7,7.08387586217186E-8,1.00015474893894,10.005763053894,2,20,10,3,2.3010247775954,0.203087845987497,0.0403775237500668,172.74836730957,39.9685401916504,39.9695014953613,260.038269042969,260.038269042969,,,23.0279769897461,0,1,,,,,,1,1,1,39.9694213867188,0,39.9691495028409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772396601.8216,39.967752456665,279.976776123047,,,5,,,,6.47999998182058,,,,,0.000708155004593793,1.23038413599968E-7,0.00640500842817282,0.000130113455979475,0.000708045487556518,1.23019385558874E-7,0.000708045483132414,8.15358845140166E-8,7.91513326884447E-8,9.21176897224405E-8,1.00015467514334,10.005763053894,2,20,10,3,2.31647190484157,0.204335934060052,0.0403775237500668,172.74836730957,39.9672737121582,39.9722862243652,279.976776123047,279.976776123047,,,23.0527935028076,0,1,,,,,,1,1,1,39.9675102233887,0,39.9685356140137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772396623.47228,39.9951248168945,300.012390136719,,,5,,,,6.47999998182058,,,,,0.000711839715057747,1.92269165614169E-7,-0.000688537935236155,0.000218288095162878,0.000711729470839009,1.92239388455769E-7,0.000711729470787617,1.13233011677787E-7,-8.55303382641865E-9,1.55352076073113E-7,1.00015489623973,10.005763053894,2,20,10,3,2.32854743314638,0.205160528513806,0.0403775237500668,172.74836730957,39.9932022094727,39.9984931945801,300.012390136719,300.012390136719,,,23.0781707763672,0,1,,,,,,1,1,1,39.995979309082,0,39.9963340759277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772396645.39007,40.0167865753174,320.084442138672,,,5,,,,6.47999998182058,,,,,0.000715122874790168,1.57627841869801E-7,-0.00208930041833977,0.000125347287737003,0.000715012314951012,1.57603472199276E-7,0.000715012314475633,1.29654413559054E-7,-2.60730465857973E-8,8.96023855370256E-8,1.00015462648243,10.005763053894,2,20,10,3,2.33928913696112,0.206099648376549,0.0403775237500668,172.74836730957,40.0106391906738,40.0176124572754,320.084442138672,320.084442138672,,,23.1038055419922,0,1,,,,,,1,1,1,40.0162696838379,0,40.0144823247736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772396668.41703,40.006233215332,339.974395751953,,,5,,,,6.47999998182058,,,,,0.000717708116227504,1.33376746568349E-7,-0.00698832646238134,0.000100397304069927,0.000717597091956739,1.33356114147327E-7,0.000717597086619068,1.12233196056933E-7,-8.75248190570538E-8,7.20247379955047E-8,1.00015471672337,10.005763053894,2,20,10,3,2.34776047387732,0.206694048718233,0.0403775237500668,172.74836730957,40.0036506652832,40.0069160461426,339.974395751953,339.974395751953,,,23.1057376861572,0,1,,,,,,1,1,1,40.0061149597168,0,40.0053512573242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772396690.2715,40.0094871520996,360.046447753906,,,5,,,,6.47999998182058,,,,,0.000719325223366651,1.37107255354981E-7,-0.00997787542435002,0.000153820962737132,0.000719214006750498,1.37086056869935E-7,0.00071921399584466,8.09647577320978E-8,-1.25248801700886E-7,1.10622307847603E-7,1.00015463633231,10.005763053894,2,20,10,3,2.35305801645539,0.207087506320148,0.0403775237500668,172.74836730957,40.0057563781738,40.0100212097168,360.046447753906,360.046447753906,,,23.1186790466309,0,1,,,,,,1,1,1,40.0091819763184,0,40.0080958279696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
