[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,FC_Up_48K
FILEOPENTIME,3762231310.7058,03/20/2019,8:15 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SrM,SAMPLE_MATERIAL
INFO,MvsH,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.34,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3762231455.42328,47.9158916473389,220.513397216797,,,5,,,,31.6299982368946,,,,,0.000748595810046282,9.54206938150057E-8,0.0158178398938578,0.000109314867915423,0.000748477294664272,9.54055871047792E-8,0.000748477266141106,4.90727264832388E-8,2.06634658982035E-7,8.18174404776198E-8,1.00015834198693,10.005763053894,2,20,10,3,2.44873849653662,0.216196154793304,0.0413267537951469,172.859115600586,47.8966064453125,47.9304313659668,220.513397216797,220.513397216797,,,23.6237277984619,0,1,,,,,,1,1,1,47.9105987548828,0,47.9086339314779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762231481.63482,47.893533706665,240.330474853516,,,5,,,,31.6299982368946,,,,,0.000753289587338255,7.93511410775531E-8,0.00790370449556477,9.14076583605329E-5,0.000753169803502861,7.93385231094026E-8,0.000753169796336824,3.94359407164584E-8,1.03896510241746E-7,6.88433571885421E-8,1.00015903961475,10.005763053894,2,20,10,3,2.46411912539942,0.217263713122108,0.0413267537951469,172.859115600586,47.8917007446289,47.8947868347168,240.330474853516,240.330474853516,,,23.657787322998,0,1,,,,,,1,1,1,47.8932952880859,0,47.8931324005127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762231504.68777,47.9081401824951,260.463256835938,,,5,,,,31.6299982368946,,,,,0.00075783753578397,1.45705821706269E-7,0.00266932141500842,0.000126710395921572,0.000757716956868464,1.45682638571184E-7,0.000757716956046158,1.09582509052967E-7,3.53008566414655E-8,9.59953378592875E-8,1.00015913450849,10.005763053894,2,20,10,3,2.4790127720845,0.218402295950122,0.0413267537951469,172.859115600586,47.9051132202148,47.9205207824707,260.463256835938,260.463256835938,,,23.7186698913574,0,1,,,,,,1,1,1,47.9091262817383,0,47.9114650726318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762231527.88639,47.9490947723389,280.304595947266,,,5,,,,31.6299982368946,,,,,0.000761899592302517,1.68184737431324E-7,-0.00189599568154719,0.000204576156196631,0.000761778337509129,1.68157971167377E-7,0.000761778337092041,6.31784511876427E-8,-2.52082867224125E-8,1.55838334733977E-7,1.00015917332827,10.005763053894,2,20,10,3,2.49231465960151,0.219427082433201,0.0413267537951469,172.859115600586,47.9456596374512,47.9557838439941,280.304595947266,280.304595947266,,,23.719144821167,0,1,,,,,,1,1,1,47.9505004882812,0,47.9511299133301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762231550.78923,47.9590721130371,300.315948486328,,,5,,,,31.6299982368946,,,,,0.000766578959476124,1.78875961392163E-7,-0.00289611371349441,0.000206569319636536,0.000766457049622607,1.78847514560977E-7,0.00076645704864347,8.31922350336591E-8,-3.87418897191971E-8,1.58320830893295E-7,1.00015905634057,10.005763053894,2,20,10,3,2.50762226311693,0.2207846330158,0.0413267537951469,172.859115600586,47.9586524963379,47.9594078063965,300.315948486328,300.315948486328,,,23.6891632080078,0,1,,,,,,1,1,1,47.9591331481934,0,47.9589899236506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762231573.88109,47.9653511047363,320.436584472656,,,5,,,,31.6299982368946,,,,,0.000770500874292484,1.0032986832147E-7,-0.0118452088683316,0.000115242780046499,0.000770378207738949,1.00313895439966E-7,0.000770378191275752,4.67077864465742E-8,-1.59266368148319E-7,8.87764625539995E-8,1.00015922900246,10.005763053894,2,20,10,3,2.52048285104176,0.221574758024561,0.0413267537951469,172.859115600586,47.9618797302246,47.9795227050781,320.436584472656,320.436584472656,,,23.6881790161133,0,1,,,,,,1,1,1,47.9669990539551,0,47.9697513580322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762231596.85824,48.0050830841064,340.314361572266,,,5,,,,31.6299982368946,,,,,0.000777004409538714,1.3287684633957E-7,-0.0155359480575079,0.000144281251058967,0.000776880810038061,1.32855709378629E-7,0.000776880781478294,7.13315063543424E-8,-2.1065390620908E-7,1.12082361305065E-7,1.00015909712154,10.005763053894,2,20,10,3,2.54176844968692,0.223335147307317,0.0413267537951469,172.859115600586,48.003360748291,48.0065040588379,340.314361572266,340.314361572266,,,23.6864643096924,0,1,,,,,,1,1,1,48.0059204101562,0,48.0055557250977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762231619.91179,48.0035800933838,360.362152099609,,,5,,,,31.6299982368946,,,,,0.000789169162369357,3.85095729560471E-7,-0.033865018862393,0.000249841958118995,0.000789043772585082,3.8503454233629E-7,0.000789043634759935,3.30768006292127E-7,-4.66369092333045E-7,1.9708912909049E-7,1.00015891359723,10.005763053894,2,20,10,3,2.58163130680523,0.226061219613687,0.0413267537951469,172.859115600586,48.0023460388184,48.0044021606445,360.362152099609,360.362152099609,,,23.6550216674805,0,1,,,,,,1,1,1,48.0031661987305,0,48.0031101226807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762231642.9922,48.0019302368164,380.422058105469,,,5,,,,31.6299982368946,,,,,0.000808632770440903,1.95095666262608E-7,-0.0285622036288196,0.000203840821584764,0.00080850425641416,1.95064660185946E-7,0.000808504155954787,1.04370203580736E-7,-4.03042989313878E-7,1.64794060141664E-7,1.00015895281407,10.005763053894,2,20,10,3,2.6452782048275,0.23193828771859,0.0413267537951469,172.859115600586,48.0011672973633,48.0024375915527,380.422058105469,380.422058105469,,,23.6677780151367,0,1,,,,,,1,1,1,48.0015678405762,0,48.0017280578613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762231666.04801,48.0006446838379,400.445556640625,,,5,,,,31.6299982368946,,,,,0.000834572491474673,1.66976361860035E-7,-0.0282343644081227,0.000174978459342175,0.000834439808281144,1.66949815386048E-7,0.000834439706965671,8.09718164715682E-8,-4.11197419257528E-7,1.45999334911944E-7,1.00015900870526,10.005763053894,2,20,10,3,2.73012976592881,0.23945265365949,0.0413267537951469,172.859115600586,47.9994583129883,48.0011520385742,400.445556640625,400.445556640625,,,23.6208648681641,0,1,,,,,,1,1,1,48.0003433227539,0,48.0001689910889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
