[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,HFCd_Down_20K
FILEOPENTIME,3772418575.96691,07/16/2019,6:02 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Cu2OSeO3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3772418736.20616,19.9491214752197,-1000.033203125,,,5,,,,6.46999990567565,,,,,5.92066964204608E-5,5.29756726739787E-7,0.0850107835178511,0.00791685367635779,5.91973590593514E-5,5.29673179942604E-7,5.91972939002585E-5,2.46754712722878E-7,8.78321592302505E-8,4.68685170769847E-7,1.00015773273095,10.005763053894,2,20,1,3,0.193638398810211,0.017516636327978,0.0403775237500668,172.74836730957,19.9441318511963,19.9533157348633,-1000.033203125,-1000.033203125,,,24.3022956848145,0,1,,,,,,1,1,1,19.9468746185303,0,19.9472093582153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772418757.48598,19.9525632858276,-980.021850585938,,,5,,,,6.46999990567565,,,,,8.31472029907849E-5,8.50852279637357E-7,-0.192563393011429,0.00567527664942665,8.31340483395083E-5,8.50717666991064E-7,8.31335788231589E-5,7.07856425000909E-7,-2.79401806238536E-7,4.71868446196237E-7,1.00015823421978,10.005763053894,2,20,1,3,0.272053327885749,0.0232760341608924,0.0403775237500668,172.74836730957,19.9467945098877,19.9582614898682,-980.021850585938,-980.021850585938,,,24.3409309387207,0,1,,,,,,1,1,1,19.9548225402832,0,19.9545815785726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772418779.69428,19.965274810791,-960.095458984375,,,5,,,,6.46999990567565,,,,,0.00011180910853692,3.4037647058537E-7,-0.0190434484003044,0.00183376497959129,0.000111791443846647,3.40322694600501E-7,0.000111791437671825,2.71682307547057E-7,-3.71562193827283E-8,2.04959167216429E-7,1.00015801468936,10.005763053894,2,20,1,3,0.365737614322569,0.0323995514863216,0.0403775237500668,172.74836730957,19.9636764526367,19.9661426544189,-960.095458984375,-960.095458984375,,,24.3952407836914,0,1,,,,,,1,1,1,19.9652996063232,0,19.9649098136208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772418800.47366,19.9715967178345,-940.059814453125,,,5,,,,6.46999990567565,,,,,0.000152578053274395,3.60919823032849E-7,-0.0069245392841859,0.00160557042060707,0.000152553955750179,3.60862820901883E-7,0.000152553954636065,2.65038856056501E-7,-1.84370623099263E-8,2.44900756000315E-7,1.00015796066445,10.005763053894,2,20,1,3,0.499087795695787,0.0443082519167659,0.0403775237500668,172.74836730957,19.9710063934326,19.9825592041016,-940.059814453125,-940.059814453125,,,24.491304397583,0,1,,,,,,1,1,1,19.9717998504639,0,19.9745729619806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772418823.26723,19.9901056289673,-920.024230957031,,,5,,,,6.46999990567565,,,,,0.000215797347866646,3.03786280757763E-7,0.00666660510906869,0.00107690946224931,0.000215763255800208,3.03738288036031E-7,0.000215763254339674,1.95643111943081E-7,2.51049629212729E-8,2.32337513906571E-7,1.00015800682239,10.005763053894,2,20,1,3,0.705866244164937,0.0628192350562698,0.0403775237500668,172.74836730957,19.9887275695801,19.9902420043945,-920.024230957031,-920.024230957031,,,24.5766696929932,0,1,,,,,,1,1,1,19.9900951385498,0,19.9895492553711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772418843.75687,19.987247467041,-899.927917480469,,,5,,,,6.46999990567565,,,,,0.000307900806013201,3.56506243351947E-7,-0.00580932693032832,0.000900804270075321,0.000307852168319961,3.56449927678317E-7,0.000307852166737553,2.23977958871252E-7,-3.12137107499956E-8,2.77291227560024E-7,1.00015799041957,10.005763053894,2,20,1,3,1.00715457029351,0.0893898624123717,0.0403775237500668,172.74836730957,19.9868640899658,19.9877490997314,-899.927917480469,-899.927917480469,,,24.7122077941895,0,1,,,,,,1,1,1,19.9872341156006,0,19.9872501373291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772418865.62593,19.9862871170044,-880.487243652344,,,5,,,,6.46999990567565,,,,,0.000417738552898215,4.10127327136807E-7,0.0607434454053211,0.000425617852358134,0.00041767258301423,4.1006255922874E-7,0.000417672348289142,3.69602011449309E-7,4.42805163077693E-7,1.77610967042716E-7,1.00015794640747,10.005763053894,2,20,1,3,1.36629779822118,0.122836690574959,0.0403775237500668,172.74836730957,19.9860916137695,19.9960098266602,-880.487243652344,-880.487243652344,,,24.8652172088623,0,1,,,,,,1,1,1,19.9863910675049,0,19.9897968292236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772418887.30622,20.0014734268188,-860.415161132813,,,5,,,,6.46999990567565,,,,,0.000550058788996841,4.20812724569614E-7,0.0228794440774251,0.000249739218991994,0.000549971792233579,4.20746169238239E-7,0.000549971748384943,3.97759944208662E-7,2.19615626789501E-7,1.37165468364947E-7,1.00015818404597,10.005763053894,2,20,1,3,1.79918663994071,0.160517984506858,0.0403775237500668,172.74836730957,19.9973125457764,20.0030384063721,-860.415161132813,-860.415161132813,,,25.0306816101074,0,1,,,,,,1,1,1,20.0028076171875,0,20.0016702651978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772418910.30472,20.0007095336914,-840.343139648438,,,5,,,,6.46999990567565,,,,,0.00063472970623396,2.49799438689388E-7,0.0346079173683362,0.000240315445575832,0.000634629485629276,2.49759996623656E-7,0.000634629369859311,1.97818513983993E-7,3.83330214708637E-7,1.52472592417829E-7,1.00015791986813,10.005763053894,2,20,1,3,2.07610150887806,0.185607018268858,0.0403775237500668,172.74836730957,20.0000171661377,20.0012893676758,-840.343139648438,-840.343139648438,,,25.1558837890625,0,1,,,,,,1,1,1,20.0005340576172,0,20.0004783630371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772418932.74865,20.0002861022949,-820.46533203125,,,5,,,,6.46999990567565,,,,,0.0006813032197287,2.39132050018498E-7,0.00492120472493163,0.000168619121553331,0.000681195580576873,2.3909426952621E-7,0.00068119557806418,2.09724103864007E-7,5.85087232271654E-8,1.14812325029638E-7,1.00015801504721,10.005763053894,2,20,10,3,2.22854208617666,0.198023938297542,0.0403775237500668,172.74836730957,19.9999809265137,20.0007877349854,-820.46533203125,-820.46533203125,,,25.2402896881104,0,1,,,,,,1,1,1,20.0004386901855,0,20.0003161112467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772418957.55533,19.9998235702515,-800.393310546875,,,5,,,,6.46999990567565,,,,,0.000712389315781538,3.85899337072648E-7,0.0346816924657789,0.000225810802125355,0.000712276780430918,3.85838376982092E-7,0.000712276649941865,3.50776403671208E-7,4.31148034826068E-7,1.607083313947E-7,1.00015799384974,10.005763053894,2,20,10,3,2.33011997798712,0.208219534274061,0.0403775237500668,172.74836730957,19.9994354248047,20.0006999969482,-800.393310546875,-800.393310546875,,,25.3249282836914,0,1,,,,,,1,1,1,20.0000553131104,0,20.0000831604004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772418979.4595,20.0010690689087,-780.381958007812,,,5,,,,6.46999990567565,,,,,0.000734180518392556,3.26277927577096E-7,0.0430493385360258,0.000188436506497931,0.000734064582915082,3.26226404571003E-7,0.00073406437571403,2.95502648710655E-7,5.51541353176162E-7,1.38209448462508E-7,1.00015793634535,10.005763053894,2,20,10,3,2.40136767522421,0.214888006206721,0.0403775237500668,172.74836730957,20.000057220459,20.0016708374023,-780.381958007812,-780.381958007812,,,25.3931827545166,0,1,,,,,,1,1,1,20.0010013580322,0,20.0006267547607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772419001.06585,20.0024824142456,-760.358459472656,,,5,,,,6.46999990567565,,,,,0.000751432253105938,4.60294929841267E-7,0.102883882171866,0.000485813081119281,0.000751313458650664,4.60222161490919E-7,0.00075131224738201,2.80328946866417E-7,1.34910467177239E-6,3.64993314289645E-7,1.00015811570245,10.005763053894,2,20,10,3,2.45756726014382,0.222451326063153,0.0403775237500668,172.74836730957,20.000114440918,20.0035839080811,-760.358459472656,-760.358459472656,,,25.4505062103271,0,1,,,,,,1,1,1,20.0036468505859,0,20.0024564743042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772419022.99212,20.0011529922485,-740.347106933594,,,5,,,,6.46999990567565,,,,,0.000764118088735894,4.2663336112265E-7,0.0985659652446573,0.000295848641390192,0.000763997422836637,4.26565989208633E-7,0.000763996292336851,3.61842780977033E-7,1.31430459491683E-6,2.2589454398977E-7,1.00015794019149,10.005763053894,2,20,10,3,2.49907690778183,0.225964947445165,0.0403775237500668,172.74836730957,20.0005702972412,20.0016021728516,-740.347106933594,-740.347106933594,,,25.4926681518555,0,1,,,,,,1,1,1,20.0015735626221,0,20.0009004592895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772419043.74652,20.0004777908325,-720.408569335938,,,5,,,,6.46999990567565,,,,,0.000774874405406445,3.89248314471554E-7,0.103520200383951,0.000262756484706374,0.000774751976130212,3.89186813679835E-7,0.000774750711575798,3.31779100283424E-7,1.39979657948282E-6,2.03442877873334E-7,1.00015802383215,10.005763053894,2,20,10,3,2.534239507751,0.229310859009295,0.0403775237500668,172.74836730957,20.0003318786621,20.0006217956543,-720.408569335938,-720.408569335938,,,25.5354194641113,0,1,,,,,,1,1,1,20.0005474090576,0,20.0004194433039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772419066.46765,19.9998846054077,-700.348693847656,,,5,,,,6.46999990567565,,,,,0.000784049919484854,3.30305699182508E-7,0.106897936800578,0.000280974629530531,0.000783926061795649,3.30253520233674E-7,0.000783924697406167,2.46113553500956E-7,1.46258643665386E-6,2.20216953048274E-7,1.00015799664693,10.005763053894,2,20,10,3,2.56423804548839,0.232122309971626,0.0403775237500668,172.74836730957,19.9992980957031,20.0003643035889,-700.348693847656,-700.348693847656,,,25.5638446807861,0,1,,,,,,1,1,1,20.0003604888916,0,20.0000261306763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772419087.01089,20.0007476806641,-680.264465332031,,,5,,,,6.46999990567565,,,,,0.000792508196793106,3.52765866509918E-7,0.0910100404912706,0.000218924406998345,0.000792383062379103,3.52710165950398E-7,0.000792382062751024,3.07173542007199E-7,1.25864042481268E-6,1.73346116932306E-7,1.00015792161638,10.005763053894,2,20,10,3,2.59196940985363,0.233851976943431,0.0403775237500668,172.74836730957,20.000301361084,20.0011100769043,-680.264465332031,-680.264465332031,,,25.605842590332,0,1,,,,,,1,1,1,20.0005760192871,0,20.0006010055542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772419110.08029,20.000186920166,-660.483825683594,,,5,,,,6.46999990567565,,,,,0.000799756494691811,3.12361210856164E-7,0.095410633266737,0.000221294559000233,0.000799630144731406,3.12311862302091E-7,0.000799629036048494,2.57399104398474E-7,1.33156724415498E-6,1.76873967529038E-7,1.00015801050178,10.005763053894,2,20,10,3,2.61566104569543,0.236136312929247,0.0403775237500668,172.74836730957,19.9999580383301,20.0004978179932,-660.483825683594,-660.483825683594,,,25.6343212127686,0,1,,,,,,1,1,1,20.0001945495605,0,20.0001518943093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772419130.5613,20.0010709762573,-640.460327148438,,,5,,,,6.46999990567565,,,,,0.000807531627220772,4.02406847317789E-7,0.101245399135443,0.000203793877038895,0.00080740410869605,4.02343302651824E-7,0.000807402848128349,3.67254836433262E-7,1.42673525695959E-6,1.64328994109851E-7,1.00015793643276,10.005763053894,2,20,10,3,2.6410695222471,0.238644349233589,0.0403775237500668,172.74836730957,19.9999332427979,20.0015602111816,-640.460327148438,-640.460327148438,,,25.6363334655762,0,1,,,,,,1,1,1,20.0010356903076,0,20.0005597201261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772419152.39952,20.0009469985962,-620.327575683594,,,5,,,,6.46999990567565,,,,,0.000814432999565898,3.91980087882729E-7,0.0942390563665398,0.000208308216177489,0.000814304209277161,3.91918102146979E-7,0.000814303107805878,3.5339589334325E-7,1.33935215349532E-6,1.69443622950573E-7,1.00015815992018,10.005763053894,2,20,10,3,2.66367387645223,0.240300737059498,0.0403775237500668,172.74836730957,19.997859954834,20.0022048950195,-620.327575683594,-620.327575683594,,,25.6905155181885,0,1,,,,,,1,1,1,20.0022659301758,0,20.0012189691717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772419174.21063,19.9997901916504,-600.194763183594,,,5,,,,6.46999990567565,,,,,0.000820949363582681,3.41580499456793E-7,0.104698316992076,0.000252377817930011,0.000820819680377058,3.41526540886249E-7,0.000820818309963077,2.71581457831837E-7,1.49990788140242E-6,2.07084257952315E-7,1.00015799232002,10.005763053894,2,20,10,3,2.68494567044633,0.242655703882881,0.0403775237500668,172.74836730957,19.9993515014648,20.0003242492676,-600.194763183594,-600.194763183594,,,25.7052993774414,0,1,,,,,,1,1,1,19.9998645782471,0,19.999854850769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
