[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,HFCd_Down_48K
FILEOPENTIME,3762246609.64761,03/20/2019,12:30 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SrM,SAMPLE_MATERIAL
INFO,MvsH,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.34,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3762246750.48566,47.9305725097656,-1000.05749511719,,,5,,,,31.6299982368946,,,,,2.29961522460317E-5,5.16038712805605E-7,-2.21897030871523,0.0140068801544809,2.29925224940502E-5,5.1595726037303E-7,2.29752815890631E-5,4.0271786620873E-7,-8.9023959845818E-7,3.22537152538944E-7,1.0001578666274,10.005763053894,2,20,1,3,0.0754232006415891,0.0037658700414577,0.0413267537951469,172.859115600586,47.9018402099609,47.9547386169434,-1000.05749511719,-1000.05749511719,,,25.5039615631104,0,1,,,,,,1,1,1,47.9243965148926,0,47.9255124605619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762246772.98917,47.8790740966797,-979.997497558594,,,5,,,,31.6299982368946,,,,,2.18590420773969E-5,6.49515298054357E-7,-2.50351038357196,0.026747296091822,2.18555706104346E-5,6.49412147564472E-7,2.18347105008533E-5,2.85542399419945E-7,-9.54664365951461E-7,5.83268099194359E-7,1.00015883671143,10.005763053894,2,20,1,3,0.0717106078766188,0.0032220394996887,0.0413267537951469,172.859115600586,47.8774757385254,47.8837089538574,-979.997497558594,-979.997497558594,,,25.5541496276855,0,1,,,,,,1,1,1,47.8777961730957,0,47.8797599792481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762246794.6222,47.901798248291,-959.925476074219,,,5,,,,31.6299982368946,,,,,2.25143678048351E-5,6.53522951956278E-7,-2.04894994216337,0.0231898878471463,2.25107843484875E-5,6.53418935223905E-7,2.24963919962219E-5,3.93765996138468E-7,-8.04834850407555E-7,5.21444767155853E-7,1.00015918842685,10.005763053894,2,20,1,3,0.0738318545970598,0.00390291375000775,0.0413267537951469,172.859115600586,47.8987770080566,47.9094543457031,-959.925476074219,-959.925476074219,,,25.5874080657959,0,1,,,,,,1,1,1,47.9031295776367,0,47.9041614532471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762246816.5545,47.9298000335693,-940.035583496094,,,5,,,,31.6299982368946,,,,,2.22455408713592E-5,4.62478311954245E-7,-1.541836310564,0.0164056056615631,2.22419972145993E-5,4.62404640362893E-7,2.2233944378652E-5,2.84408800642311E-7,-5.98462581330436E-7,3.64595235221662E-7,1.0001593227769,10.005763053894,2,20,1,3,0.0729133520469918,0.00450026584730725,0.0413267537951469,172.859115600586,47.9238586425781,47.9460258483887,-940.035583496094,-940.035583496094,,,25.5715274810791,0,1,,,,,,1,1,1,47.9324684143066,0,47.9350143432617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762246839.61834,47.9631214141846,-920.048461914062,,,5,,,,31.6299982368946,,,,,2.0563580549962E-5,5.7132072649363E-7,-1.1655411757269,0.0249612365040997,2.05603088507614E-5,5.71229828434334E-7,2.05560548786492E-5,2.52123077698924E-7,-4.18219875975386E-7,5.12579233470047E-7,1.00015912694816,10.005763053894,2,20,1,3,0.0673717421951853,0.00460112685601166,0.0413267537951469,172.859115600586,47.9611854553223,47.9641075134277,-920.048461914062,-920.048461914062,,,25.587194442749,0,1,,,,,,1,1,1,47.9636421203613,0,47.9632190357555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762246862.64171,47.9904499053955,-899.903564453125,,,5,,,,31.6299982368946,,,,,1.99218808299601E-5,4.12199933113906E-7,-0.548464873186306,0.01855731747195,1.99187137343359E-5,4.12134403327055E-7,1.99178011345774E-5,1.82742305124217E-7,-1.9066933117408E-7,3.69404948970145E-7,1.00015900101113,10.005763053894,2,20,1,3,0.0652176464531748,0.00515881637329487,0.0413267537951469,172.859115600586,47.9841461181641,47.9906578063965,-899.903564453125,-899.903564453125,,,25.5545291900635,0,1,,,,,,1,1,1,47.9902420043945,0,47.9880336761475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762246884.48687,48.0219116210937,-880.462951660156,,,5,,,,31.6299982368946,,,,,2.1421082450018E-5,5.20704718914197E-7,0.839374629994699,0.0171066201626017,2.14176732065984E-5,5.20621846858565E-7,2.14153749371858E-5,3.69973998505221E-7,3.13754497014655E-7,3.66287247739369E-7,1.00015917898208,10.005763053894,2,20,1,3,0.0699707293744483,0.00724239037656991,0.0413267537951469,172.859115600586,48.0178108215332,48.025146484375,-880.462951660156,-880.462951660156,,,25.5532035827637,0,1,,,,,,1,1,1,48.023624420166,0,48.023025894165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762246906.14717,48.0424308776855,-860.42724609375,,,5,,,,31.6299982368946,,,,,2.14995801233533E-5,4.55339907766914E-7,1.44377021540789,0.0176257091943359,2.14961628602836E-5,4.55267533504623E-7,2.14893385485153E-5,2.51681152393614E-7,5.41614681420134E-7,3.79374649381328E-7,1.00015897084014,10.005763053894,2,20,1,3,0.0701466867646158,0.00800780878330681,0.0413267537951469,172.859115600586,48.0361251831055,48.0426750183105,-860.42724609375,-860.42724609375,,,25.5679206848145,0,1,,,,,,1,1,1,48.0421676635742,0,48.0403591156006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762246927.64098,48.0233974456787,-840.367370605469,,,5,,,,31.6299982368946,,,,,2.28298816541412E-5,3.95329759045186E-7,1.11419681526512,0.0162696892622656,2.28262571170098E-5,3.95266995365001E-7,2.28219412347955E-5,1.3364409214845E-7,4.43860617065347E-7,3.71988244785628E-7,1.00015878806205,10.005763053894,2,20,1,3,0.0745348728871186,0.00807310112276713,0.0413267537951469,172.859115600586,48.015495300293,48.0284614562988,-840.367370605469,-840.367370605469,,,25.5188140869141,0,1,,,,,,1,1,1,48.0213203430176,0,48.020365524292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762246949.76516,48.0086307525635,-820.343933105469,,,5,,,,31.6299982368946,,,,,2.50840063781412E-5,3.7046340600892E-7,1.24334840499356,0.011967303343054,2.50800207789849E-5,3.70404543057916E-7,2.50741157603612E-5,2.16691495252034E-7,5.44206863533306E-7,3.00406926357202E-7,1.00015891530519,10.005763053894,2,20,1,3,0.0818740724597827,0.00905302755948343,0.0413267537951469,172.859115600586,48.0052871704102,48.0099678039551,-820.343933105469,-820.343933105469,,,25.5013275146484,0,1,,,,,,1,1,1,48.0082664489746,0,48.0073991255327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
