[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,HFCd_Down_56K
FILEOPENTIME,3762240944.66157,03/20/2019,10:55 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SrM,SAMPLE_MATERIAL
INFO,MvsH,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.34,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3762241071.50227,55.9860439300537,-999.972534179688,,,5,,,,31.6299982368946,,,,,6.18023209185374E-5,5.3175569720538E-7,-2.10005004113386,0.00438218394800333,6.17925840377311E-5,5.31671919739343E-7,6.17510817762265E-5,4.56786273084714E-7,-2.26436338202198E-6,2.7206861443521E-7,1.00015757361434,10.005763053894,2,20,1,3,0.20267906773506,0.0105390976548775,0.0413267537951469,172.859115600586,55.9206237792969,55.9880599975586,-999.972534179688,-999.972534179688,,,25.6809406280518,0,1,,,,,,1,1,1,55.9846954345703,0,55.9587523142497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762241114.46631,55.8973255157471,-979.948974609375,,,5,,,,31.6299982368946,,,,,5.3184232907526E-5,3.14502380485287E-7,-1.37882032966884,0.00355198223785934,5.31758621388066E-5,3.14452880350664E-7,5.31604652250771E-5,2.51212231129174E-7,-1.27955119426236E-6,1.89137592487404E-7,1.00015741669966,10.005763053894,2,20,1,3,0.174288440429318,0.0112604927632754,0.0413267537951469,172.859115600586,55.8918991088867,55.9032020568848,-979.948974609375,-979.948974609375,,,25.7830123901367,0,1,,,,,,1,1,1,55.8959465026855,0,55.8968354930048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762241152.90469,55.9222831726074,-959.840515136719,,,5,,,,31.6299982368946,,,,,5.3451474606845E-5,3.33012514208212E-7,-1.0344959050776,0.00339135615182769,5.34430252903353E-5,3.32959873412893E-7,5.34343144204299E-5,2.79087938536515E-7,-9.64880615440986E-7,1.81582487775028E-7,1.00015809951746,10.005763053894,2,20,1,3,0.175093205081405,0.0123657581414735,0.0413267537951469,172.859115600586,55.9139442443848,55.9470367431641,-959.840515136719,-959.840515136719,,,25.8169059753418,0,1,,,,,,1,1,1,55.9244041442871,0,55.9299091157459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762241185.61593,55.9585208892822,-939.999145507812,,,5,,,,31.6299982368946,,,,,5.85967586968747E-5,5.1571944644311E-7,-1.31010898051743,0.00357227929969754,5.85875199363506E-5,5.15638134633903E-7,5.85722046268115E-5,4.70600700372615E-7,-1.33952881536842E-6,2.10754992105847E-7,1.00015769161306,10.005763053894,2,20,1,3,0.192010976267458,0.0126285236862078,0.0413267537951469,172.859115600586,55.95751953125,55.9589881896973,-939.999145507812,-939.999145507812,,,25.8328952789307,0,1,,,,,,1,1,1,55.958683013916,0,55.9585113525391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762241206.07664,56.001989364624,-919.975708007812,,,5,,,,31.6299982368946,,,,,6.02576012324999E-5,3.43623689332819E-7,-1.15306367349927,0.00258891799160147,6.02480706863534E-5,3.43569340647156E-7,6.0235870687037E-5,3.05776022613695E-7,-1.21239597590851E-6,1.56655404717712E-7,1.00015818840401,10.005763053894,2,20,1,3,0.197417100383566,0.0135233842522693,0.0413267537951469,172.859115600586,55.9921035766602,56.0159454345703,-919.975708007812,-919.975708007812,,,25.8157806396484,0,1,,,,,,1,1,1,56.0063056945801,0,56.0069412231445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762241227.91334,56.0160827636719,-899.842895507812,,,5,,,,31.6299982368946,,,,,5.52417984382746E-5,3.95894497416554E-7,-0.424682493916524,0.00383661446297879,5.52330953197364E-5,3.95832125863906E-7,5.52315780917272E-5,3.34234738964211E-7,-4.0938990770354E-7,2.1206180970525E-7,1.00015757071893,10.005763053894,2,20,1,3,0.180812219408982,0.0146935349142202,0.0413267537951469,172.859115600586,56.0125885009766,56.0165596008301,-899.842895507812,-899.842895507812,,,25.798698425293,0,1,,,,,,1,1,1,56.0158195495605,0,56.0148544311523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762241249.58601,56.0249519348145,-880.171508789063,,,5,,,,31.6299982368946,,,,,5.65063257790686E-5,3.7586369462797E-7,-0.194684689100027,0.0024641870201906,5.64974134833558E-5,3.75804412621079E-7,5.64970873340314E-5,3.49015334829394E-7,-1.91971560680427E-7,1.39345802230998E-7,1.00015774696864,10.005763053894,2,20,1,3,0.184889558134042,0.0157682984555959,0.0413267537951469,172.859115600586,56.0226898193359,56.0251922607422,-880.171508789063,-880.171508789063,,,25.7655715942383,0,1,,,,,,1,1,1,56.0250434875488,0,56.0242851257324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762241270.37827,56.0153656005859,-860.220825195313,,,5,,,,31.6299982368946,,,,,5.64779137939368E-5,3.58745444711779E-7,-0.102955699714451,0.00313932240801839,5.64690177831168E-5,3.58688937607614E-7,5.64689266165405E-5,3.11821988848173E-7,-1.01470023773995E-7,1.77270418380645E-7,1.00015753790608,10.005763053894,2,20,1,3,0.184771364886753,0.0160522608317642,0.0413267537951469,172.859115600586,56.0106735229492,56.0167770385742,-860.220825195313,-860.220825195313,,,25.7480812072754,0,1,,,,,,1,1,1,56.0148468017578,0,56.0136864402077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762241293.12054,56.0165138244629,-840.221740722656,,,5,,,,31.6299982368946,,,,,5.91160650994752E-5,3.42196428773906E-7,-0.238275550342753,0.00226719500635493,5.91067436577438E-5,3.4214247112185E-7,5.91062325409983E-5,3.14746328612665E-7,-2.45806085511701E-7,1.34149987589319E-7,1.00015770521525,10.005763053894,2,20,1,3,0.193441643096591,0.0163411213832429,0.0413267537951469,172.859115600586,56.0139122009277,56.0165939331055,-840.221740722656,-840.221740722656,,,25.7148704528809,0,1,,,,,,1,1,1,56.0165596008301,0,56.015588760376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762241313.91312,56.0471649169922,-820.258911132813,,,5,,,,31.6299982368946,,,,,6.08083601251176E-5,4.28536572559566E-7,-0.0839106224027475,0.00433890206579867,6.07987633380491E-5,4.28468940835418E-7,6.07986981371939E-5,3.37654016694745E-7,-8.9040768668949E-8,2.63771488736993E-7,1.00015784510312,10.005763053894,2,20,1,3,0.198933481948564,0.0173406795177421,0.0413267537951469,172.859115600586,56.044361114502,56.0482025146484,-820.258911132813,-820.258911132813,,,25.7131576538086,0,1,,,,,,1,1,1,56.0480270385742,0,56.0469939491966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
