[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,HFCd_Down_5K
FILEOPENTIME,3772374008.94082,07/15/2019,5:40 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Cu2OSeO3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3772374221.54797,4.99998807907105,-1000.05749511719,,,5,,,,6.47999998182058,,,,,0.000137791292603888,4.25575954071691E-7,0.00837450144239593,0.00229401452558146,0.000137769186023185,4.25507676686404E-7,0.000137769184551568,2.84943331764414E-7,2.01367055787664E-8,3.16012785504094E-7,1.00016046099525,10.005763053894,2,20,1,3,0.450706410832614,0.0401732671760171,0.0403775237500668,172.74836730957,4.9990816116333,5.00143194198608,-1000.05749511719,-1000.05749511719,,,11.7382316589355,0,1,,,,,,1,1,1,5.00004529953003,0,5.00005945792565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772374246.05457,5.00019836425781,-980.009704589844,,,5,,,,6.47999998182058,,,,,0.000192373379521419,2.16635679085747E-7,0.0661415981962712,0.000739842834810535,0.000192342514195239,2.16600920997523E-7,0.000192342386036169,1.63322297023213E-7,2.22037968110873E-7,1.42273631682181E-7,1.0001604706391,10.005763053894,2,20,1,3,0.62918488628823,0.0567076478302624,0.0403775237500668,172.74836730957,4.99934101104736,5.00090551376343,-980.009704589844,-980.009704589844,,,11.758376121521,0,1,,,,,,1,1,1,5.00002574920654,0,5.00005789597829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772374270.45671,4.99995374679565,-959.9619140625,,,5,,,,6.47999998182058,,,,,0.000264248967382811,5.08554174375069E-7,0.00695743384089464,0.00157435696774001,0.000264206603197506,5.0847264337234E-7,0.000264206601249607,2.92480739101538E-7,3.20826415693843E-8,4.159320212639E-7,1.0001603449149,10.005763053894,2,20,1,3,0.86434553448184,0.0769837307063602,0.0403775237500668,172.74836730957,4.99871492385864,5.00121593475342,-959.9619140625,-959.9619140625,,,11.7702522277832,0,1,,,,,,1,1,1,4.99998903274536,0,5.00009932884803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772374294.75346,5.00000596046448,-939.938415527344,,,5,,,,6.47999998182058,,,,,0.000351491377480306,2.8580262684133E-7,0.0540316355412855,0.000522038638196202,0.000351435025819466,2.85756806506247E-7,0.000351434869552932,2.19119730862002E-7,3.31413702343267E-7,1.83421634524427E-7,1.00016034730946,10.005763053894,2,20,1,3,1.14962827268529,0.103320017639215,0.0403775237500668,172.74836730957,4.99937009811401,5.00071477890015,-939.938415527344,-939.938415527344,,,11.787091255188,0,1,,,,,,1,1,1,5.00028133392334,0,4.99997953573863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772374318.95768,4.99972939491272,-919.975708007812,,,5,,,,6.47999998182058,,,,,0.000451132617769504,3.49144135683883E-7,0.0108326011346866,0.000544995515766242,0.000451060245544727,3.49088124797346E-7,0.000451060237483061,2.47886613580163E-7,8.52795047054835E-8,2.45794112383284E-7,1.00016044913178,10.005763053894,2,20,1,3,1.47562796685043,0.131465252143042,0.0403775237500668,172.74836730957,4.99860763549805,5.00145196914673,-919.975708007812,-919.975708007812,,,11.7983865737915,0,1,,,,,,1,1,1,4.99963855743408,0,4.99998466173808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772374343.46182,4.99988913536072,-899.903564453125,,,5,,,,6.47999998182058,,,,,0.000521233382375381,6.53609013171185E-7,0.0351324909417929,0.00118145542309365,0.000521149760530923,6.53504154209569E-7,0.000521149662558206,2.18946614006968E-7,3.19557360933501E-7,6.15735381299505E-7,1.00016045645761,10.005763053894,2,20,1,3,1.7048611509538,0.152579864796858,0.0403775237500668,172.74836730957,4.99928426742554,5.0006685256958,-899.903564453125,-899.903564453125,,,11.8143424987793,0,1,,,,,,1,1,1,4.99970149993897,0,5.00009588400523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772374366.55714,4.99997639656067,-880.329406738281,,,5,,,,6.47999998182058,,,,,0.000568012376442815,4.64915727994325E-7,0.056762341008354,0.000756264955987452,0.000567921247538487,4.64841139371516E-7,0.000567920968840766,1.77731865313969E-7,5.62633662015722E-7,4.29521441728148E-7,1.00016046045948,10.005763053894,2,20,1,3,1.85780645420971,0.166935842684388,0.0403775237500668,172.74836730957,4.99953031539917,5.00081348419189,-880.329406738281,-880.329406738281,,,11.8301000595093,0,1,,,,,,1,1,1,4.99991893768311,0,5.00003631909688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772374389.58428,5.00000023841858,-860.220825195313,,,5,,,,6.47999998182058,,,,,0.000604269541395865,3.88069797740033E-7,0.0727979869808237,0.000485632282434415,0.000604172594923072,3.88007537448042E-7,0.000604172107254864,2.5391931421939E-7,7.67640081684944E-7,2.93385123997194E-7,1.00016046155289,10.005763053894,2,20,1,3,1.97634624360925,0.178102231787838,0.0403775237500668,172.74836730957,4.99916982650757,5.00091600418091,-860.220825195313,-860.220825195313,,,11.8489856719971,0,1,,,,,,1,1,1,5.00009298324585,0,5.00005269050598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772374415.75994,5.00006771087646,-840.270263671875,,,5,,,,6.47999998182058,,,,,0.000633226967034655,5.27340132481569E-7,0.0548221908980038,0.00074883819455976,0.000633125372795057,5.27255526609491E-7,0.000633125082975826,2.30658906396953E-7,6.05791823560757E-7,4.74125362367394E-7,1.00016046464723,10.005763053894,2,20,10,3,2.07111674029111,0.185943134446805,0.0403775237500668,172.74836730957,4.99938249588013,5.00052738189697,-840.270263671875,-840.270263671875,,,11.8785390853882,0,1,,,,,,1,1,1,5.00017070770264,0,4.99992931590361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772374445.93896,4.99989461898804,-820.307495117187,,,5,,,,6.47999998182058,,,,,0.000658379328677281,5.79695188372104E-7,0.0683671387023317,0.000382863932299171,0.000658273704245016,5.79602187312546E-7,0.000658273235619423,5.22050913229076E-7,7.85472845384887E-7,2.51796623357373E-7,1.00016045670909,10.005763053894,2,20,10,3,2.15334059484807,0.19379202257173,0.0403775237500668,172.74836730957,4.99905872344971,5.00091600418091,-820.307495117187,-820.307495117187,,,11.9060049057007,0,1,,,,,,1,1,1,4.99970579147339,0,4.99991122881571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
