[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,HFCd_Up_20K
FILEOPENTIME,3772420024.98525,07/16/2019,6:26 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Cu2OSeO3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3772420194.56678,19.9470310211182,1000.19104003906,,,5,,,,6.46999990567565,,,,,5.12870797839283E-5,3.90866734197941E-7,0.0991186957633286,0.00702668804046432,5.12789786960109E-5,3.90804994559204E-7,5.12789019642516E-5,1.51226696948077E-7,8.87099014348755E-8,3.60359584169194E-7,1.00015798067987,10.005763053894,2,20,1,3,0.167733161841953,0.0152149025028815,0.0403775237500668,172.74836730957,19.9466533660889,19.9480876922607,1000.19104003906,1000.19104003906,,,24.752649307251,0,1,,,,,,1,1,1,19.947021484375,0,19.9472471383902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772420218.0832,19.957314491272,980.228271484375,,,5,,,,6.46999990567565,,,,,7.20082890516595E-5,2.76278714884283E-7,-0.109405416720271,0.00314602672017654,7.19969057496828E-5,2.76235039856273E-7,7.19967744946125E-5,1.58165295154722E-7,-1.37476909405573E-7,2.26471933477454E-7,1.00015810821115,10.005763053894,2,20,1,3,0.235577872408881,0.0204998173908832,0.0403775237500668,172.74836730957,19.9566097259521,19.9624156951904,980.228271484375,980.228271484375,,,24.7832832336426,0,1,,,,,,1,1,1,19.9579467773438,0,19.9590368270874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772420240.04881,19.9665412902832,960.435546875,,,5,,,,6.46999990567565,,,,,9.84780179847787E-5,5.03623749847256E-7,-0.015018958141976,0.00359976646440957,9.84624424753132E-5,5.03544095558479E-7,9.84624390925239E-5,3.57714005698136E-7,-2.58099863153178E-8,3.54397158988613E-7,1.00015818731563,10.005763053894,2,20,1,3,0.322128410049744,0.028559268188287,0.0403775237500668,172.74836730957,19.9632549285889,19.9723644256592,960.435546875,960.435546875,,,24.8645858764648,0,1,,,,,,1,1,1,19.9682579040527,0,19.9687751423229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772420263.06632,19.9861860275269,940.411987304687,,,5,,,,6.46999990567565,,,,,0.000133449959268866,3.0571999499598E-7,0.0409080468737377,0.00180532435806522,0.000133428854701005,3.05671646623179E-7,0.000133428820692153,1.88194232968438E-7,9.52655400634929E-8,2.40869438133498E-7,1.00015817094367,10.005763053894,2,20,1,3,0.436486661593748,0.0391180614331186,0.0403775237500668,172.74836730957,19.9829139709473,19.9904537200928,940.411987304687,940.411987304687,,,24.9628372192383,0,1,,,,,,1,1,1,19.9874858856201,0,19.9878196716309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772420283.64648,19.9887866973877,920.255004882813,,,5,,,,6.46999990567565,,,,,0.000187037460140203,3.90494991499203E-7,0.0546966770087014,0.00137074379573613,0.00018700792291635,3.90433323970309E-7,0.000187007837703204,2.94540959945887E-7,1.78524674786261E-7,2.56288515896946E-7,1.00015794637678,10.005763053894,2,20,1,3,0.611747701511866,0.0549601383685034,0.0403775237500668,172.74836730957,19.9875965118408,19.9890823364258,920.255004882813,920.255004882813,,,25.0992698669434,0,1,,,,,,1,1,1,19.9886360168457,0,19.9882151863792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772420306.63298,19.9876699447632,900.146423339844,,,5,,,,6.46999990567565,,,,,0.000269844232299532,3.43408463263287E-7,0.0414677967648149,0.000934504362311575,0.000269801601007534,3.43354209939631E-7,0.000269801530344681,2.3309874209976E-7,1.95268780279065E-7,2.52105315125996E-7,1.0001580097814,10.005763053894,2,20,1,3,0.882605197758882,0.0790697719498309,0.0403775237500668,172.74836730957,19.986946105957,19.9883460998535,900.146423339844,900.146423339844,,,25.2394313812256,0,1,,,,,,1,1,1,19.9876823425293,0,19.9875975522128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772420329.68023,20.0002069473267,880.268615722656,,,5,,,,6.46999990567565,,,,,0.000371507718861762,2.9274385767073E-7,0.122461104928246,0.000535038503171663,0.000371449025673905,2.92697608106158E-7,0.000371448177235839,2.1491816810979E-7,7.93915779862999E-7,1.98700958244791E-7,1.00015801141961,10.005763053894,2,20,1,3,1.21497221866538,0.1105509173933,0.0403775237500668,172.74836730957,19.9998531341553,20.00048828125,880.268615722656,880.268615722656,,,25.4087867736816,0,1,,,,,,1,1,1,20.0001163482666,0,20.0002254486084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772420351.32278,20.0002336502075,860.366577148438,,,5,,,,6.46999990567565,,,,,0.000501577179900946,3.45103393011828E-7,0.0820293653858926,0.000448083600861386,0.00050149793688629,3.45048870927638E-7,0.000501497422922504,2.61888888827616E-7,7.17985579415121E-7,2.24661819713708E-7,1.00015801264338,10.005763053894,2,20,1,3,1.64045622593082,0.148063641942673,0.0403775237500668,172.74836730957,19.9997997283936,20.0004997253418,860.366577148438,860.366577148438,,,25.5483589172363,0,1,,,,,,1,1,1,20.0004997253418,0,20.000079536438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772420373.18057,19.9998016357422,840.31884765625,,,5,,,,6.46999990567565,,,,,0.000608325981318439,3.29858467836333E-7,0.0629978017815622,0.000388981432980015,0.000608229885348745,3.29806360791258E-7,0.000608229517691403,2.2980550333564E-7,6.68760218639464E-7,2.3656218263921E-7,1.0001579928445,10.005763053894,2,20,1,3,1.98965067476777,0.178871905758916,0.0403775237500668,172.74836730957,19.9990386962891,20.0004024505615,840.31884765625,840.31884765625,,,25.647331237793,0,1,,,,,,1,1,1,20.0001354217529,0,20.0000051498413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772420398.20358,20.0002317428589,820.307495117187,,,5,,,,6.46999990567565,,,,,0.000665533337766974,3.5347984507794E-7,0.0236980018913071,0.000426666034007708,0.000665428191757583,3.53423999648416E-7,0.000665428134839615,2.10496900880895E-7,2.75226521590227E-7,2.83900648549844E-7,1.00015801255596,10.005763053894,2,20,10,3,2.17689533206901,0.194153398418346,0.0403775237500668,172.74836730957,19.9997310638428,20.0002613067627,820.307495117187,820.307495117187,,,25.7196273803711,0,1,,,,,,1,1,1,20.0002021789551,0,20.0000312328339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
