[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,HFCd_Up_48K
FILEOPENTIME,3762248006.63907,03/20/2019,12:53 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SrM,SAMPLE_MATERIAL
INFO,MvsH,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.34,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3762248149.48156,47.9149799346924,1000.44604492187,,,5,,,,31.6299982368946,,,,,6.49477530244299E-6,5.63655238830553E-7,9.05384863233025,0.0708494531702623,6.49374957532129E-6,5.63566220128776E-7,6.41284318100368E-6,3.18728914534132E-7,1.02187371178642E-6,4.6477818742937E-7,1.00015795606372,10.005763053894,2,20,1,3,0.0206828065231219,0.00520715258416894,0.0413267537951469,172.859115600586,47.8982009887695,47.9380683898926,1000.44604492187,1000.44604492187,,,25.6555767059326,0,1,,,,,,1,1,1,47.9092025756836,0,47.9129128089318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762248172.93349,47.8939895629883,980.240356445313,,,5,,,,31.6299982368946,,,,,8.46329516850583E-6,6.41736027119873E-7,5.29307827291723,0.0634624969205082,8.46194920680629E-6,6.41633968513086E-7,8.42586618546531E-6,3.45742941572204E-7,7.80617321868875E-7,5.4051453995508E-7,1.00015906047964,10.005763053894,2,20,1,3,0.0273387315908594,0.00500242426446276,0.0413267537951469,172.859115600586,47.8923645019531,47.8943061828613,980.240356445313,980.240356445313,,,25.7056732177734,0,1,,,,,,1,1,1,47.8936729431152,0,47.8933559417725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762248194.87192,47.8822174072266,960.301879882813,,,5,,,,31.6299982368946,,,,,1.0588485873919E-5,3.89185890588485E-7,2.92737515931989,0.0285310885732356,1.05868027778392E-5,3.89124027423671E-7,1.05729877472105E-5,2.44754111065819E-7,5.40669172600812E-7,3.02511047459094E-7,1.00015898058319,10.005763053894,2,20,1,3,0.0344329434184324,0.00484065310435797,0.0413267537951469,172.859115600586,47.8815002441406,47.8938064575195,960.301879882813,960.301879882813,,,25.7221431732178,0,1,,,,,,1,1,1,47.8815498352051,0,47.8843668157404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762248217.864,47.9447574615479,940.314880371094,,,5,,,,31.6299982368946,,,,,9.94288698843651E-6,5.19349037123172E-7,6.04224265801382,0.0470263993614877,9.94130086915866E-6,5.19266189000622E-7,9.88607255887118E-6,2.14607358000634E-7,1.0464379254733E-6,4.72843586116189E-7,1.0001595484634,10.005763053894,2,20,1,3,0.0320388599581055,0.00629503818344911,0.0413267537951469,172.859115600586,47.9330062866211,47.961109161377,940.314880371094,940.314880371094,,,25.7393798828125,0,1,,,,,,1,1,1,47.9491119384766,0,47.9498310089111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762248240.94811,47.9603538513184,920.279235839844,,,5,,,,31.6299982368946,,,,,1.4103501888374E-5,6.76245222176214E-7,2.50607419296629,0.0287778819898026,1.41012597841889E-5,6.7613771609334E-7,1.4087773221908E-5,5.42341006830551E-7,6.16581826910036E-7,4.03767808813361E-7,1.00015900027511,10.005763053894,2,20,1,3,0.0459098863510226,0.00610819918900071,0.0413267537951469,172.859115600586,47.9590492248535,47.9612426757812,920.279235839844,920.279235839844,,,25.7225875854492,0,1,,,,,,1,1,1,47.9599800109863,0,47.9600765228271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762248261.4662,47.9638690948486,900.182861328125,,,5,,,,31.6299982368946,,,,,1.52915080537683E-5,3.60677472898106E-7,1.70858386645884,0.0210833745144206,1.52890763806215E-5,3.60620117552745E-7,1.52822789245662E-5,1.60221520159218E-7,4.55859017940681E-7,3.23072644557884E-7,1.00015904643853,10.005763053894,2,20,1,3,0.0498645535691097,0.00592819038680547,0.0413267537951469,172.859115600586,47.9634895324707,47.9661102294922,900.182861328125,900.182861328125,,,25.7380714416504,0,1,,,,,,1,1,1,47.9640464782715,0,47.9642208099365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762248284.53158,47.9978713989258,880.183654785156,,,5,,,,31.6299982368946,,,,,1.63271418877449E-5,6.32456933406837E-7,3.77177029041183,0.037004501443701,1.63245444693339E-5,6.32356318412843E-7,1.62891855129087E-5,1.71896225555645E-7,1.07386566073548E-6,6.08544329590185E-7,1.00015911123375,10.005763053894,2,20,1,3,0.0529794376693007,0.00824122719275188,0.0413267537951469,172.859115600586,47.9954376220703,48.0006942749023,880.183654785156,880.183654785156,,,25.704906463623,0,1,,,,,,1,1,1,47.9984931945801,0,47.9989187067205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762248307.58534,48.003396987915,860.403015136719,,,5,,,,31.6299982368946,,,,,1.7785743138714E-5,4.32475101617993E-7,2.95163481575973,0.0210753221569482,1.7782915300447E-5,4.32406340384216E-7,1.77593237274323E-5,2.13184554319735E-7,9.15694996782802E-7,3.7620152711541E-7,1.00015901994803,10.005763053894,2,20,1,3,0.0578351356629656,0.00814924808642778,0.0413267537951469,172.859115600586,48.0032119750977,48.0048980712891,860.403015136719,860.403015136719,,,25.7036743164062,0,1,,,,,,1,1,1,48.0035133361816,0,48.0038471221924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762248328.93408,48.0369968414307,840.367370605469,,,5,,,,31.6299982368946,,,,,2.01421038274706E-5,5.07315615741898E-7,2.37311289249648,0.0236959915493422,2.01388980965427E-5,5.07234873562554E-7,2.01216263938219E-5,1.66580633974603E-7,8.33887168854172E-7,4.79101356022543E-7,1.00015918104916,10.005763053894,2,20,1,3,0.0655874698047069,0.00856570189782721,0.0413267537951469,172.859115600586,48.032054901123,48.0374908447266,840.367370605469,840.367370605469,,,25.7021942138672,0,1,,,,,,1,1,1,48.0374755859375,0,48.0354981855913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762248351.2123,48.038257598877,820.416809082031,,,5,,,,31.6299982368946,,,,,2.23779598684886E-5,6.37036284519352E-7,2.93106095302174,0.0227762242220608,2.23744046973178E-5,6.36935079000763E-7,2.23451341250171E-5,3.80597480643111E-7,1.14410073610514E-6,5.10716998532283E-7,1.00015889455916,10.005763053894,2,20,1,3,0.0727719995661877,0.010224101834767,0.0413267537951469,172.859115600586,48.0281028747559,48.0400123596191,820.416809082031,820.416809082031,,,25.6529006958008,0,1,,,,,,1,1,1,48.0374183654785,0,48.0343797857111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
