[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,HFCd_Up_52K
FILEOPENTIME,3772393310.72119,07/15/2019,11:01 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Cu2OSeO3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3772393447.93468,51.9535541534424,1000.20318603516,,,5,,,,6.47999998182058,,,,,6.313107807642E-6,2.92598771016475E-7,10.8174481899938,0.0280159372224361,6.31214999212821E-6,2.92554378357465E-7,6.19998398471542E-6,2.40805373288744E-7,1.18466708926873E-6,1.66134994782531E-7,1.00015174156428,10.005763053894,2,20,1,3,0.0199390262509,0.00567768858162134,0.0403775237500668,172.74836730957,51.9208679199219,51.9760208129883,1000.20318603516,1000.20318603516,,,23.4800033569336,0,1,,,,,,1,1,1,51.9471855163574,0,51.946951352633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393470.4137,51.8995628356934,980.325439453125,,,5,,,,6.47999998182058,,,,,9.86017188116781E-6,3.06854067475479E-7,4.67097346100767,0.0179981510028117,9.85866746203218E-6,3.06807249109986E-7,9.82592455675195E-6,2.52132581505585E-7,8.02826713526097E-7,1.74813756466037E-7,1.00015259862871,10.005763053894,2,20,1,3,0.0319124591495705,0.0054817006197842,0.0403775237500668,172.74836730957,51.8937149047852,51.9027862548828,980.325439453125,980.325439453125,,,23.5067386627197,0,1,,,,,,1,1,1,51.898380279541,0,51.8971613103693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393492.24506,51.8967266082764,960.301879882813,,,5,,,,6.47999998182058,,,,,1.08327349428587E-5,2.63204218357667E-7,4.01950553143844,0.0123354401734844,1.08310798120488E-5,2.63164003452254E-7,1.08044380077663E-5,2.2837517042815E-7,7.59216195366676E-7,1.30767252188501E-7,1.0001528130933,10.005763053894,2,20,1,3,0.0351264699108043,0.00562261295483452,0.0403775237500668,172.74836730957,51.8955497741699,51.9018363952637,960.301879882813,960.301879882813,,,23.5204467773438,0,1,,,,,,1,1,1,51.8975563049316,0,51.89814453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393513.99255,51.9265766143799,940.302673339844,,,5,,,,6.47999998182058,,,,,1.15511105571786E-5,2.74100201081241E-7,4.54691471599984,0.0136388961330716,1.15493431430708E-5,2.74058261515349E-7,1.15129945417004E-5,2.25869374769182E-7,9.15578352285026E-7,1.55212616259742E-7,1.00015303156949,10.005763053894,2,20,1,3,0.0373992312209565,0.00633919771442357,0.0403775237500668,172.74836730957,51.9201278686523,51.9401168823242,940.302673339844,940.302673339844,,,23.5339984893799,0,1,,,,,,1,1,1,51.9291000366211,0,51.930842590332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393535.61815,51.9454956054687,920.352111816406,,,5,,,,6.47999998182058,,,,,1.4754040161495E-5,3.05702377032341E-7,2.56093625346914,0.0103538948621117,1.47517868287468E-5,3.05655688181704E-7,1.47370537130322E-5,2.65832944198607E-7,6.59137694256313E-7,1.50858362368586E-7,1.00015274981766,10.005763053894,2,20,1,3,0.0480214287313485,0.00643561462362332,0.0403775237500668,172.74836730957,51.9442100524902,51.9457168579102,920.352111816406,920.352111816406,,,23.5572662353516,0,1,,,,,,1,1,1,51.945255279541,0,51.9450244903564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393557.56971,51.9567012786865,900.352844238281,,,5,,,,6.47999998182058,,,,,1.5407024466256E-5,3.21351715952732E-7,2.25089025026774,0.0139174598803709,1.54046688096534E-5,3.2130258289053E-7,1.53927829694004E-5,2.39652798018655E-7,6.05023629327139E-7,2.14013752301004E-7,1.00015291835428,10.005763053894,2,20,1,3,0.0501825032971371,0.00644790848632766,0.0403775237500668,172.74836730957,51.9541320800781,51.9644966125488,900.352844238281,900.352844238281,,,23.5600070953369,0,1,,,,,,1,1,1,51.9578056335449,0,51.9588588367809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393580.67763,52.0046443939209,880.487243652344,,,5,,,,6.47999998182058,,,,,1.6556885579624E-5,3.03844365963407E-7,3.14467353969853,0.0118493150234699,1.6554353888758E-5,3.03797905534462E-7,1.65294263681532E-5,2.32625419622354E-7,9.08128082396448E-7,1.95393402019234E-7,1.0001529320252,10.005763053894,2,20,1,3,0.0538132252496279,0.00776834746834276,0.0403775237500668,172.74836730957,52.0012092590332,52.0113296508789,880.487243652344,880.487243652344,,,23.5730857849121,0,1,,,,,,1,1,1,52.0059432983398,0,52.0074660561302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393603.58577,52.0088806152344,860.269470214844,,,5,,,,6.47999998182058,,,,,1.88319238644724E-5,2.52977992314714E-7,2.25553634833599,0.0102187033749079,1.8829047132062E-5,2.52939347830229E-7,1.88144591018059E-5,1.64010622496494E-7,7.41042919058826E-7,1.92558638832679E-7,1.00015278162459,10.005763053894,2,20,1,3,0.0613374370551122,0.00788357948391687,0.0403775237500668,172.74836730957,52.0050315856934,52.0092964172363,860.269470214844,860.269470214844,,,23.5729999542236,0,1,,,,,,1,1,1,52.0085182189941,0,52.007462310791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393626.69459,52.0229301452637,840.501037597656,,,5,,,,6.47999998182058,,,,,1.96879138668859E-5,3.07719282392812E-7,2.21913893212137,0.0091021611945901,1.9684907272089E-5,3.07672289745465E-7,1.96701443337224E-5,2.50775574472082E-7,7.62231068163393E-7,1.78252206509246E-7,1.00015273604063,10.005763053894,2,20,1,3,0.0641308420986012,0.00819982404529996,0.0403775237500668,172.74836730957,52.021240234375,52.023078918457,840.501037597656,840.501037597656,,,23.5846881866455,0,1,,,,,,1,1,1,52.0229682922363,0,52.0224314602939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393648.29689,52.0181312561035,820.331787109375,,,5,,,,6.47999998182058,,,,,2.00170366864928E-5,2.76696129218563E-7,2.41290617520764,0.00995295445157859,2.00139796323574E-5,2.76653871462866E-7,1.99962346784311E-5,1.92030512727048E-7,8.42602759032359E-7,1.99152320541788E-7,1.00015274594017,10.005763053894,2,20,1,3,0.0651744979769734,0.00855595262407084,0.0403775237500668,172.74836730957,52.0128707885742,52.0187034606934,820.331787109375,820.331787109375,,,23.5966625213623,0,1,,,,,,1,1,1,52.0178527832031,0,52.0161288868297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393670.24509,52.0094146728516,800.441833496094,,,5,,,,6.47999998182058,,,,,2.07852017896726E-5,2.5393062401164E-7,2.72678359292918,0.00699804440068209,2.07820285544793E-5,2.53891856931054E-7,2.0758498006088E-5,2.08846912335159E-7,9.88671517965181E-7,1.44374659216808E-7,1.00015269131139,10.005763053894,2,20,1,3,0.067626080320694,0.00925345655456524,0.0403775237500668,172.74836730957,52.0075950622559,52.0104103088379,800.441833496094,800.441833496094,,,23.5851726531982,0,1,,,,,,1,1,1,52.0090370178223,0,52.0086570739746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393693.25807,52.0123100280762,780.248352050781,,,5,,,,6.47999998182058,,,,,2.12748965223314E-5,2.68843532369849E-7,2.69594027936456,0.00566570462338613,2.12716481490337E-5,2.68802483796433E-7,2.12481049059446E-5,2.41415514542908E-7,1.00052630263523E-6,1.18208817916069E-7,1.0001527090555,10.005763053894,2,20,1,3,0.0692245891782458,0.00943270432763641,0.0403775237500668,172.74836730957,52.0100479125977,52.0125389099121,780.248352050781,780.248352050781,,,23.5728988647461,0,1,,,,,,1,1,1,52.0121192932129,0,52.0115978240967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393713.85284,52.0247077941895,760.443420410156,,,5,,,,6.47999998182058,,,,,2.15472214674568E-5,3.57806947814295E-7,5.31493482124728,0.00518891961716861,2.15439291804491E-5,3.57752277045382E-7,2.14513029285419E-5,3.44647980011162E-7,1.99561699735625E-6,9.59398853729838E-8,1.00015281738907,10.005763053894,2,20,1,3,0.0696011470490052,0.0127456356817078,0.0403775237500668,172.74836730957,52.0232276916504,52.0251083374023,760.443420410156,760.443420410156,,,23.5728206634521,0,1,,,,,,1,1,1,52.0249671936035,0,52.0244094848633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393737.05111,52.0403060913086,740.395629882813,,,5,,,,6.47999998182058,,,,,2.35491081928856E-5,4.06271437713754E-7,3.88082622762966,0.0055062760745117,2.35455121356578E-5,4.06209398194973E-7,2.34915218991115E-5,3.8839240238564E-7,1.5935936100445E-6,1.18984944219986E-7,1.00015272792569,10.005763053894,2,20,1,3,0.0763925912842533,0.0120200206680531,0.0403775237500668,172.74836730957,52.032657623291,52.0416526794434,740.395629882813,740.395629882813,,,23.5605144500732,0,1,,,,,,1,1,1,52.0395088195801,0,52.038308577104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393757.50362,52.017915725708,720.347839355469,,,5,,,,6.47999998182058,,,,,2.48486709391572E-5,2.98155098554078E-7,4.1019721753709,0.00431018833168664,2.48448790808076E-5,2.9810960067201E-7,2.47812344840037E-5,2.80799369641665E-7,1.77719835380854E-6,1.00105184789147E-7,1.00015262132439,10.005763053894,2,20,1,3,0.0805590118856814,0.0129926497565749,0.0403775237500668,172.74836730957,52.0098266601562,52.0207672119141,720.347839355469,720.347839355469,,,23.5715045928955,0,1,,,,,,1,1,1,52.0166358947754,0,52.0153076171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393780.62432,52.0123233795166,700.16650390625,,,5,,,,6.47999998182058,,,,,2.66258480630939E-5,2.35636456986664E-7,3.56215981800137,0.00389009321151633,2.66217826595428E-5,2.35600478516166E-7,2.65703488396209E-5,2.13089915658022E-7,1.65404791731868E-6,1.00500116029305E-7,1.00015270966648,10.005763053894,2,20,1,3,0.0864481591937494,0.0131061388557091,0.0403775237500668,172.74836730957,52.0110092163086,52.0129699707031,700.16650390625,700.16650390625,,,23.5597515106201,0,1,,,,,,1,1,1,52.0121612548828,0,52.0119001215154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393803.66676,52.0068359375,680.446594238281,,,5,,,,6.47999998182058,,,,,2.90346485647942E-5,3.35660013411859E-7,3.75780076213519,0.00869188022512605,2.90302159975378E-5,3.35608769961077E-7,2.89678013066265E-5,2.2099698064679E-7,1.90261092278759E-6,2.52573911993677E-7,1.00015268805636,10.005763053894,2,20,1,3,0.0942199005529258,0.014611645303059,0.0403775237500668,172.74836730957,52.0036964416504,52.0078544616699,680.446594238281,680.446594238281,,,23.5584030151367,0,1,,,,,,1,1,1,52.0063247680664,0,52.0055455294522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393826.70435,52.0026988983154,660.362365722656,,,5,,,,6.47999998182058,,,,,3.37080034751436E-5,2.71239025636797E-7,3.02741254455858,0.00358339901471134,3.37028560971457E-5,2.71197606102894E-7,3.36558197470976E-5,2.44168765184158E-7,1.77997366716149E-6,1.18024385888614E-7,1.00015272824306,10.005763053894,2,20,1,3,0.109592958917853,0.0155653963074616,0.0403775237500668,172.74836730957,52.0025672912598,52.0033874511719,660.362365722656,660.362365722656,,,23.5347843170166,0,1,,,,,,1,1,1,52.0028686523438,0,52.0030256907145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772393848.39582,52.0044345855713,640.290283203125,,,5,,,,6.47999998182058,,,,,4.12880603065715E-5,2.35770208042492E-7,2.63791054584312,0.00397298039329725,4.12817568746254E-5,2.35734213097458E-7,4.1238012085879E-5,1.69496055031341E-7,1.89994996265156E-6,1.63834387579318E-7,1.0001526929187,10.005763053894,2,20,1,3,0.134364398317965,0.0181497675733172,0.0403775237500668,172.74836730957,52.0028839111328,52.0049591064453,640.290283203125,640.290283203125,,,23.5342655181885,0,1,,,,,,1,1,1,52.0041542053223,0,52.0037456512451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
