[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,HFCd_Up_56K
FILEOPENTIME,3762242357.63767,03/20/2019,11:19 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SrM,SAMPLE_MATERIAL
INFO,MvsH,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.34,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3762242516.04309,55.905725479126,1000.37322998047,,,5,,,,31.6299982368946,,,,,2.58532488092397E-5,4.34305482028657E-7,3.44200384953779,0.0107820066379726,2.58491846152177E-5,4.34237208143358E-7,2.58025548019741E-5,3.3408026644228E-7,1.55193780891058E-6,2.77402827148522E-7,1.00015722716529,10.005763053894,2,20,1,3,0.0839629363194946,0.0125763957847056,0.0413267537951469,172.859115600586,55.8920555114746,55.9155616760254,1000.37322998047,1000.37322998047,,,25.7633285522461,0,1,,,,,,1,1,1,55.903205871582,0,55.8992687722911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762242554.13296,55.9041175842285,980.398254394531,,,5,,,,31.6299982368946,,,,,2.87008338202042E-5,4.09381128304249E-7,3.13954533206584,0.00999356411725938,2.86962977452608E-5,4.09316426926929E-7,2.8653227687153E-5,2.92390831064374E-7,1.57163844214521E-6,2.86439416389771E-7,1.00015807178277,10.005763053894,2,20,1,3,0.0932836041458394,0.0134673717523259,0.0413267537951469,172.859115600586,55.8945808410645,55.9391593933105,980.398254394531,980.398254394531,,,25.7975959777832,0,1,,,,,,1,1,1,55.9072418212891,0,55.9169206165132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762242586.94064,55.9506797790527,960.253356933594,,,5,,,,31.6299982368946,,,,,3.03194281623281E-5,4.85556039935081E-7,2.96371477973136,0.00752299029718611,3.03146482343087E-5,4.8547949090164E-7,3.02741017458704E-5,4.30807375071614E-7,1.56737393450294E-6,2.23819886672345E-7,1.00015767717252,10.005763053894,2,20,1,3,0.0985878090754678,0.0139222544442302,0.0413267537951469,172.859115600586,55.9497756958008,55.951602935791,960.253356933594,960.253356933594,,,25.8133029937744,0,1,,,,,,1,1,1,55.951042175293,0,55.9506443023682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762242608.2235,55.9712543487549,940.326965332031,,,5,,,,31.6299982368946,,,,,3.37171063280927E-5,4.57291156228282E-7,2.62895540652338,0.00689111245671776,3.37117860984093E-5,4.57219000155348E-7,3.36763050253982E-5,3.95425053712543E-7,1.54628644863775E-6,2.2953919273076E-7,1.00015781512341,10.005763053894,2,20,1,3,0.109724671283238,0.0148392502758826,0.0413267537951469,172.859115600586,55.9683456420898,55.9819259643555,940.326965332031,940.326965332031,,,25.812370300293,0,1,,,,,,1,1,1,55.9721908569336,0,55.9745483398438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762242630.58747,56.0205554962158,920.400634765625,,,5,,,,31.6299982368946,,,,,4.0829701841799E-5,3.76513860329453E-7,1.45609883008404,0.00351294606998142,4.08232562522919E-5,3.76454421889348E-7,4.081007396677E-5,3.48947869069499E-7,1.03735908298484E-6,1.41256208472048E-7,1.00015789013663,10.005763053894,2,20,1,3,0.133211229043124,0.0152432559070906,0.0413267537951469,172.859115600586,56.0151100158691,56.022632598877,920.400634765625,920.400634765625,,,25.7793846130371,0,1,,,,,,1,1,1,56.0216484069824,0,56.0207042694092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762242653.4428,56.017993927002,900.304321289063,,,5,,,,31.6299982368946,,,,,4.23694158127503E-5,4.19467226573919E-7,1.27693545879293,0.00404935655443258,4.23627418428768E-5,4.19401152695406E-7,4.23522215284909E-5,3.83525860767728E-7,9.44048752902364E-7,1.6972106824024E-7,1.00015754338797,10.005763053894,2,20,1,3,0.13828374939442,0.0153827780560116,0.0413267537951469,172.859115600586,56.0155563354492,56.0190505981445,900.304321289063,900.304321289063,,,25.7618064880371,0,1,,,,,,1,1,1,56.0176048278809,0,56.017041015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762242676.50817,56.0307464599609,880.438720703125,,,5,,,,31.6299982368946,,,,,4.4444528911555E-5,4.09217664280396E-7,1.62951957038738,0.00373815070779758,4.44375225465563E-5,4.09153154015802E-7,4.44195518684365E-5,3.74954926295148E-7,1.26365417855708E-6,1.63753188329507E-7,1.00015766776807,10.005763053894,2,20,1,3,0.144954665494225,0.0170254194183674,0.0413267537951469,172.859115600586,56.0261459350586,56.0308151245117,880.438720703125,880.438720703125,,,25.744026184082,0,1,,,,,,1,1,1,56.0307273864746,0,56.0291797637939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762242697.09302,56.0190734863281,860.378723144531,,,5,,,,31.6299982368946,,,,,4.62965725056061E-5,3.27010331478908E-7,1.29963706474059,0.00294537733572881,4.6289277649575E-5,3.26958805131281E-7,4.62773698723985E-5,2.97810898685019E-7,1.04988714282269E-6,1.34947133638684E-7,1.00015759278177,10.005763053894,2,20,1,3,0.151094940309312,0.0168619915775021,0.0413267537951469,172.859115600586,56.0142669677734,56.0209770202637,860.378723144531,860.378723144531,,,25.7111377716064,0,1,,,,,,1,1,1,56.0179748535156,0,56.017134475708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762242720.03271,56.0376625061035,840.100280761719,,,5,,,,31.6299982368946,,,,,4.65714424974886E-5,3.9343132903015E-7,1.55989891751746,0.00359942785306441,4.65640967944721E-5,3.93369273196243E-7,4.654684071984E-5,3.5679398731142E-7,1.26756825726087E-6,1.65642493682505E-7,1.00015775465481,10.005763053894,2,20,1,3,0.151913695122201,0.0176490363767784,0.0413267537951469,172.859115600586,56.0337409973145,56.0377922058105,840.100280761719,840.100280761719,,,25.6935081481934,0,1,,,,,,1,1,1,56.037727355957,0,56.0365207672119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762242743.06797,56.0542964935303,820.441040039063,,,5,,,,31.6299982368946,,,,,4.8760128988933E-5,4.47542765095854E-7,1.45263960071474,0.00628574525570161,4.8752440129324E-5,4.47472193225738E-7,4.87367721282599E-5,3.26284121776966E-7,1.23590496454747E-6,3.06218934075746E-7,1.00015771230299,10.005763053894,2,20,1,3,0.159087689012857,0.0181773397350617,0.0413267537951469,172.859115600586,56.0473213195801,56.0543556213379,820.441040039063,820.441040039063,,,25.6596069335938,0,1,,,,,,1,1,1,56.054271697998,0,56.0520454406738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
