[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,ZFCd_Down_10K
FILEOPENTIME,3772406418.18086,07/16/2019,2:40 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Cu2OSeO3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3772406640.17496,10.0005087852478,-0.145713716745377,,,5,,,,6.46999990567565,,,,,0.000594803195174164,1.1003470530551E-8,0.0308491975445113,9.5092575402537E-6,0.000594708291885669,1.10017148817134E-8,0.000594708205683843,9.43840691521752E-9,3.2020286393227E-7,5.65280507724163E-9,1.00015957956159,10.005763053894,2,20,1,3,1.94562656526518,0.172087368533794,0.0403775237500668,172.74836730957,9.99924468994141,10.0009384155273,-0.145713716745377,-0.145713716745377,,,17.7360973358154,0,1,,,,,,1,1,1,10.0005168914795,0,10.000287437439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772406661.70632,9.99980068206787,-19.9506359100342,,,5,,,,6.46999990567565,,,,,0.000594714715059934,9.3642211944441E-9,0.0303983551470113,1.30409387145642E-5,0.000594619845191089,9.36272739848772E-9,0.000594619761502875,5.24724354393304E-9,3.15476367320524E-7,7.75416659152005E-9,1.00015954709486,10.005763053894,2,20,1,3,1.94533592279232,0.172087698808579,0.0403775237500668,172.74836730957,9.9988603591919,10.000997543335,-19.9506359100342,-19.9506359100342,,,17.7787094116211,0,1,,,,,,1,1,1,9.99967861175537,0,9.99976568222046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772406683.62943,9.99855709075928,-40.0348434448242,,,5,,,,6.46999990567565,,,,,0.000594539956348307,1.13738745396641E-8,0.03004425080172,1.40851095597088E-5,0.000594445080174351,1.13720595065652E-8,0.000594444998448543,7.69630417043043E-9,3.11709804979009E-7,8.37201526139761E-9,1.00015960460793,10.005763053894,2,20,1,3,1.94476273288752,0.172066916996348,0.0403775237500668,172.74836730957,9.99842071533203,10.0014896392822,-40.0348434448242,-40.0348434448242,,,17.7850227355957,0,1,,,,,,1,1,1,9.9987154006958,0,9.99938782778653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772406705.27742,10.0003833770752,-59.9247627258301,,,5,,,,6.46999990567565,,,,,0.000594319629311756,2.02297786005848E-8,0.0290139305405175,2.91111888051406E-5,0.000594224806594425,2.02265509727507E-8,0.000594224730406062,1.04824501374552E-8,3.00908665065028E-7,1.72983121537636E-8,1.00015957381159,10.005763053894,2,20,1,3,1.94404254384671,0.172009573210777,0.0403775237500668,172.74836730957,9.99923133850098,10.0009269714355,-59.9247627258301,-59.9247627258301,,,17.8220539093018,0,1,,,,,,1,1,1,10.0004558563232,0,10.0001365661621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772406727.2231,9.99981832504273,-79.8875350952148,,,5,,,,6.46999990567565,,,,,0.0005943667939308,1.96191069691258E-8,0.0301549542122128,2.10893413134397E-5,0.000594271979082254,1.96159772810697E-8,0.000594271896777044,1.50923259625657E-8,3.12767251686164E-7,1.25302937607667E-8,1.00015954790379,10.005763053894,2,20,1,3,1.94419079944728,0.17210348184447,0.0403775237500668,172.74836730957,9.99887657165527,10.0010347366333,-79.8875350952148,-79.8875350952148,,,17.8363494873047,0,1,,,,,,1,1,1,9.9998254776001,0,9.99971981048584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772406750.18416,9.99996042251587,-99.959602355957,,,5,,,,6.46999990567565,,,,,0.000594754298261443,3.14478545954636E-8,0.0274981082014447,2.69541598707953E-5,0.000594659417723543,3.14428377517543E-8,0.000594659349238038,2.70547512751009E-8,2.85396385611541E-7,1.60216253646618E-8,1.000159554419,10.005763053894,2,20,1,3,1.94546371063506,0.172167267429038,0.0403775237500668,172.74836730957,9.99895477294922,10.0010766983032,-99.959602355957,-99.959602355957,,,17.8570232391357,0,1,,,,,,1,1,1,9.99999618530273,0,9.9998875617981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772406771.82114,10.0029773712158,-119.861663818359,,,5,,,,6.46999990567565,,,,,0.000595447670646929,5.13473122625196E-8,0.0269213471405871,3.22100145664717E-5,0.000595352733507512,5.13391255364927E-8,0.000595352667788253,4.76308332153377E-8,2.79736084512879E-7,1.91574930005061E-8,1.00015946368274,10.005763053894,2,20,1,3,1.94773090166709,0.17238985824564,0.0403775237500668,172.74836730957,9.99999713897705,10.0048971176147,-119.861663818359,-119.861663818359,,,17.8928375244141,0,1,,,,,,1,1,1,10.0024080276489,0,10.0017512321472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772406793.78794,9.99993944168091,-139.933731079102,,,5,,,,6.46999990567565,,,,,0.000596405485880771,4.89311233447542E-8,0.0232028835295335,5.13231317662232E-5,0.000596310342504163,4.89233174603242E-8,0.000596310293607301,3.81739654492923E-8,2.41485833057536E-7,3.05980285835526E-8,1.00015955345703,10.005763053894,2,20,1,3,1.95087253517445,0.172582463632644,0.0403775237500668,172.74836730957,9.99887561798096,10.0010719299316,-139.933731079102,-139.933731079102,,,17.9369220733643,0,1,,,,,,1,1,1,9.99969577789307,0,9.9998672803243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772406816.88531,9.99975681304932,-160.030090332031,,,5,,,,6.46999990567565,,,,,0.000597634173236033,6.065303306817E-8,0.0244811748491003,8.6963132158245E-5,0.000597538838852123,6.0643357718602E-8,0.000597538784307068,3.12647055549783E-8,2.55314657942965E-7,5.19628234601127E-8,1.00015954508345,10.005763053894,2,20,1,3,1.95488514827225,0.173023671947352,0.0403775237500668,172.74836730957,9.99888610839844,10.0009479522705,-160.030090332031,-160.030090332031,,,17.9880619049072,0,1,,,,,,1,1,1,9.99940586090088,0,9.99976746241252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772406839.94615,9.99980592727661,-179.992858886719,,,5,,,,6.46999990567565,,,,,0.000599154510287155,9.19107159518037E-8,0.0229083135695554,6.57244745069349E-5,0.000599058863430308,9.18960436578621E-8,0.000599058815547406,8.30466931172584E-8,2.39519001941681E-7,3.93462781245648E-8,1.00015966186745,10.005763053894,2,20,1,3,1.95986037692226,0.173451902767812,0.0403775237500668,172.74836730957,9.99877262115479,10.0007219314575,-179.992858886719,-179.992858886719,,,18.0087604522705,0,1,,,,,,1,1,1,9.99978542327881,0,9.9996693351052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
