[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,ZFCd_Down_48K
FILEOPENTIME,3762238115.72408,03/20/2019,10:08 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SrM,SAMPLE_MATERIAL
INFO,MvsH,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.34,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3762238256.47129,47.9385433197022,-0.303570240736008,,,5,,,,31.6299982368946,,,,,0.000619647386362045,1.55496922160656E-8,0.00985146148168514,6.69583049439883E-6,0.000619549212024596,1.5547228587937E-8,0.000619549202866569,1.49855855315992E-8,1.06525562965799E-7,4.1410799365251E-9,1.00015846091891,10.005763053894,2,20,1,3,2.02698241513665,0.178266679681809,0.0413267537951469,172.859115600586,47.9091148376465,47.9487342834473,-0.303570240736008,-0.303570240736008,,,24.9652118682861,0,1,,,,,,1,1,1,47.9330787658691,0,47.9273816888983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762238276.98871,47.8942489624023,-19.8777770996094,,,5,,,,31.6299982368946,,,,,0.000619348467654976,1.965568479048E-8,0.00869258423779407,1.3252219523561E-5,0.000619250033142601,1.96525608661486E-8,0.000619250026015899,1.78594903085305E-8,9.39490325892143E-8,8.20132638767529E-9,1.00015895762149,10.005763053894,2,20,1,3,2.02600555786456,0.178182306361545,0.0413267537951469,172.859115600586,47.8905410766602,47.8960952758789,-19.8777770996094,-19.8777770996094,,,24.9989433288574,0,1,,,,,,1,1,1,47.8934326171875,0,47.8926748795943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762238300.05978,47.8900585174561,-39.8041305541992,,,5,,,,31.6299982368946,,,,,0.000620880799823617,2.6029289330218E-8,0.00823046862535204,3.61675734521975E-5,0.000620782027186082,2.602514846846E-8,0.000620782020781172,1.31620892642376E-8,8.91745783683608E-8,2.24514533829243E-8,1.0001591100148,10.005763053894,2,20,1,3,2.03101686266321,0.178650091831872,0.0413267537951469,172.859115600586,47.8890037536621,47.9013862609863,-39.8041305541992,-39.8041305541992,,,25.0316143035889,0,1,,,,,,1,1,1,47.8906898498535,0,47.8933129744096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762238325.10122,47.9308528900146,-59.8276252746582,,,5,,,,31.6299982368946,,,,,0.000629642531413204,3.40855575168487E-8,0.0178654290340834,3.39613920798844E-5,0.000629542128447357,3.40801222247639E-8,0.000629542097843481,2.65429820201939E-8,1.96297879757855E-7,2.1375800250061E-8,1.00015948569811,10.005763053894,2,20,10,3,2.05964489958393,0.181561479897009,0.0413267537951469,172.859115600586,47.9218559265137,47.9535064697266,-59.8276252746582,-59.8276252746582,,,25.0478229522705,0,1,,,,,,1,1,1,47.9347076416016,0,47.9396540323893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762238353.98296,47.9563598632812,-79.8996810913086,,,5,,,,31.6299982368946,,,,,0.000644511138446683,5.10916846884541E-8,0.0252179161043911,4.29709100245747E-5,0.000644408647229282,5.10835600050306E-8,0.000644408584812053,4.29334892498952E-8,2.83627220297861E-7,2.76811416602837E-8,1.00015904693061,10.005763053894,2,20,10,3,2.1082554227038,0.186164683793439,0.0413267537951469,172.859115600586,47.9559631347656,47.9584541320801,-79.8996810913086,-79.8996810913086,,,25.0468654632568,0,1,,,,,,1,1,1,47.9563407897949,0,47.9565395008434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762238376.97795,47.960958480835,-99.8017501831055,,,5,,,,31.6299982368946,,,,,0.00066364951729259,1.0223031416663E-7,0.0441525097182955,9.02330050203221E-5,0.000663543995251704,1.02214059274386E-7,0.00066354379823401,8.28554720168763E-8,5.11331376381213E-7,5.98555316592239E-8,1.00015902794938,10.005763053894,2,20,10,3,2.17079246557581,0.192456347749922,0.0413267537951469,172.859115600586,47.9601249694824,47.9722290039063,-99.8017501831055,-99.8017501831055,,,25.03076171875,0,1,,,,,,1,1,1,47.9614295959473,0,47.9644726839932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762238400.04094,47.9971122741699,-119.78881072998,,,5,,,,31.6299982368946,,,,,0.000696114754234934,2.15329582001401E-7,0.09053490303749,0.000109720879379333,0.000696003956516108,2.15295308878563E-7,0.000696003087618825,2.01346969648418E-7,1.09977776776144E-6,7.62329839276601E-8,1.0001591912198,10.005763053894,2,20,10,3,2.2768187645114,0.203762921739457,0.0413267537951469,172.859115600586,47.994083404541,48.0011596679687,-119.78881072998,-119.78881072998,,,25.0138645172119,0,1,,,,,,1,1,1,47.9983940124512,0,47.9986595153809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762238421.7558,48.0432262420654,-139.860870361328,,,5,,,,31.6299982368946,,,,,0.00074728887691123,3.35098206540863E-7,0.140092003654591,0.000179136285679277,0.000747169985746569,3.35044893535301E-7,0.000747167752325368,3.07245212618316E-7,1.82687864566135E-6,1.33624324159963E-7,1.00015912197616,10.005763053894,2,20,10,3,2.44400316103698,0.220908611821074,0.0413267537951469,172.859115600586,48.0379257202148,48.0435791015625,-139.860870361328,-139.860870361328,,,25.0122051239014,0,1,,,,,,1,1,1,48.0435791015625,0,48.0414970397949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762238443.73116,48.0231685638428,-159.945083618164,,,5,,,,31.6299982368946,,,,,0.000797179898880424,2.78731901810773E-7,0.120216465050238,0.000108707045576365,0.000797053253241643,2.78687620488824E-7,0.00079705149879637,2.64955973819831E-7,1.6723544922748E-6,8.64009360534253E-8,1.00015889231775,10.005763053894,2,20,10,3,2.6072494003646,0.23480879837336,0.0413267537951469,172.859115600586,48.0148506164551,48.025691986084,-159.945083618164,-159.945083618164,,,24.9637355804443,0,1,,,,,,1,1,1,48.0218276977539,0,48.019660949707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762238466.79779,48.0270137786865,-179.798568725586,,,5,,,,31.6299982368946,,,,,0.000827549532006113,2.09353970870265E-7,0.0675127738719112,9.50797134567139E-5,0.00082741801094838,2.09320698595163E-7,0.000827417436538946,1.94016268203655E-7,9.74963123266193E-7,7.85674393925018E-8,1.00015895358331,10.005763053894,2,20,10,3,2.70679549433014,0.241321889373005,0.0413267537951469,172.859115600586,48.0212631225586,48.0274543762207,-179.798568725586,-179.798568725586,,,24.9777374267578,0,1,,,,,,1,1,1,48.0267333984375,0,48.0250629078258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
