[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,ZFCd_Down_5K
FILEOPENTIME,3772370672.62216,07/15/2019,4:44 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Cu2OSeO3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3772370889.18578,4.99995350837708,0.157856523990631,,,5,,,,6.47999998182058,,,,,0.000593778179585341,1.09635439294483E-8,0.030467058152432,1.14337975376569E-5,0.000593682917574774,1.09617850078955E-8,0.000593682833640309,8.60836913500017E-9,3.15691160416346E-7,6.7865095148315E-9,1.00016045940981,10.005763053894,2,20,1,3,1.94227399461213,0.171787329616727,0.0403775237500668,172.74836730957,4.99868965148926,5.00136280059814,0.157856523990631,0.157856523990631,,,10.6839866638184,0,1,,,,,,1,1,1,4.9998927116394,0,4.99993239916288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772370913.96083,5.00008988380432,-19.8656349182129,,,5,,,,6.47999998182058,,,,,0.000593691128425571,1.00018007040975E-8,0.0323719658138799,1.24194816114141E-5,0.000593595876669014,1.00001960160027E-8,0.000593595781924571,6.75763580339122E-9,3.35380102474166E-7,7.3714502445042E-9,1.0001604656641,10.005763053894,2,20,1,3,1.94198097642171,0.171867670865029,0.0403775237500668,172.74836730957,4.9994068145752,5.00140571594238,-19.8656349182129,-19.8656349182129,,,10.6999368667603,0,1,,,,,,1,1,1,5.00015687942505,0,5.00014233589172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772370937.05448,5.00001096725464,-39.8405570983887,,,5,,,,6.47999998182058,,,,,0.000593449839960523,1.7520589394342E-8,0.0311193651444306,2.08762443364302E-5,0.00059335462906338,1.75177784557886E-8,0.000593354541544748,1.23883899951322E-8,3.22271877807405E-7,1.23854897099226E-8,1.00016046204492,10.005763053894,2,20,1,3,1.94119287807347,0.171796882170354,0.0403775237500668,172.74836730957,4.99972772598267,5.0007848739624,-39.8405570983887,-39.8405570983887,,,10.7140073776245,0,1,,,,,,1,1,1,4.99996948242188,0,5.00008217493693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772370960.95035,4.99991297721863,-59.8397636413574,,,5,,,,6.47999998182058,,,,,0.000593139609683906,2.55243185988127E-8,0.0331298643374902,2.80413568916862E-5,0.000593044519119789,2.55202266079649E-8,0.000593044419979236,1.93606690463442E-8,3.42913274531974E-7,1.66266791693293E-8,1.00016034304517,10.005763053894,2,20,1,3,1.94016948262667,0.17181668260872,0.0403775237500668,172.74836730957,4.99895191192627,5.00147819519043,-59.8397636413574,-59.8397636413574,,,10.7270259857178,0,1,,,,,,1,1,1,5.00027513504028,0,5.00006327262292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772370985.72197,5.00003004074097,-79.9361114501953,,,5,,,,6.47999998182058,,,,,0.000592840082292652,3.22369956812867E-8,0.0303817218381166,2.95659256222101E-5,0.00059274503656625,3.22318273588958E-8,0.000592744953233172,2.705521406944E-8,3.1430960763583E-7,1.75187353011123E-8,1.0001603484138,10.005763053894,2,20,1,3,1.93919535178212,0.171678615160585,0.0403775237500668,172.74836730957,4.99869108200073,5.00108289718628,-79.9361114501953,-79.9361114501953,,,10.740216255188,0,1,,,,,,1,1,1,5.00024843215942,0,5.00002821286519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772371009.95844,5.00025701522827,-99.9474563598633,,,5,,,,6.47999998182058,,,,,0.000592950219589045,6.07151010009974E-8,0.0265309752625473,7.90946145480951E-5,0.000592855082160463,6.07053594098916E-8,0.000592855018601075,3.85567157300369E-8,2.74523238721026E-7,4.68883816440409E-8,1.00016047332889,10.005763053894,2,20,1,3,1.93956455571703,0.17162169597829,0.0403775237500668,172.74836730957,4.99878835678101,5.00112104415894,-99.9474563598633,-99.9474563598633,,,10.7526998519897,0,1,,,,,,1,1,1,5.00013399124146,0,5.00004947185516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772371034.55764,5.00001001358032,-119.91024017334,,,5,,,,6.47999998182058,,,,,0.000593379149011208,6.23088183462645E-8,0.0315831984214219,7.23919932258714E-5,0.000593283949481403,6.22988217526546E-8,0.000593283859345141,4.51336816470891E-8,3.2703636999139E-7,4.29429152800348E-8,1.00016046200118,10.005763053894,2,20,1,3,1.94094985564925,0.171958463524803,0.0403775237500668,172.74836730957,4.99916791915894,5.00078439712524,-119.91024017334,-119.91024017334,,,10.774284362793,0,1,,,,,,1,1,1,5.00012922286987,0,5.00004210838905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772371058.56513,4.99993944168091,-139.897308349609,,,5,,,,6.47999998182058,,,,,0.000594295311666177,5.5969997522547E-8,0.0300846746983199,3.96755578090719E-5,0.000594199967073477,5.59610180867136E-8,0.00059419988516139,5.07609595337876E-8,3.12000500658926E-7,2.35576003130766E-8,1.0001604587647,10.005763053894,2,20,1,3,1.94394853656207,0.1722147055383,0.0403775237500668,172.74836730957,4.99842596054077,5.00117969512939,-139.897308349609,-139.897308349609,,,10.7921133041382,0,1,,,,,,1,1,1,4.99980783462524,0,4.99992631031917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772371083.40089,5.00012946128845,-159.93293762207,,,5,,,,6.47999998182058,,,,,0.000595320212841237,5.51869410464803E-8,0.0253499545222544,7.09487758293574E-5,0.000595224698634315,5.51780867579936E-8,0.000595224640375715,3.55172953101859E-8,2.63351309238631E-7,4.22272778204056E-8,1.00016046747916,10.005763053894,2,20,1,3,1.94731264291298,0.172392539203391,0.0403775237500668,172.74836730957,4.99964237213135,5.00069522857666,-159.93293762207,-159.93293762207,,,10.8149709701538,0,1,,,,,,1,1,1,5.00018119812012,0,5.00004124641418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772371106.7322,4.99984955787659,-179.847152709961,,,5,,,,6.47999998182058,,,,,0.00059665258478929,7.04166857673357E-8,0.0261485861065687,0.000106418581299338,0.000596556864470841,7.04053888958268E-8,0.000596556802344897,3.04397422587494E-8,2.72255969447397E-7,6.34849657540548E-8,1.00016045464255,10.005763053894,2,20,1,3,1.95166586745437,0.172847168571304,0.0403775237500668,172.74836730957,4.99901866912842,5.00203084945679,-179.847152709961,-179.847152709961,,,10.8276529312134,0,1,,,,,,1,1,1,4.99972009658814,0,4.99999636870164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
