[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,ZFCd_Up_52K
FILEOPENTIME,3772390521.72377,07/15/2019,10:15 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Cu2OSeO3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3772390656.56803,51.963716506958,0.230713382363319,,,5,,,,6.47999998182058,,,,,0.000536979400134562,1.82655435996324E-8,0.0218485385827991,1.81831575207943E-5,0.000536897619156086,1.82627617908189E-8,0.000536897580120473,1.54366414200306E-8,2.04734592365149E-7,9.75902504851743E-9,1.00015232136549,10.005763053894,2,20,1,3,1.75652866774241,0.154839724047197,0.0403775237500668,172.74836730957,51.9296226501465,51.9735946655273,0.230713382363319,0.230713382363319,,,23.6072387695313,0,1,,,,,,1,1,1,51.9589538574219,0,51.9506614685059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772390679.55915,51.9022808074951,20.0842056274414,,,5,,,,6.47999998182058,,,,,0.000537038190812896,9.36164333508647E-9,0.0218687767699732,1.21444907964021E-5,0.000536956308463646,9.36021596295126E-9,0.000536956269351408,6.71569308184242E-9,2.0494663760054E-7,6.52020776536925E-9,1.00015249350452,10.005763053894,2,20,1,3,1.7567185924437,0.154894771092794,0.0403775237500668,172.74836730957,51.8949356079102,51.9054718017578,20.0842056274414,20.0842056274414,,,23.6098651885986,0,1,,,,,,1,1,1,51.9005508422852,0,51.899021842263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772390701.53751,51.8960285186768,39.9984130859375,,,5,,,,6.47999998182058,,,,,0.0005428952740751,2.12857146518384E-8,0.02661648830611,2.07791651159139E-5,0.000542812342582649,2.12824630927104E-8,0.000542812284012551,1.80504676928763E-8,2.52160943997994E-7,1.12749213461119E-8,1.00015278114727,10.005763053894,2,20,1,3,1.77586250115966,0.156769109370359,0.0403775237500668,172.74836730957,51.8947296142578,51.9001579284668,39.9984130859375,39.9984130859375,,,23.634880065918,0,1,,,,,,1,1,1,51.8966445922852,0,51.8970932006836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772390722.9853,51.9243812561035,60.0461921691895,,,5,,,,6.47999998182058,,,,,0.000556420717137178,1.72472245891716E-8,0.0465541844350898,1.93982561863364E-5,0.000556335572282372,1.72445853768127E-8,0.000556335388637422,1.34522894774208E-8,4.52035842956067E-7,1.07894222567223E-8,1.00015304585766,10.005763053894,2,20,1,3,1.8200470628745,0.161347104782593,0.0403775237500668,172.74836730957,51.9186058044434,51.9405632019043,60.0461921691895,60.0461921691895,,,23.6602001190186,0,1,,,,,,1,1,1,51.9265937805176,0,51.9291693947532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772390747.04223,51.9534015655518,80.1304016113281,,,5,,,,6.47999998182058,,,,,0.000582635046441289,4.23416208321067E-8,0.0914950986685543,5.2888024177121E-5,0.000582545985584578,4.23351485454688E-8,0.000582545242821135,2.90381356266958E-8,9.30261883683558E-7,3.08066791733957E-8,1.0001528821053,10.005763053894,2,20,1,3,1.90565819877934,0.170484235956059,0.0403775237500668,172.74836730957,51.9515762329102,51.955638885498,80.1304016113281,80.1304016113281,,,23.6498699188232,0,1,,,,,,1,1,1,51.9545478820801,0,51.9540308438815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772390770.81289,51.9710712432861,100.166030883789,,,5,,,,6.47999998182058,,,,,0.000636632305818654,1.40464899744794E-7,0.255832981351523,0.000208642984408154,0.000636534987615652,1.40443427709047E-7,0.000636528642210429,4.55432279080053E-8,2.84220066257084E-6,1.32853945287243E-7,1.00015288743729,10.005763053894,2,20,1,3,2.08172433498136,0.192300582194237,0.0403775237500668,172.74836730957,51.9689331054687,51.9742393493652,100.166030883789,100.166030883789,,,23.6740741729736,0,1,,,,,,1,1,1,51.9714164733887,0,51.9714191436768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772390794.3637,51.9942455291748,120.031669616699,,,5,,,,6.47999998182058,,,,,0.000686923719803516,2.7210325481164E-8,0.215864010676698,2.84168114388155E-5,0.000686818616007921,2.72061621244404E-8,0.000686813741545041,1.89563101025583E-8,2.58760892300108E-6,1.95149574643908E-8,1.0001530299167,10.005763053894,2,20,10,3,2.24631332741609,0.205972289664641,0.0403775237500668,172.74836730957,51.9899444580078,52.0018310546875,120.031669616699,120.031669616699,,,23.6745319366455,0,1,,,,,,1,1,1,51.9958724975586,0,51.996885172526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772390819.5407,52.0331115722656,140.115875244141,,,5,,,,6.47999998182058,,,,,0.000711203822636473,9.09938148724879E-8,0.129864683357193,7.25694221823018E-5,0.000711095044681291,9.097989745416E-8,0.000711093218119672,7.49472913184371E-8,1.61174268908744E-6,5.15775655183413E-8,1.00015297245565,10.005763053894,2,20,10,3,2.32602610547242,0.209811425100614,0.0403775237500668,172.74836730957,52.0299034118652,52.0341033935547,140.115875244141,140.115875244141,,,23.6866989135742,0,1,,,,,,1,1,1,52.0339813232422,0,52.0327545166016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772390841.0967,52.051441192627,160.163650512695,,,5,,,,6.47999998182058,,,,,0.000720881260609843,6.83934911698973E-8,0.0507601380576563,7.93173856853664E-5,0.000720771142293037,6.83830437126812E-8,0.000720770859435543,3.75222986749789E-8,6.38553803015343E-7,5.71692029816417E-8,1.0001527784762,10.005763053894,2,20,10,3,2.35796482484147,0.209461600154289,0.0403775237500668,172.74836730957,52.0429763793945,52.0517959594727,160.163650512695,160.163650512695,,,23.6864852905273,0,1,,,,,,1,1,1,52.051097869873,0,52.0486465454102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772390862.95905,52.0622138977051,180.126434326172,,,5,,,,6.47999998182058,,,,,0.000727003711789471,8.65267979916518E-8,0.0230232546213358,6.57964815213365E-5,0.000726892716951143,8.65135875667277E-8,0.000726892658265957,7.21017815825578E-8,2.92088453924689E-7,4.7811441374288E-8,1.00015269768941,10.005763053894,2,20,10,3,2.37808986105561,0.21014012453905,0.0403775237500668,172.74836730957,52.050895690918,52.0632286071777,180.126434326172,180.126434326172,,,23.6858520507813,0,1,,,,,,1,1,1,52.061222076416,0,52.0585121154785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
