[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,ZFCd_Up_56K
FILEOPENTIME,3762233898.97592,03/20/2019,8:58 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,SrM,SAMPLE_MATERIAL
INFO,MvsH,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.34,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3762234033.50735,55.9657535552978,0.339998662471771,,,5,,,,31.6299982368946,,,,,0.000577056064096518,2.42292941752042E-8,0.0132696042786486,1.33074281692403E-5,0.000576965354110714,2.42254854656742E-8,0.000576965338637148,2.29797928443152E-8,1.33624185379112E-7,7.66832881923744E-9,1.00015721912097,10.005763053894,2,20,1,3,1.88765030856351,0.166104171688762,0.0413267537951469,172.859115600586,55.937084197998,55.974552154541,0.339998662471771,0.339998662471771,,,24.7947807312012,0,1,,,,,,1,1,1,55.9616165161133,0,55.9537329240279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762234056.58573,55.9176807403564,20.0963497161865,,,5,,,,31.6299982368946,,,,,0.000579319871477489,4.77236740308629E-8,0.0322545922555015,2.43990237605189E-5,0.00057922861712588,4.77161566071657E-8,0.00057922852534381,4.55828975578503E-8,3.26076057260896E-7,1.41078365311657E-8,1.00015754461867,10.005763053894,2,20,1,3,1.89499775077856,0.167423883437345,0.0413267537951469,172.859115600586,55.908519744873,55.9211044311523,20.0963497161865,20.0963497161865,,,24.8452339172363,0,1,,,,,,1,1,1,55.9162902832031,0,55.9138999938965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762234078.21697,55.9001960754395,40.0348434448242,,,5,,,,31.6299982368946,,,,,0.000616046353635862,1.54939612038506E-7,0.501964289672717,8.10291975819352E-5,0.000615949241346353,1.54915187674379E-7,0.000615925603248268,1.46786897219761E-7,5.39621889891183E-6,4.95209266551366E-8,1.00015766281211,10.005763053894,2,20,1,3,2.0136024790994,0.194594731338088,0.0413267537951469,172.859115600586,55.8984794616699,55.9009819030762,40.0348434448242,40.0348434448242,,,24.8779754638672,0,1,,,,,,1,1,1,55.8997077941895,0,55.8997695922852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762234102.04814,55.9235057830811,60.009765625,,,5,,,,31.6299982368946,,,,,0.000699209354759791,1.30736126421773E-7,0.850210535638557,5.15670237359881E-5,0.000699098868696794,1.30715468059865E-7,0.000699021901027711,1.25839490664064E-7,1.03735286543309E-5,3.53688588947753E-8,1.00015804068343,10.005763053894,2,20,10,3,2.28403980231315,0.234799538318464,0.0413267537951469,172.859115600586,55.9155769348145,55.940357208252,60.009765625,60.009765625,,,24.9101676940918,0,1,,,,,,1,1,1,55.9270362854004,0,55.9287223815918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762234128.27374,55.9651107788086,80.1061096191406,,,5,,,,31.6299982368946,,,,,0.000775673934900293,2.45735675160163E-7,0.757261848561376,0.000205002095274166,0.000775551581107385,2.45696913135869E-7,0.000775483844840219,1.8742720436317E-7,1.02499439020658E-5,1.58864773279357E-7,1.00015776357871,10.005763053894,2,20,10,3,2.53423441949699,0.256420458818826,0.0413267537951469,172.859115600586,55.9627494812012,55.9662590026855,80.1061096191406,80.1061096191406,,,24.9104423522949,0,1,,,,,,1,1,1,55.9656600952148,0,55.965311570601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762234151.3169,55.9868507385254,100.09317779541,,,5,,,,31.6299982368946,,,,,0.000818230980821244,3.36750240479967E-7,1.5290954076148,0.000210184299291183,0.000818101945444506,3.36697134822561E-7,0.00081781062191964,2.90095391118003E-7,2.18307080851271E-5,1.70908234587496E-7,1.0001577253024,10.005763053894,2,20,10,3,2.66938292685526,0.306532089414444,0.0413267537951469,172.859115600586,55.9854927062988,55.9932556152344,100.09317779541,100.09317779541,,,24.8781757354736,0,1,,,,,,1,1,1,55.9873046875,0,55.988854598999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762234172.96873,56.0231227874756,120.007377624512,,,5,,,,31.6299982368946,,,,,0.000722171182195431,1.38397364689969E-7,2.17136710907622,6.08419459229482E-5,0.000722057174547667,1.3837551618868E-7,0.000721538719797378,1.31767056479503E-7,2.73576159217376E-5,4.2251938502408E-8,1.00015789282592,10.005763053894,2,20,10,3,2.35281334635685,0.296988141257197,0.0413267537951469,172.859115600586,56.0199546813965,56.0255813598633,120.007377624512,120.007377624512,,,24.8616142272949,0,1,,,,,,1,1,1,56.0245056152344,0,56.0240688323975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762234194.82585,56.0184001922607,140.043014526367,,,5,,,,31.6299982368946,,,,,0.000648922186041387,6.22258088649058E-8,0.848233142051416,7.58572022471108E-5,0.000648819956686881,6.22160059880575E-8,0.000648748856379,3.80305148966627E-8,9.60507897446674E-6,4.92393271461006E-8,1.0001575619761,10.005763053894,2,20,10,3,2.11976516126784,0.218021021472334,0.0413267537951469,172.859115600586,56.0133972167969,56.0199928283691,140.043014526367,140.043014526367,,,24.8595752716064,0,1,,,,,,1,1,1,56.0174446105957,0,56.0165802001953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762234216.48595,56.0101089477539,160.127227783203,,,5,,,,31.6299982368946,,,,,0.000633842394845833,1.59446890603106E-7,0.141121132952224,8.92282242358556E-5,0.000633742490592181,1.59421759083453E-7,0.000633740568290902,1.49104298280761E-7,1.5609241833618E-6,5.64199034336664E-8,1.00015764171589,10.005763053894,2,20,10,3,2.07297315940828,0.187430607126853,0.0413267537951469,172.859115600586,56.0067863464355,56.010913848877,160.127227783203,160.127227783203,,,24.858247756958,0,1,,,,,,1,1,1,56.0098762512207,0,56.0087524414063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762234238.41819,56.0060939788818,179.944290161133,,,5,,,,31.6299982368946,,,,,0.000647033726781055,1.2146732516841E-7,0.0318400422596623,9.42434376176137E-5,0.000646931713695347,1.21448174301708E-7,0.000646931613803409,1.05051843867223E-7,3.59508714569186E-7,6.09407018446187E-8,1.00015768756354,10.005763053894,2,20,10,3,2.11647351044468,0.187339809614176,0.0413267537951469,172.859115600586,56.0043716430664,56.0062484741211,179.944290161133,179.944290161133,,,24.8097267150879,0,1,,,,,,1,1,1,56.0061302185059,0,56.005448774858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
