[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,140Oe
FILEOPENTIME,3754652333.62846,12/22/2018,2:58 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,CoIINO3,SAMPLE_MATERIAL
INFO,40 Hours Pumped Turbo,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.37,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3754652338.09755,48.9577026367188,140.225158691406,,,5,,,,-2.43999995291233,,,,,0.00070410162063695,5.95793857066055E-8,0.0338160644238279,3.43617908293656E-5,0.000704010291838522,5.9571657683337E-8,0.000704010169221755,5.44477779092073E-8,4.15508021778021E-7,2.41706822388266E-8,1.00012972651038,10.005763053894,2,20,10,5,2.30314194527352,0.203867207251031,0.0404026173055172,172.741912841797,48.9088973999023,48.9743957519531,140.225158691406,140.225158691406,,,31.3715476989746,0,1,,,,,,1,1,1,48.9511337280273,0,48.9341436687269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754652389.32964,48.8968811035156,140.225158691406,,,5,,,,-2.43999995291233,,,,,0.000702456624840379,6.21489007211345E-8,0.0313073948154683,4.18415511096975E-5,0.000702364885842366,6.21407842372433E-8,0.00070236478098924,5.47610243821879E-8,3.83784178838886E-7,2.93718789700804E-8,1.00013061444253,10.005763053894,2,20,10,5,2.29776998753601,0.20329052600737,0.0404026173055172,172.741912841797,48.8947677612305,48.9184989929199,140.225158691406,140.225158691406,,,31.4337348937988,0,1,,,,,,1,1,1,48.897762298584,0,48.9039257273955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754652440.57639,48.956750869751,140.225158691406,,,5,,,,-2.43999995291233,,,,,0.000702274972307847,3.71084325350375E-8,0.0284390237120364,3.71016645106527E-5,0.000702183347136369,3.71035910318822E-8,0.000702183260638656,2.64222254742831E-8,3.48531919962421E-7,2.60488477374205E-8,1.00013048610716,10.005763053894,2,20,10,5,2.29718598724706,0.203122706101787,0.0404026173055172,172.741912841797,48.9557456970215,48.9593734741211,140.225158691406,140.225158691406,,,31.4959182739258,0,1,,,,,,1,1,1,48.9574012756348,0,48.957701365153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754652491.88944,48.9931011199951,140.225158691406,,,5,,,,-2.43999995291233,,,,,0.00070221243274074,6.19800948717691E-8,0.0270890484731812,6.24952287014899E-5,0.000702120775478409,6.19720048329858E-8,0.000702120697004723,4.37677308834132E-8,3.31957836580736E-7,4.38738545871768E-8,1.00013054344143,10.005763053894,2,20,10,5,2.29698621474485,0.203050346617057,0.0404026173055172,172.741912841797,48.9916648864746,48.9973297119141,140.225158691406,140.225158691406,,,31.5456695556641,0,1,,,,,,1,1,1,48.9938507080078,0,48.9949177012724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754652542.98428,48.9990310668945,140.225158691406,,,5,,,,-2.43999995291233,,,,,0.00070231604849527,5.78530562905192E-8,0.0237452936583908,5.2863874874606E-5,0.000702224428833328,5.78455091506368E-8,0.00070222436852799,4.4368496933628E-8,2.91025358955335E-7,3.71152180210092E-8,1.00013047062759,10.005763053894,2,20,10,5,2.29733699892745,0.20294621450536,0.0404026173055172,172.741912841797,48.9986152648926,48.999683380127,140.225158691406,140.225158691406,,,31.607852935791,0,1,,,,,,1,1,1,48.9992561340332,0,48.999179166906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754652594.24807,48.9991302490234,140.225158691406,,,5,,,,-2.43999995291233,,,,,0.000702630096927419,5.643895456515E-8,0.0275764936415648,4.6655013139584E-5,0.000702538433108122,5.64315916438132E-8,0.000702538351736513,4.59435004437699E-8,3.38132163489568E-7,3.27676563462724E-8,1.00013047516688,10.005763053894,2,20,10,5,2.29835069696904,0.203190649955908,0.0404026173055172,172.741912841797,48.9989051818848,49.0003051757812,140.225158691406,140.225158691406,,,31.6451644897461,0,1,,,,,,1,1,1,48.9989166259766,0,48.9995219707489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754652644.20393,49.0003623962402,140.225158691406,,,5,,,,-2.43999995291233,,,,,0.000702868457361995,5.80911351603646E-8,0.0264919942790991,6.50881349586585E-5,0.000702776722820934,5.80835534236002E-8,0.000702776647698196,3.57991005686651E-8,3.24944636678194E-7,4.5739737393068E-8,1.00013053155872,10.005763053894,2,20,10,5,2.29913423760265,0.203216055759661,0.0404026173055172,172.741912841797,48.9998817443848,49.0010299682617,140.225158691406,140.225158691406,,,31.6949119567871,0,1,,,,,,1,1,1,49.00048828125,0,49.0002238750458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754652695.38227,49.0013236999512,140.225158691406,,,5,,,,-2.43999995291233,,,,,0.000703201484180886,5.39858257704403E-8,0.0271629871532344,5.46707171916461E-5,0.000703109755907016,5.39787836541724E-8,0.000703109676893223,3.79006800757719E-8,3.3333276401691E-7,3.84349780093334E-8,1.00013046081796,10.005763053894,2,20,10,5,2.30022121187885,0.203339276431094,0.0404026173055172,172.741912841797,48.9996643066406,49.0018005371094,140.225158691406,140.225158691406,,,31.7197875976562,0,1,,,,,,1,1,1,49.001293182373,0,49.0005323621962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754652748.24727,48.999002456665,140.225158691406,,,5,,,,-2.43999995291233,,,,,0.000703438492324923,5.921344609433E-8,0.0255960222917251,3.08244047758729E-5,0.000703346727156982,5.92057215642048E-8,0.000703346656972813,5.5102057760733E-8,3.14209494334562E-7,2.16582708559798E-8,1.00013046931819,10.005763053894,2,20,10,5,2.30100204326504,0.203344890856608,0.0404026173055172,172.741912841797,48.9988098144531,48.9993934631348,140.225158691406,140.225158691406,,,31.5705413818359,0,1,,,,,,1,1,1,48.9988784790039,0,48.9990732529584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754652800.5982,48.9997634887695,140.225158691406,,,5,,,,-2.43999995291233,,,,,0.000703352403986581,4.01976882257101E-8,0.0215905795823472,3.93357391258392E-5,0.00070326062555751,4.01924429451697E-8,0.000703260575626582,2.91614315899219E-8,2.65007375288749E-7,2.76594175196628E-8,1.00013050414844,10.005763053894,2,20,10,5,2.30073464987819,0.203159163649533,0.0404026173055172,172.741912841797,48.9986801147461,49.0001678466797,140.225158691406,140.225158691406,,,31.4710464477539,0,1,,,,,,1,1,1,48.9993095397949,0,48.9996282789442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
