[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,165Oe
FILEOPENTIME,3755212433.35423,12/29/2018,2:33 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,CoIINO3,SAMPLE_MATERIAL
INFO,40 Hours Pumped Turbo,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.37,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3755212438.17108,48.9665241241455,164.729354858398,,,5,,,,-2.43999995291233,,,,,0.000669453350486364,1.89521800339996E-7,0.239284457735512,4.53723572981602E-5,0.000669366476065517,1.89497206248966E-7,0.000669360638697859,1.87144069745645E-7,2.79546818309205E-6,2.97705951435372E-8,1.00012978603493,10.005763053894,2,20,10,5,2.18909321363285,0.201744048977392,0.0404026173055172,172.741912841797,48.9111251831055,48.981803894043,164.729354858398,164.729354858398,,,105.09871673584,0,1,,,,,,1,1,1,48.9602470397949,0,48.9410877227783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755212490.23336,48.9018955230713,164.729354858398,,,5,,,,-2.43999995291233,,,,,0.000681304782264274,7.43185340281779E-8,0.105785729006677,5.36128721548417E-5,0.000681215805625235,7.43088282202219E-8,0.000681214644541614,6.47301780725891E-8,1.25773434412306E-6,3.64939172760799E-8,1.00013061446652,10.005763053894,2,20,10,5,2.22831936963004,0.200124365434265,0.0404026173055172,172.741912841797,48.9002799987793,48.9175453186035,164.729354858398,164.729354858398,,,105.073844909668,0,1,,,,,,1,1,1,48.9027709960937,0,48.9060177522547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755212540.69313,48.9564971923828,164.729354858398,,,5,,,,-2.43999995291233,,,,,0.000686085923724085,6.69448326397521E-8,0.0870399788687255,4.37077058144913E-5,0.00068599641868638,6.69360991858764E-8,0.000685995627125982,5.98589897968511E-8,1.04212022819322E-6,2.99556791731043E-8,1.00013047449705,10.005763053894,2,20,10,5,2.24402271432775,0.200794367350082,0.0404026173055172,172.741912841797,48.9559631347656,48.9596214294434,164.729354858398,164.729354858398,,,105.24796295166,0,1,,,,,,1,1,1,48.9567222595215,0,48.957804997762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755212591.8528,48.9921474456787,164.729354858398,,,5,,,,-2.43999995291233,,,,,0.000689375163776846,7.06580111853551E-8,0.0753629739553965,4.97087082530382E-5,0.000689285133122248,7.06487834276205E-8,0.000689284536856799,6.17969745774451E-8,9.0663855170507E-7,3.42401012392988E-8,1.0001306145313,10.005763053894,2,20,10,5,2.2548221156358,0.201297338370314,0.0404026173055172,172.741912841797,48.9904861450195,48.9967041015625,164.729354858398,164.729354858398,,,105.496704101562,0,1,,,,,,1,1,1,48.9927291870117,0,48.9942487828872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755212643.0875,48.9992561340332,164.729354858398,,,5,,,,-2.43999995291233,,,,,0.000692099592184273,6.91566997969449E-8,0.0707664911905699,7.3900483805402E-5,0.000692009298168675,6.91476773438173E-8,0.000692008770341265,4.65464376546545E-8,8.5470619071746E-7,5.11354126189084E-8,1.00013048092827,10.005763053894,2,20,10,5,2.26374943865579,0.201911236641044,0.0404026173055172,172.741912841797,48.9988479614258,49.0002975463867,164.729354858398,164.729354858398,,,105.720573425293,0,1,,,,,,1,1,1,48.9996643066406,0,48.9995096992044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755212694.29253,49.0004138946533,164.729354858398,,,5,,,,-2.43999995291233,,,,,0.000694390789460765,7.57039945323435E-8,0.0643200406332776,4.25321199403514E-5,0.000694300239393713,7.56941225670394E-8,0.000694299801907241,6.9710913094186E-8,7.79418843923488E-7,2.94955723248226E-8,1.00013041917878,10.005763053894,2,20,10,5,2.27126636480493,0.202324118527605,0.0404026173055172,172.741912841797,48.9998550415039,49.0007438659668,164.729354858398,164.729354858398,,,105.907127380371,0,1,,,,,,1,1,1,49.0003433227539,0,49.0002901289198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755212745.54024,48.9992599487305,164.729354858398,,,5,,,,-2.43999995291233,,,,,0.000695107563104434,4.08288664800361E-8,0.0627382200703073,3.72217827348331E-5,0.000695016876535878,4.08235397795431E-8,0.000695016459873361,3.15853345028541E-8,7.61035339944614E-7,2.58636432946858E-8,1.00013048110286,10.005763053894,2,20,10,5,2.27361643286533,0.202470200062687,0.0404026173055172,172.741912841797,48.9983940124512,48.9999847412109,164.729354858398,164.729354858398,,,106.068809509277,0,1,,,,,,1,1,1,48.998966217041,0,48.9992487165663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755212796.75396,48.9999542236328,164.729354858398,,,5,,,,-2.43999995291233,,,,,0.000696626550622131,5.52839183563322E-8,0.0607037008354121,4.15800274470024E-5,0.000696535643750754,5.52767040346117E-8,0.00069653525282131,4.70907714727243E-8,7.37965061100257E-7,2.89477676347194E-8,1.00013051287783,10.005763053894,2,20,10,5,2.27859206958618,0.202831733582141,0.0404026173055172,172.741912841797,48.999584197998,49.0003929138184,164.729354858398,164.729354858398,,,106.242935180664,0,1,,,,,,1,1,1,49.0001983642578,0,48.9999976158142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755212848.00992,48.9996757507324,164.729354858398,,,5,,,,-2.43999995291233,,,,,0.000697839830915454,4.79926469107648E-8,0.0575400992886346,5.04804938080891E-5,0.00069774885465469,4.79863901862749E-8,0.000697748502798618,3.25927833585275E-8,7.00724066727873E-7,3.52193713182605E-8,1.00013038539606,10.005763053894,2,20,10,5,2.28257179681168,0.203058965918443,0.0404026173055172,172.741912841797,48.9990615844727,49.0005493164063,164.729354858398,164.729354858398,,,106.39217376709,0,1,,,,,,1,1,1,48.9995269775391,0,48.9995367262099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755212899.26915,49.0003700256348,164.729354858398,,,5,,,,-2.43999995291233,,,,,0.000698584992826791,6.26827664425201E-8,0.0569739895347681,6.39193208846989E-5,0.000698493817096193,6.26745854093102E-8,0.000698493471761244,4.39909408417504E-8,6.94570755562928E-7,4.46419172985047E-8,1.00013053190789,10.005763053894,2,20,10,5,2.28501116364907,0.203253213489521,0.0404026173055172,172.741912841797,48.9988479614258,49.000659942627,164.729354858398,164.729354858398,,,106.54141998291,0,1,,,,,,1,1,1,49.0005722045898,0,48.9999905754538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
