[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,49K_320Oe
FILEOPENTIME,3755914236.6695,01/06/2019,5:29 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,CoIINO3,SAMPLE_MATERIAL
INFO,40 Hours Pumped Turbo,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.37,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3755914240.18033,48.9604778289795,319.635162353516,,,5,,,,-2.43000010959804,,,,,0.000692373810573905,1.10875212630099E-7,0.0205339099683401,8.12518017249351E-5,0.000692283915068543,1.10860816962442E-7,0.000692283870610301,9.55446167072333E-8,2.4810370678352E-7,5.62258566484135E-8,1.00012985352311,10.005763053894,2,20,10,5,2.26479915088942,0.200381358609553,0.0404026173055172,172.741912841797,48.9070243835449,48.9736442565918,319.635162353516,319.635162353516,,,12.2519779205322,0,1,,,,,,1,1,1,48.9543533325195,0,48.9339902541217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755914291.37975,48.8987445831299,319.635162353516,,,5,,,,-2.43000010959804,,,,,0.000695913009616246,1.1031913927308E-7,0.00942138416440308,9.11519563121782E-5,0.00069582214568642,1.10304735130047E-7,0.000695822136279393,9.02576850737969E-8,1.14416939097089E-7,6.34088706509517E-8,1.00013058499272,10.005763053894,2,20,10,5,2.27641509764226,0.200964362465452,0.0404026173055172,172.741912841797,48.8963966369629,48.9238243103027,319.635162353516,319.635162353516,,,12.503849029541,0,1,,,,,,1,1,1,48.8997688293457,0,48.9067825741238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755914342.66928,48.9567203521729,319.635162353516,,,5,,,,-2.43000010959804,,,,,0.000699577370385783,1.07623877896598E-7,-0.00481168612259264,8.58323276933944E-5,0.000699486098144801,1.07609836458246E-7,0.000699486095678203,8.93147229871085E-8,-5.87426783619404E-8,6.00229719383054E-8,1.00013048471045,10.005763053894,2,20,10,5,2.28845179799315,0.201453835820398,0.0404026173055172,172.741912841797,48.9551277160645,48.9595794677734,319.635162353516,319.635162353516,,,12.4587497711182,0,1,,,,,,1,1,1,48.9570198059082,0,48.9575581270106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755914393.91648,48.994607925415,319.635162353516,,,5,,,,-2.43000010959804,,,,,0.000702768829003086,7.82591843420342E-8,-0.0126373980915862,8.44996783353872E-5,0.000702677131276957,7.82489730336256E-8,0.000702677114184839,5.09710754394978E-8,-1.54985421985106E-7,5.93704577155852E-8,1.00013049766678,10.005763053894,2,20,10,5,2.29891930515073,0.20205871172622,0.0404026173055172,172.741912841797,48.9933242797852,48.9984130859375,319.635162353516,319.635162353516,,,12.2679386138916,0,1,,,,,,1,1,1,48.9952583312988,0,48.9964512095732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755914445.11838,48.99928855896,319.635162353516,,,5,,,,-2.43000010959804,,,,,0.000705099495801629,8.68075346487545E-8,-0.0101384287022022,6.88060105255517E-5,0.000705007504721746,8.67962092699932E-8,0.000705007493684524,7.1983633221673E-8,-1.2475034539336E-7,4.84967884694245E-8,1.00013048241227,10.005763053894,2,20,10,5,2.30653461244288,0.202829402307723,0.0404026173055172,172.741912841797,48.9988670349121,49.000057220459,319.635162353516,319.635162353516,,,12.0709562301636,0,1,,,,,,1,1,1,48.9997100830078,0,48.9994776108686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755914496.24879,49.0006370544434,319.635162353516,,,5,,,,-2.43000010959804,,,,,0.000707172414299641,8.78736653939105E-8,-0.0108490348907297,8.44370520610813E-5,0.000707080190260212,8.78622055798422E-8,0.000707080177584405,6.4468643754474E-8,-1.33886608647767E-7,5.96955705376301E-8,1.00013042939217,10.005763053894,2,20,10,5,2.31331810518546,0.203397005128603,0.0404026173055172,172.741912841797,49.000171661377,49.0009841918945,319.635162353516,319.635162353516,,,11.8845090866089,0,1,,,,,,1,1,1,49.0005798339844,0,49.0005726533778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755914547.44105,49.000316619873,319.635162353516,,,5,,,,-2.43000010959804,,,,,0.000708878921069937,1.48529328269937E-7,-0.00912632934342028,9.46833889552673E-5,0.000708786403560827,1.48509943346683E-7,0.000708786394569322,1.32496360151405E-7,-1.12898684347324E-7,6.7081426784649E-8,1.00013052946367,10.005763053894,2,20,10,5,2.31889433670312,0.20395755285408,0.0404026173055172,172.741912841797,48.9999885559082,49.0007820129395,319.635162353516,319.635162353516,,,11.7031602859497,0,1,,,,,,1,1,1,49.0005683898926,0,49.0002865510828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755914598.66165,48.9999160766602,319.635162353516,,,5,,,,-2.43000010959804,,,,,0.000710383049017137,1.03286251741152E-7,-0.00883247396750253,6.67345865815731E-5,0.000710290429705639,1.03272785342233E-7,0.00071029042126597,9.17621161132289E-8,-1.09495354774972E-7,4.73812435333351E-8,1.00013039639509,10.005763053894,2,20,10,5,2.3238136118506,0.204402239691743,0.0404026173055172,172.741912841797,48.9995269775391,49.0003509521484,319.635162353516,319.635162353516,,,11.5284280776978,0,1,,,,,,1,1,1,48.9997978210449,0,49.0000136880314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755914649.97892,48.9997425079346,319.635162353516,,,5,,,,-2.43000010959804,,,,,0.000711672955294303,8.6038020804876E-8,-0.0136657906221549,9.85011374696678E-5,0.000711580091823653,8.6026794033983E-8,0.000711580071583301,4.98847871835823E-8,-1.69721130180894E-7,7.00864986956407E-8,1.00013050318821,10.005763053894,2,20,10,5,2.32805043474087,0.204577003351104,0.0404026173055172,172.741912841797,48.9994773864746,49.0004615783691,319.635162353516,319.635162353516,,,11.3618459701538,0,1,,,,,,1,1,1,48.999927520752,0,48.9999631993911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755914701.14152,49.0024795532227,319.635162353516,,,5,,,,-2.43000010959804,,,,,0.000712927843393686,1.0864519273812E-7,-0.0113211136284459,8.18759561060994E-5,0.000712834808672458,1.08631014900471E-7,0.000712834794757179,9.16307034394211E-8,-1.40849533479819E-7,5.83481926498433E-8,1.00013051371804,10.005763053894,2,20,10,5,2.33214708291574,0.205033157385274,0.0404026173055172,172.741912841797,49.0020942687988,49.0036010742188,319.635162353516,319.635162353516,,,11.2057809829712,0,1,,,,,,1,1,1,49.0028648376465,0,49.0030780119054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
