[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,200Oe_49p5K
FILEOPENTIME,3768338877.79414,05/30/2019,12:47 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.2,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3768338881.96844,49.4756317138672,200.137786865234,,,5,,,,25.0300001353025,,,,,0.000578230079216457,1.58780517573195E-7,0.0592905975820957,0.000158120536015342,0.000578143298043626,1.58756687682581E-7,0.000578142988492883,1.29817482205536E-7,5.98271911170125E-7,9.13843925282641E-8,1.00015010322376,10.005763053894,2,20,10,5,1.89132946230097,0.168382552470229,0.0410455763339996,172.855895996094,49.4277420043945,49.4851036071777,200.137786865234,200.137786865234,,,20.3638591766357,0,1,,,,,,1,1,1,49.4699554443359,0,49.4509149439195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768338934.46507,49.396577835083,200.137786865234,,,5,,,,25.0300001353025,,,,,0.000580175546343155,1.19157969279056E-7,0.031212754418152,0.000111602470974447,0.000580088175919005,1.19140024913109E-7,0.000580088089842835,1.00031074465788E-7,3.16011912817092E-7,6.4715760657789E-8,1.0001506157646,10.005763053894,2,20,10,5,1.89777542375692,0.168019332111812,0.0410455763339996,172.855895996094,49.3959274291992,49.4077835083008,200.137786865234,200.137786865234,,,20.4304637908936,0,1,,,,,,1,1,1,49.3971481323242,0,49.4002304077148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768338984.84973,49.4534950256348,200.137786865234,,,5,,,,25.0300001353025,,,,,0.000581664717767638,1.01185296087434E-7,0.0175295863548683,0.000112666220345277,0.000581577142890756,1.01170061727198E-7,0.000581577115671553,7.70942109913447E-8,1.77932941586844E-7,6.55123196162904E-8,1.00015058170348,10.005763053894,2,20,10,5,1.90268674933462,0.167996021961303,0.0410455763339996,172.855895996094,49.4524040222168,49.4585876464844,200.137786865234,200.137786865234,,,20.4966869354248,0,1,,,,,,1,1,1,49.4540557861328,0,49.4556384616428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768339037.01514,49.488842010498,200.137786865234,,,5,,,,25.0300001353025,,,,,0.00058311985058087,1.39244764961289E-7,0.0130949688829478,0.000131919060009314,0.000583031983101816,1.3922378284851E-7,0.000583031967874405,1.16065690794745E-7,1.3325214657863E-7,7.68896425468848E-8,1.00015070781981,10.005763053894,2,20,10,5,1.90745968246326,0.16826854189112,0.0410455763339996,172.855895996094,49.4868583679199,49.4966201782227,200.137786865234,200.137786865234,,,20.5495414733887,0,1,,,,,,1,1,1,49.4893569946289,0,49.4919471740723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768339088.27176,49.4990196228027,200.137786865234,,,5,,,,25.0300001353025,,,,,0.000583896282901295,1.07067837178984E-7,0.0103953970272022,0.000120028751510562,0.00058380836140791,1.07051715199081E-7,0.000583808351798932,8.09405935736098E-8,1.05922630303921E-7,7.0062044210949E-8,1.00015059992148,10.005763053894,2,20,10,5,1.91000743155591,0.168402568798702,0.0410455763339996,172.855895996094,49.4988021850586,49.4995460510254,200.137786865234,200.137786865234,,,20.5509910583496,0,1,,,,,,1,1,1,49.4992370605469,0,49.4991939067841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768339138.603,49.5001449584961,200.137786865234,,,5,,,,25.0300001353025,,,,,0.000584635306930614,1.20525625433633E-7,0.0106234952850786,0.00010909777797678,0.00058454731111604,1.20507484636351E-7,0.000584547301068048,1.02263595748391E-7,1.08383821997693E-7,6.37511634245997E-8,1.00015053668523,10.005763053894,2,20,10,5,1.91242421278052,0.168623322736057,0.0410455763339996,172.855895996094,49.4996490478516,49.500659942627,200.137786865234,200.137786865234,,,20.5637149810791,0,1,,,,,,1,1,1,49.5000839233398,0,49.5001440609203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768339189.6145,49.4989929199219,200.137786865234,,,5,,,,25.0300001353025,,,,,0.000585206232349624,1.07250951686124E-7,0.0106527210784151,8.76468684606223E-5,0.000585118114322632,1.07234802264376E-7,0.000585118104209413,9.41894311451301E-8,1.08788118197657E-7,5.12606464769668E-8,1.00015059869937,10.005763053894,2,20,10,5,1.91429170368857,0.168788970894694,0.0410455763339996,172.855895996094,49.4984703063965,49.4999580383301,200.137786865234,200.137786865234,,,20.5510768890381,0,1,,,,,,1,1,1,49.4992790222168,0,49.4993279400994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768339242.07509,49.5002269744873,200.137786865234,,,5,,,,25.0300001353025,,,,,0.000585890830374504,8.980017565167E-8,0.0121686713381646,0.000122299110037063,0.000585802643387487,8.97866591286016E-8,0.000585802630175675,5.41251239755935E-8,1.24414744740364E-7,7.16387821790846E-8,1.00015054043885,10.005763053894,2,20,10,5,1.91652664840984,0.16903713205798,0.0410455763339996,172.855895996094,49.4999771118164,49.5004730224609,200.137786865234,200.137786865234,,,20.5624370574951,0,1,,,,,,1,1,1,49.5002403259277,0,49.5002654580509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768339293.52957,49.5001583099365,200.137786865234,,,5,,,,25.0300001353025,,,,,0.000586283201410018,9.49716098711984E-8,0.00835553473604467,0.00011000578278061,0.000586194957206065,9.49573152536977E-8,0.000586194950972804,6.97122275439551E-8,8.5485743475231E-8,6.44755539026224E-8,1.00015053729628,10.005763053894,2,20,10,5,1.91782139918545,0.16902270164871,0.0410455763339996,172.855895996094,49.4992523193359,49.5005569458008,200.137786865234,200.137786865234,,,20.5499420166016,0,1,,,,,,1,1,1,49.5003890991211,0,49.4999409843894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768339345.91328,49.5001888275146,200.137786865234,,,5,,,,25.0300001353025,,,,,0.000587022890417389,1.19436717314233E-7,0.0146421974477056,0.000142518577015996,0.000586934534059767,1.1941874017317E-7,0.000586934514893968,8.52376071922923E-8,1.49993792144407E-7,8.3638423136018E-8,1.00015053869298,10.005763053894,2,20,10,5,1.9202224535981,0.169446644585652,0.0410455763339996,172.855895996094,49.4993362426758,49.5002326965332,200.137786865234,200.137786865234,,,20.5473136901855,0,1,,,,,,1,1,1,49.5002250671387,0,49.4998005137724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768339397.65176,49.5003757476807,200.137786865234,,,5,,,,25.0300001353025,,,,,0.000587592968449313,1.04163610516714E-7,0.0151813586933205,9.58667357350456E-5,0.000587504521260593,1.04147931332292E-7,0.000587504500637337,8.76167720445132E-8,1.55667953951217E-7,5.63035776598228E-8,1.00015054724776,10.005763053894,2,20,10,5,1.92208565134365,0.169629285888157,0.0410455763339996,172.855895996094,49.4995613098145,49.5008697509766,200.137786865234,200.137786865234,,,20.536527633667,0,1,,,,,,1,1,1,49.5005989074707,0,49.5001742045085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768339449.79447,49.5003433227539,200.137786865234,,,5,,,,25.0300001353025,,,,,0.00058826235674219,1.34913314286469E-7,0.00755316445522958,0.00011715599718252,0.000588173809666787,1.34893006715747E-7,0.000588173804555994,1.15979633690277E-7,7.75375348334377E-8,6.88828558487788E-8,1.00015054576376,10.005763053894,2,20,10,5,1.92429789138639,0.169566338229817,0.0410455763339996,172.855895996094,49.4990844726562,49.5012702941895,200.137786865234,200.137786865234,,,20.5239639282227,0,1,,,,,,1,1,1,49.4994163513184,0,49.5000822279188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
