[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,200Oe_50K
FILEOPENTIME,3768324775.75894,05/29/2019,8:52 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.2,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3768324779.42703,49.9917945861816,200.222778320313,,,5,,,,25.0300001353025,,,,,0.000577643828445421,1.8816002532351E-7,0.0686247901836845,0.000141782502537507,0.000577557010605312,1.88131745532073E-7,0.000577556596337103,1.69410857016032E-7,6.91756348065725E-7,8.18139059209263E-8,1.00015031908282,10.005763053894,2,20,10,5,1.88938460941383,0.168518151949168,0.0410455763339996,172.855895996094,49.9338340759277,49.9946022033691,200.222778320313,200.222778320313,,,20.0518207550049,0,1,,,,,,1,1,1,49.9897041320801,0,49.9678429996266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768324830.66196,49.8921852111816,200.222778320313,,,5,,,,25.0300001353025,,,,,0.000581024299492598,1.39547862533187E-7,0.0357785543443478,0.0001082385673323,0.000580936888958523,1.395268686553E-7,0.000580936775692602,1.24575406295812E-7,3.62768093532312E-7,6.28388034815005E-8,1.00015046476775,10.005763053894,2,20,10,5,1.90053844560459,0.168415153814821,0.0410455763339996,172.855895996094,49.8920860290527,49.9051322937012,200.222778320313,200.222778320313,,,20.1572380065918,0,1,,,,,,1,1,1,49.8922271728516,0,49.8963036788137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768324882.19083,49.9526309967041,200.222778320313,,,5,,,,25.0300001353025,,,,,0.000583580260174479,1.12087213585376E-7,0.0252608230922915,9.14582642094486E-5,0.000583492390843321,1.12070336680584E-7,0.000583492334133937,9.85639531329514E-8,2.57252762918031E-7,5.33376743634825E-8,1.00015059207718,10.005763053894,2,20,10,5,1.90893006515724,0.16880541072101,0.0410455763339996,172.855895996094,49.9511566162109,49.9573211669922,200.222778320313,200.222778320313,,,20.2113933563232,0,1,,,,,,1,1,1,49.9532051086426,0,49.9546353957232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768324933.34403,49.9873065948486,200.222778320313,,,5,,,,25.0300001353025,,,,,0.000585880512367991,1.15519074937861E-7,0.0135258474100262,8.12805725525328E-5,0.000585792240860713,1.1550167029195E-7,0.000585792224537813,1.0524575279499E-7,1.38288307753217E-7,4.75811660097363E-8,1.00015068739584,10.005763053894,2,20,10,5,1.91648902404377,0.16907814289396,0.0410455763339996,172.855895996094,49.9834938049316,49.9969825744629,200.222778320313,200.222778320313,,,20.2636241912842,0,1,,,,,,1,1,1,49.9892578125,0,49.9919406666475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768324984.64906,50.0004348754883,200.222778320313,,,5,,,,25.0300001353025,,,,,0.000587705111333604,9.96414704595249E-8,0.00835846519335703,0.00012208191368346,0.00058761668381948,9.96264781659979E-8,0.000587616677566717,6.91399520730727E-8,8.57231304480007E-8,7.17293676194992E-8,1.00015048502971,10.005763053894,2,20,10,5,1.92247280895196,0.169431282076974,0.0410455763339996,172.855895996094,49.9999923706055,50.0007858276367,200.222778320313,200.222778320313,,,20.2774982452393,0,1,,,,,,1,1,1,50.0003776550293,0,50.0003552156336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768325036.68702,50.0010948181152,200.222778320313,,,5,,,,25.0300001353025,,,,,0.000589395720741506,8.78262474648188E-8,0.00911858350434525,0.000109549654725881,0.000589307021058151,8.78130302661418E-8,0.000589307013595019,5.95330509047073E-8,9.3787802595553E-8,6.45518716576046E-8,1.00015051523261,10.005763053894,2,20,10,5,1.92800079516546,0.16994424975719,0.0410455763339996,172.855895996094,49.9998207092285,50.0014457702637,200.222778320313,200.222778320313,,,20.3020114898682,0,1,,,,,,1,1,1,50.0007476806641,0,50.0004325442844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768325088.7058,49.9989433288574,200.222778320313,,,5,,,,25.0300001353025,,,,,0.00059102870964317,1.074477019347E-7,0.0122068637897348,0.0001367025302881,0.000590939822385202,1.07431542429342E-7,0.000590939808973738,7.08294251923492E-8,1.25899707212615E-7,8.07757936245072E-8,1.00015041676766,10.005763053894,2,20,10,5,1.93333335492051,0.170519316768943,0.0410455763339996,172.855895996094,49.9977111816406,49.9999694824219,200.222778320313,200.222778320313,,,20.2779674530029,0,1,,,,,,1,1,1,49.9980430603027,0,49.998254776001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768325140.89432,50.0015850067139,200.222778320313,,,5,,,,25.0300001353025,,,,,0.000592671633471404,1.10934339528762E-7,0.0116814080182701,0.000141519055833553,0.000592582495479465,1.1091765497073E-7,0.000592582483163627,7.26027013834797E-8,1.2081514424015E-7,8.38544807152673E-8,1.00015042292443,10.005763053894,2,20,10,5,1.9387091459437,0.170975529990111,0.0410455763339996,172.855895996094,50.0004234313965,50.0017356872559,200.222778320313,200.222778320313,,,20.2766914367676,0,1,,,,,,1,1,1,50.0016212463379,0,50.0011606216431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768325192.37495,49.999002456665,200.222778320313,,,5,,,,25.0300001353025,,,,,0.000594401028367057,9.58558370718802E-8,0.0138416101655618,0.000109379106721807,0.000594311632324106,9.5841420655826E-8,0.000594311614981586,7.04353055357546E-8,1.43574795934046E-7,6.49957356094374E-8,1.00015041947371,10.005763053894,2,20,10,5,1.94435976364708,0.171547745899859,0.0410455763339996,172.855895996094,49.9983406066895,50.0002136230469,200.222778320313,200.222778320313,,,20.288501739502,0,1,,,,,,1,1,1,49.9992179870605,0,49.9993209838867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768325243.61355,50.0004825592041,200.222778320313,,,5,,,,25.0300001353025,,,,,0.000595817431995633,1.14836515998063E-7,0.00903057819653164,0.000114131183877866,0.00059572778258252,1.14819237171177E-7,0.000595727775182997,9.25357150459385E-8,9.38946349609484E-8,6.79749855866686E-8,1.000150487212,10.005763053894,2,20,10,5,1.94900742864562,0.171792870259408,0.0410455763339996,172.855895996094,49.9993133544922,50.0005073547363,200.222778320313,200.222778320313,,,20.274995803833,0,1,,,,,,1,1,1,50.0004577636719,0,50.0000558740952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
