[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,300Oe_47p5K
FILEOPENTIME,3768649132.85543,06/02/2019,2:58 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.2,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3768649137.68099,47.483922958374,299.890960693359,,,5,,,,25.0300001353025,,,,,0.000612474007138265,1.99361501597172E-7,0.0428837027330671,0.000119024493182894,0.000612381982760378,1.99331547480026E-7,0.0006123818112337,1.855610472934E-7,4.58344483294556E-7,7.28022221375036E-8,1.00015027283702,10.005763053894,2,20,10,5,2.00337461830159,0.178002194294849,0.0410455763339996,172.855895996094,47.4244918823242,47.4945297241211,299.890960693359,299.890960693359,,,58.1362037658691,0,1,,,,,,1,1,1,47.4791412353516,0,47.4560252918917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768649189.06901,47.4059257507324,299.890960693359,,,5,,,,25.0300001353025,,,,,0.000614745031525387,1.06515333282479E-7,0.0247904242824122,0.000143007324230825,0.000614652180634468,1.06499245240958E-7,0.000614652123100798,6.01355845778528E-8,2.65944333039943E-7,8.78965340862408E-8,1.0001510624933,10.005763053894,2,20,10,5,2.01085932796423,0.178027519398514,0.0410455763339996,172.855895996094,47.4038543701172,47.4263954162598,299.890960693359,299.890960693359,,,58.0988922119141,0,1,,,,,,1,1,1,47.4069213867188,0,47.4118203057183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768649240.30847,47.4600028991699,299.890960693359,,,5,,,,25.0300001353025,,,,,0.00061604070417417,1.62600167521185E-7,0.00295473755323528,0.000197278339422552,0.000615947758323484,1.62575635033657E-7,0.000615947757504442,1.08019377920338E-7,3.17643635710942E-8,1.21501650607307E-7,1.00015089891867,10.005763053894,2,20,10,5,2.01516539644522,0.177634545192765,0.0410455763339996,172.855895996094,47.45947265625,47.4661865234375,299.890960693359,299.890960693359,,,58.1362037658691,0,1,,,,,,1,1,1,47.4602508544922,0,47.4629910786947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768649292.73705,47.4958591461182,299.890960693359,,,5,,,,25.0300001353025,,,,,0.000617414242888659,1.21075155648028E-7,-0.000625375919294235,0.000134550335221439,0.00061732106821244,1.21056884060426E-7,0.000617321068175668,8.80769849689007E-8,-6.73797850044505E-9,8.30494665678681E-8,1.00015093389974,10.005763053894,2,20,10,5,2.01966958977024,0.177904257010778,0.0410455763339996,172.855895996094,47.4949989318848,47.4998664855957,299.890960693359,299.890960693359,,,58.2481346130371,0,1,,,,,,1,1,1,47.496280670166,0,47.4979218875661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768649343.30037,47.5002346038818,299.890960693359,,,5,,,,25.0300001353025,,,,,0.000618347771679308,1.21609456518764E-7,-0.00131174010065305,0.000134421639731278,0.000618254474166077,1.21591107847679E-7,0.00061825447400405,8.87668990391416E-8,-1.41544314955308E-8,8.30953376706591E-8,1.00015090471178,10.005763053894,2,20,10,5,2.02272546081979,0.17814900100952,0.0410455763339996,172.855895996094,47.499095916748,47.5002861022949,299.890960693359,299.890960693359,,,58.3227577209473,0,1,,,,,,1,1,1,47.5001602172852,0,47.4998229531681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768649394.3085,47.4999885559082,299.890960693359,,,5,,,,25.0300001353025,,,,,0.000618965026981602,1.28729739960872E-7,-0.000501552068103983,0.000174875155587886,0.000618871643304319,1.28710318416893E-7,0.000618871643280607,6.96764481461423E-8,-5.41743833881088E-9,1.0821986250553E-7,1.00015089344987,10.005763053894,2,20,10,5,2.02474209073872,0.178355466671825,0.0410455763339996,172.855895996094,47.4994430541992,47.5001029968262,299.890960693359,299.890960693359,,,58.3600730895996,0,1,,,,,,1,1,1,47.5000076293945,0,47.4997780743767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768649446.78278,47.4998779296875,299.890960693359,,,5,,,,25.0300001353025,,,,,0.000619585669843725,1.09272738106644E-7,-0.00349966917459366,0.000115596553011804,0.00061949219566595,1.09256252606987E-7,0.000619492194510331,8.25251340069088E-8,-3.78390477998532E-8,7.15997974219443E-8,1.00015088838637,10.005763053894,2,20,10,5,2.02678166077843,0.178428249680768,0.0410455763339996,172.855895996094,47.4996109008789,47.5004501342773,299.890960693359,299.890960693359,,,58.3973808288574,0,1,,,,,,1,1,1,47.500186920166,0,47.5000720024109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768649497.77521,47.5001354217529,299.890960693359,,,5,,,,25.0300001353025,,,,,0.000620396735423646,1.37553392710167E-7,0.00161075881967587,0.00017097503980092,0.00062030313157434,1.37532639011271E-7,0.000620303131329214,8.75734526412865E-8,1.74386097617571E-8,1.06047711837121E-7,1.00015090017209,10.005763053894,2,20,10,5,2.02941886567003,0.178842833639481,0.0410455763339996,172.855895996094,47.4993782043457,47.5005035400391,299.890960693359,299.890960693359,,,58.4471321105957,0,1,,,,,,1,1,1,47.4999313354492,0,47.4999126858181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768649549.7928,47.4999084472656,299.890960693359,,,5,,,,25.0300001353025,,,,,0.000620889410038782,7.86894468946812E-8,-0.00254071445679038,9.42158555018254E-5,0.000620795738304418,7.86775752524087E-8,0.00062079573769406,5.26297771619E-8,-2.75284623040488E-8,5.84830522757422E-8,1.0001508897832,10.005763053894,2,20,10,5,2.03104344819257,0.178837693171274,0.0410455763339996,172.855895996094,47.4992485046387,47.5004615783691,299.890960693359,299.890960693359,,,58.4720039367676,0,1,,,,,,1,1,1,47.5004234313965,0,47.4998488956028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768649602.00963,47.499906539917,299.890960693359,,,5,,,,25.0300001353025,,,,,0.000621545692771796,7.67435020710139E-8,-0.000123028916021894,9.70036383477867E-5,0.000621451922080259,7.67319240143337E-8,0.000621451922078826,4.74792527504651E-8,-1.33441864275083E-9,6.027859256153E-8,1.0001508896959,10.005763053894,2,20,10,5,2.03318271346029,0.179112520257872,0.0410455763339996,172.855895996094,47.4997100830078,47.500358581543,299.890960693359,299.890960693359,,,58.4968757629395,0,1,,,,,,1,1,1,47.5000877380371,0,47.4999672384823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
