[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,340Oe_48K
FILEOPENTIME,3768708819.18731,06/03/2019,7:33 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.2,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3768708823.20908,47.9554862976074,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000620103606530588,2.59632077347811E-7,0.0187075317729679,0.00022349955591821,0.000620010497923153,2.5959309357008E-7,0.000620010464874272,2.19544878342385E-7,2.02438399162281E-7,1.38522996729467E-7,1.00015017263054,10.005763053894,2,20,10,5,2.02840135558536,0.179447837060267,0.0410455763339996,172.855895996094,47.9053001403809,47.9677925109863,339.525085449219,339.525085449219,,,71.2946624755859,0,1,,,,,,1,1,1,47.9485015869141,0,47.9293200174967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768708875.45924,47.9030628204346,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000639841426485872,2.81145087046903E-7,0.0134296733105383,0.000251612522731277,0.000639744907572577,2.81102676822812E-7,0.000639744889998907,2.30482694422873E-7,1.49951097709544E-7,1.60923716364379E-7,1.00015087093645,10.005763053894,2,20,10,5,2.09298214689562,0.184967025655548,0.0410455763339996,172.855895996094,47.9007339477539,47.9298057556152,339.525085449219,339.525085449219,,,71.2573547363281,0,1,,,,,,1,1,1,47.9039154052734,0,47.9113036261665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768708926.71391,47.9585781097412,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000655877200910067,3.4511195285552E-7,-0.00990416261605542,0.000222657683763339,0.000655778327199061,3.45059927111304E-7,0.000655778317401515,3.12678020050751E-7,-1.13358003251109E-7,1.45941115095098E-7,1.00015077306905,10.005763053894,2,20,10,5,2.14551374870001,0.18872870953779,0.0410455763339996,172.855895996094,47.9581909179687,47.9598808288574,339.525085449219,339.525085449219,,,71.3692855834961,0,1,,,,,,1,1,1,47.958625793457,0,47.9590023265165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768708979.10361,47.9950218200684,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000669864804290235,3.24555739187996E-7,-0.00767190941247797,0.000163637430298224,0.000669763780561401,3.24506792250081E-7,0.000669763774557226,3.05472648205176E-7,-8.968142296935E-8,1.09503969859332E-7,1.00015083486412,10.005763053894,2,20,10,5,2.1912626755601,0.192838858212801,0.0410455763339996,172.855895996094,47.9942092895508,47.9978103637695,339.525085449219,339.525085449219,,,71.5060958862305,0,1,,,,,,1,1,1,47.9954109191895,0,47.9963023662567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709030.18437,48.0005512237549,339.525085449219,,,5,,,,25.0300001353025,,,,,0.00067990761926179,1.87666344003449E-7,0.000400966137667602,0.000163973933814245,0.000679805142884613,1.87638058738647E-7,0.000679805142867966,1.50956830767049E-7,4.75739827301857E-9,1.11445396190137E-7,1.00015074375098,10.005763053894,2,20,10,5,2.22408714759346,0.196043307589516,0.0410455763339996,172.855895996094,47.9995155334473,48.0011863708496,339.525085449219,339.525085449219,,,71.6180267333984,0,1,,,,,,1,1,1,48.0002212524414,0,48.0001891641056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709082.21344,47.9987831115723,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000687696252207967,2.28319631127171E-7,-0.00841335723442871,0.000145051858911317,0.000687592578679544,2.28285210841047E-7,0.000687592571266534,2.05368265338339E-7,-1.00966633573119E-7,9.96895836116431E-8,1.00015077755583,10.005763053894,2,20,10,5,2.24959549572683,0.197943000802123,0.0410455763339996,172.855895996094,47.9977378845215,48.0007438659668,339.525085449219,339.525085449219,,,71.7424011230469,0,1,,,,,,1,1,1,47.9987907409668,0,47.9996198018392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709134.36047,48.000129699707,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000693317965748101,1.94058920611359E-7,-0.00508851483587591,0.000161903037878948,0.000693213481521982,1.94029675593715E-7,0.000693213478788137,1.58294221346282E-7,-6.1565216679028E-8,1.1220719450809E-7,1.00015072445777,10.005763053894,2,20,10,5,2.26797369006316,0.199692730278456,0.0410455763339996,172.855895996094,47.9995422363281,48.0004844665527,339.525085449219,339.525085449219,,,71.8045883178711,0,1,,,,,,1,1,1,48.0000648498535,0,47.999980714586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709185.68709,48.0000133514404,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000697684555024452,1.90299099651142E-7,-0.0112122667558232,0.000155424620574913,0.000697579416459962,1.90270422258161E-7,0.000697579403103075,1.56375101931162E-7,-1.36509992834889E-7,1.08395853621426E-7,1.00015071913249,10.005763053894,2,20,10,5,2.28227909061844,0.200706489408358,0.0410455763339996,172.855895996094,47.9992408752441,48.0004196166992,339.525085449219,339.525085449219,,,71.8916473388672,0,1,,,,,,1,1,1,47.999755859375,0,47.9998435974121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709238.3081,47.9995975494385,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000701029414453607,1.56832462546727E-7,-0.0104932945282847,0.000156918786830072,0.00070092370476228,1.56808813451747E-7,0.000700923693007372,1.11779303609286E-7,-1.28368946147802E-7,1.09974502775725E-7,1.00015081483278,10.005763053894,2,20,10,5,2.29321832821003,0.201697497286243,0.0410455763339996,172.855895996094,47.9988975524902,48.0003929138184,339.525085449219,339.525085449219,,,71.9787063598633,0,1,,,,,,1,1,1,48.0000419616699,0,47.9997987186208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709290.73363,48.0001926422119,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000703941830837598,1.23822051379001E-7,-0.0126745376584978,0.000112325373558827,0.000703835662809089,1.23803376621365E-7,0.000703835645588014,9.5284234850642E-8,-1.55697184272958E-7,7.90454973529748E-8,1.00015084207027,10.005763053894,2,20,10,5,2.30275317885129,0.202447780970004,0.0410455763339996,172.855895996094,47.999626159668,48.0003089904785,339.525085449219,339.525085449219,,,72.0533294677734,0,1,,,,,,1,1,1,48.0000915527344,0,47.9999989403619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709342.0043,48.0004215240479,339.525085449219,,,5,,,,25.0300001353025,,,,,0.00070637403548885,1.88485989019239E-7,-0.0022085858938512,0.000114660273412084,0.000706267574258176,1.88457581335282E-7,0.000706267573733463,1.70191834569929E-7,-2.72245637403129E-8,8.09382444118141E-8,1.00015073781461,10.005763053894,2,20,10,5,2.31067232469141,0.203569345594881,0.0410455763339996,172.855895996094,47.9991760253906,48.0007133483887,339.525085449219,339.525085449219,,,72.1155166625977,0,1,,,,,,1,1,1,48.000129699707,0,47.9997890696806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709393.34272,47.9998741149902,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000707506985481197,2.06668552944879E-7,-0.00788287379985064,0.000139922023435836,0.00070740029007015,2.06637386346302E-7,0.000707400283375018,1.8140892674323E-7,-9.73256187872475E-8,9.89434724168316E-8,1.00015082749123,10.005763053894,2,20,10,5,2.31439858246484,0.203666645973384,0.0410455763339996,172.855895996094,47.9991722106934,48.0000839233398,339.525085449219,339.525085449219,,,72.1901397705078,0,1,,,,,,1,1,1,47.999698638916,0,47.9996667749742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709444.66596,48.0002098083496,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000709671906627264,1.14647227602335E-7,-0.014892237537965,9.86982359874303E-5,0.000709564873835201,1.14629936495335E-7,0.000709564849866927,9.07593195885514E-8,-1.84429090948257E-7,7.00197704134178E-8,1.00015084285597,10.005763053894,2,20,10,5,2.32150545286366,0.204005844630246,0.0410455763339996,172.855895996094,47.9993782043457,48.0006866455078,339.525085449219,339.525085449219,,,72.2523193359375,0,1,,,,,,1,1,1,48.0004844665527,0,47.9998952080222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709495.8902,47.999870300293,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000711231520654963,2.64021273827372E-7,-0.00413939435568267,0.000203054049504658,0.000711124263690479,2.6398145821239E-7,0.000711124261834625,2.2101426741548E-7,-5.13759265650019E-8,1.44356862942979E-7,1.00015082731663,10.005763053894,2,20,10,5,2.32656890938512,0.204890817822545,0.0410455763339996,172.855895996094,47.9992561340332,48.0000381469727,339.525085449219,339.525085449219,,,72.3020706176758,0,1,,,,,,1,1,1,48.0000267028809,0,47.9996314048767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709546.05304,47.9981880187988,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000712457270837801,3.41090900018317E-7,-0.0139673568254901,0.000254409562761999,0.000712349883866034,3.41039488206901E-7,0.000712349862699656,2.88932567902403E-7,-1.73654063153734E-7,1.81179203336775E-7,1.00015075031835,10.005763053894,2,20,10,5,2.33061373386899,0.204844170777429,0.0410455763339996,172.855895996094,47.9979400634766,48.0027694702148,339.525085449219,339.525085449219,,,72.3642578125,0,1,,,,,,1,1,1,47.9982604980469,0,48.0000841477338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709597.43071,48.0012741088867,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000713352880447837,1.88347768769201E-7,-0.0052483505930967,0.000201019558639966,0.000713245339571142,1.88319374569454E-7,0.000713245336578813,1.22111069973107E-7,-6.53339849381403E-8,1.43363431279575E-7,1.00015077683755,10.005763053894,2,20,10,5,2.33351224423736,0.205456767731501,0.0410455763339996,172.855895996094,48,48.0024681091309,339.525085449219,339.525085449219,,,72.4264450073242,0,1,,,,,,1,1,1,48.0009536743164,0,48.0006300608317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709650.21359,48.0002117156982,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000714630841990952,1.38403434283462E-7,-0.00687634790568215,0.000141112173029628,0.000714523061229364,1.38382560250777E-7,0.000714523056083519,9.47926984256998E-8,-8.57534217285482E-8,1.00817048690856E-7,1.00015084294327,10.005763053894,2,20,10,5,2.33769854532285,0.205758420515655,0.0410455763339996,172.855895996094,47.9996910095215,48.0003280639648,339.525085449219,339.525085449219,,,72.476188659668,0,1,,,,,,1,1,1,48.0002975463867,0,48.0001146793366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709700.71491,48.0003261566162,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000715196817855809,1.76321241873451E-7,-0.00587011160991668,0.000145387454226363,0.000715089030019523,1.76294668369937E-7,0.000715089026266531,1.42393224847491E-7,-7.32628554069976E-8,1.03942193613556E-7,1.00015073344963,10.005763053894,2,20,10,5,2.3395463473023,0.205962465401044,0.0410455763339996,172.855895996094,47.9999542236328,48.0005760192871,339.525085449219,339.525085449219,,,72.5508117675781,0,1,,,,,,1,1,1,48.0002670288086,0,48.0001915825738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709753.18347,47.9987392425537,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000716396013119696,1.34806108682221E-7,-0.0109330159112737,0.000125620552477045,0.00071628801440184,1.3478578628144E-7,0.000716288001361396,1.00364709982237E-7,-1.36680018625073E-7,8.99674006164866E-8,1.00015077554794,10.005763053894,2,20,10,5,2.34348736595955,0.20610073879545,0.0410455763339996,172.855895996094,47.9977493286133,47.9997711181641,339.525085449219,339.525085449219,,,72.6129989624023,0,1,,,,,,1,1,1,47.9983100891113,0,47.9989327823415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709805.46595,48.0006275177002,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000717223078436685,1.48612897952865E-7,-0.00603187621381895,0.000124227638070724,0.000717114975331262,1.48590498344908E-7,0.000717114971357348,1.18937871110547E-7,-7.54950677177941E-8,8.90669355826215E-8,1.00015074724297,10.005763053894,2,20,10,5,2.34617521846492,0.206539364727101,0.0410455763339996,172.855895996094,47.9996910095215,48.0012359619141,339.525085449219,339.525085449219,,,72.6751861572266,0,1,,,,,,1,1,1,48.0001411437988,0,48.000285877901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709856.69746,48.0004615783691,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000717847198564358,1.24147645575943E-7,-0.00866126515589372,0.000103147426001327,0.000717739006839181,1.24128934424073E-7,0.000717738998638424,9.96463549742684E-8,-1.08498878627984E-7,7.40175404995193E-8,1.0001507396479,10.005763053894,2,20,10,5,2.34822632020429,0.206611328865785,0.0410455763339996,172.855895996094,47.9995956420898,48.0009384155273,339.525085449219,339.525085449219,,,72.7373657226563,0,1,,,,,,1,1,1,48.0003356933594,0,48.0000249077292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709908.01202,48.0007381439209,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000718041974015152,2.2649771646048E-7,-0.00819085461927571,0.000129412946291306,0.000717933743847462,2.2646357655401E-7,0.000717933736511323,2.06550162500587E-7,-1.02633927875167E-7,9.28589353622756E-8,1.00015075230635,10.005763053894,2,20,10,5,2.34886177414787,0.206686672690294,0.0410455763339996,172.855895996094,47.9993553161621,48.0011863708496,339.525085449219,339.525085449219,,,72.7871170043945,0,1,,,,,,1,1,1,48.0006103515625,0,48.0001220703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768709959.26693,47.9995594024658,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000718600728033357,1.13100960117914E-7,-0.00733185006565229,9.82777452206268E-5,0.000718492369981205,1.13083905585047E-7,0.000718492364098541,8.83389116686736E-8,-9.19418212023386E-8,7.05989120848337E-8,1.00015081308679,10.005763053894,2,20,10,5,2.35068647047372,0.206882758349579,0.0410455763339996,172.855895996094,47.9986610412598,48.0002250671387,339.525085449219,339.525085449219,,,72.8493041992188,0,1,,,,,,1,1,1,47.9990692138672,0,47.9994105170755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768710010.54229,47.9994354248047,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000719497362219936,1.08238565462639E-7,-0.0054424988103996,7.08974750162668E-5,0.000719388873045545,1.08222244745954E-7,0.000719388869800019,9.54613235689646E-8,-6.83344063585554E-8,5.09822514245369E-8,1.00015080741231,10.005763053894,2,20,10,5,2.35361270826648,0.207218505963282,0.0410455763339996,172.855895996094,47.9991912841797,47.9998741149902,339.525085449219,339.525085449219,,,72.8990478515625,0,1,,,,,,1,1,1,47.9994659423828,0,47.9994966843549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768710061.7943,48.0008373260498,339.525085449219,,,5,,,,25.0300001353025,,,,,0.00071963660904905,3.16737259525273E-7,-0.0138212479347777,0.000338228068320263,0.000719528135256821,3.16689516412639E-7,0.000719528114322107,2.02673389471704E-7,-1.7356909603986E-7,2.43342858957731E-7,1.00015075684593,10.005763053894,2,20,10,5,2.3540984954127,0.20691434914839,0.0410455763339996,172.855895996094,47.9996910095215,48.0010528564453,339.525085449219,339.525085449219,,,72.9487991333008,0,1,,,,,,1,1,1,48.0009956359863,0,48.0002849803251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768710113.0421,48.0015182495117,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000720323530865477,2.06858118274919E-7,-0.00281585600942069,0.000182218747236998,0.000720214931087879,2.06826931253149E-7,0.000720214930218102,1.59876330837512E-7,-3.53956531911546E-8,1.31213331371203E-7,1.0001507880119,10.005763053894,2,20,10,5,2.35630575085763,0.207564458540824,0.0410455763339996,172.855895996094,48.0000114440918,48.0016212463379,339.525085449219,339.525085449219,,,73.0234222412109,0,1,,,,,,1,1,1,48.0015182495117,0,48.0006967432359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768710164.44208,48.0000953674316,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000720714746624915,1.41158550711768E-7,-0.00939934887380645,0.000104369391335198,0.000720606052124504,1.41137261903373E-7,0.000720606042427933,1.19442444145476E-7,-1.18215123551422E-7,7.5187959369409E-8,1.00015083761799,10.005763053894,2,20,10,5,2.3576093335882,0.207406298788788,0.0410455763339996,172.855895996094,47.9995765686035,48.0004386901855,339.525085449219,339.525085449219,,,73.0856094360352,0,1,,,,,,1,1,1,48.0001754760742,0,48.0000085269704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768710215.65401,47.9995441436768,339.525085449219,,,5,,,,25.0300001353025,,,,,0.000721152313216418,1.9241508363081E-7,-0.01040767624594,0.000168674966759556,0.000721043570913353,1.92386069428186E-7,0.000721043559017549,1.49082541904101E-7,-1.309762790172E-7,1.2160096796259E-7,1.00015081238839,10.005763053894,2,20,10,5,2.3590443576219,0.207490706544913,0.0410455763339996,172.855895996094,47.999210357666,48.0005340576172,339.525085449219,339.525085449219,,,73.1477966308594,0,1,,,,,,1,1,1,47.9998779296875,0,47.9999443502987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
