[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,FC_54p5K
FILEOPENTIME,3754356917.33808,12/19/2018,4:54 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,CoIINO3,SAMPLE_MATERIAL
INFO,40 Hours Pumped Turbo,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.37,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3754357051.27651,54.473201751709,220.391983032227,,,5,,,,3.65000008605421,,,,,0.00066081632524272,1.03977700346742E-7,0.0763805002111679,5.47749059428357E-5,0.000660730875069846,1.0396425498813E-7,0.000660730287966882,9.74840748852896E-8,8.80814262829503E-7,3.61306166429E-8,1.00012932674421,10.005763053894,2,20,10,3,2.16140129516922,0.193107991489431,0.0404026173055172,172.741912841797,54.4473114013672,54.4792518615723,220.391983032227,220.391983032227,,,101.168594360352,0,1,,,,,,1,1,1,54.4697494506836,0,54.4635585784912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754357073.18754,54.4184074401855,239.941909790039,,,5,,,,3.65000008605421,,,,,0.000665531626262239,4.04429229378188E-8,0.146211963523752,3.56203828061734E-5,0.000665445478223663,4.04376879071338E-8,0.000665443311503619,3.27701292579097E-8,1.69813527655583E-6,2.36923032163327E-8,1.00012945919898,10.005763053894,2,20,10,3,2.17658251837963,0.197184555745489,0.0404026173055172,172.741912841797,54.403923034668,54.4244918823242,239.941909790039,239.941909790039,,,101.193466186523,0,1,,,,,,1,1,1,54.4159202575684,0,54.4127561395818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754357096.23907,54.4000873565674,260.074676513672,,,5,,,,3.65000008605421,,,,,0.000683034430947997,3.97592564394084E-8,0.269937713141301,5.03779281402844E-5,0.00068294580602534,3.97540976057286E-8,0.000682938226582062,1.99021797198006E-8,3.2175519497522E-6,3.44135368546529E-8,1.00012976860225,10.005763053894,2,20,10,3,2.233378997629,0.207241773058146,0.0404026173055172,172.741912841797,54.3993530273438,54.4052772521973,260.074676513672,260.074676513672,,,101.268089294434,0,1,,,,,,1,1,1,54.4003601074219,0,54.401047446511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754357119.28051,54.4314193725586,280.037475585938,,,5,,,,3.65000008605421,,,,,0.000709940488571771,3.75250903373574E-8,0.381740316989683,3.58473468113524E-5,0.000709848251029054,3.75202149679727E-8,0.000709832495800445,2.75797913850417E-8,4.72941801054609E-6,2.5438585621069E-8,1.00012993980415,10.005763053894,2,20,10,3,2.32092800543591,0.219984239965125,0.0404026173055172,172.741912841797,54.4272117614746,54.4415054321289,280.037475585938,280.037475585938,,,101.330276489258,0,1,,,,,,1,1,1,54.432991027832,0,54.4345644170588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754357140.89457,54.441478729248,300.158111572266,,,5,,,,3.65000008605421,,,,,0.000725994548987051,4.00959255446341E-8,0.264533854662629,3.2914090347359E-5,0.000725900308072039,4.00907207166958E-8,0.000725892571234644,3.22044039825728E-8,3.35146019493955E-6,2.38776517210414E-8,1.00012982625019,10.005763053894,2,20,10,3,2.37386353747157,0.220154289614982,0.0404026173055172,172.741912841797,54.4408340454102,54.4422569274902,300.158111572266,300.158111572266,,,101.417335510254,0,1,,,,,,1,1,1,54.4415054321289,0,54.4415501681241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754357162.81647,54.4509143829346,320.023742675781,,,5,,,,3.65000008605421,,,,,0.000732030742141572,3.29818523387415E-8,0.131677502624286,2.99156492626853E-5,0.00073193573767094,3.29775718854196E-8,0.000731933804720748,2.46634916966146E-8,1.68213760236798E-6,2.18913778641054E-8,1.00012979892324,10.005763053894,2,20,10,3,2.39410576078789,0.216484782192343,0.0404026173055172,172.741912841797,54.4476165771484,54.4600105285645,320.023742675781,320.023742675781,,,101.529266357422,0,1,,,,,,1,1,1,54.4524841308594,0,54.4531940460205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754357184.46258,54.5224151611328,340.047241210937,,,5,,,,3.65000008605421,,,,,0.000730812014792127,6.70297238656126E-8,0.0191710509992458,3.4689028912754E-5,0.00073071687447317,6.70209976416602E-8,0.000730716833569176,6.20519503586687E-8,2.44496371708237E-7,2.53252755477357E-8,1.00013020134375,10.005763053894,2,20,10,3,2.39053651019712,0.211481717160248,0.0404026173055172,172.741912841797,54.5160331726074,54.5335960388184,340.047241210937,340.047241210937,,,101.641204833984,0,1,,,,,,1,1,1,54.5251998901367,0,54.5273971557617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754357206.39507,54.5254554748535,360.095031738281,,,5,,,,3.65000008605421,,,,,0.000730464155530893,1.01270686330357E-7,-0.0144124946797728,4.9342458788755E-5,0.000730369545582528,1.01257569719046E-7,0.000730369522475414,9.46369942060799E-8,-1.83721160064894E-7,3.60129803410645E-8,1.00012953709384,10.005763053894,2,20,10,3,2.38951895603045,0.210031759204142,0.0404026173055172,172.741912841797,54.5185241699219,54.5287284851074,360.095031738281,360.095031738281,,,101.72826385498,0,1,,,,,,1,1,1,54.5246047973633,0,54.5228666825728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754357229.41079,54.5158367156982,379.9970703125,,,5,,,,3.65000008605421,,,,,0.00072915478389215,6.49557427648167E-8,-0.0240112700277875,3.08898272124589E-5,0.000729060246058277,6.49473209929868E-8,0.000729060182037872,6.09231569013853E-8,-3.05531438283856E-7,2.25060760092748E-8,1.00012967081168,10.005763053894,2,20,10,3,2.38526764769485,0.209306504909835,0.0404026173055172,172.741912841797,54.5125732421875,54.5170707702637,379.9970703125,379.9970703125,,,101.802886962891,0,1,,,,,,1,1,1,54.5149917602539,0,54.5145259857178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754357251.0375,54.5437545776367,399.959838867188,,,5,,,,3.65000008605421,,,,,0.000724248954062061,1.09392528432719E-7,-0.0303367054351753,4.3342337879097E-5,0.000724154875253445,1.09378318514032E-7,0.00072415477374714,1.04786373096741E-7,-3.83422170014079E-7,3.13597285413584E-8,1.00012991531485,10.005763053894,2,20,10,3,2.36923914270714,0.207687239787218,0.0404026173055172,172.741912841797,54.5400276184082,54.5490112304687,399.959838867188,399.959838867188,,,101.889945983887,0,1,,,,,,1,1,1,54.5455093383789,0,54.5460357666016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
