[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,FC_58K
FILEOPENTIME,3754346310.18651,12/19/2018,1:58 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,CoIINO3,SAMPLE_MATERIAL
INFO,40 Hours Pumped Turbo,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.37,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3754346437.9373,57.9881782531738,220.076263427734,,,5,,,,3.65000008605421,,,,,0.000287448420985885,3.73715265588319E-7,0.538937553846735,0.000193802607416172,0.000287411344967835,3.73667062596335E-7,0.000287398630378485,3.69878207947977E-7,2.70341872282991E-6,5.30771603852916E-8,1.00012899984186,10.005763053894,2,20,1,3,0.93947930823091,0.0915836404926103,0.0404026173055172,172.741912841797,57.934024810791,57.9914588928223,220.076263427734,220.076263427734,,,80.1250076293945,0,1,,,,,,1,1,1,57.9864158630371,0,57.9647089640299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754346477.15967,57.8999423980713,239.929779052734,,,5,,,,3.65000008605421,,,,,0.000257662854606452,1.76311520084204E-7,0.31991579213772,0.000110987717737977,0.000257629654942337,1.76288802478069E-7,0.000257625638968999,1.74068199066429E-7,1.43848931947976E-6,2.78927222214303E-8,1.00012886584862,10.005763053894,2,20,1,3,0.842436381283819,0.0788919054390813,0.0404026173055172,172.741912841797,57.8953628540039,57.9070587158203,239.929779052734,239.929779052734,,,80.2618179321289,0,1,,,,,,1,1,1,57.8983497619629,0,57.8999390602112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754346519.69194,57.9469776153564,260.098968505859,,,5,,,,3.65000008605421,,,,,0.000221513785220113,7.16202033886198E-8,0.457209830556661,0.000125453442571732,0.000221485097264175,7.16109279512602E-8,0.00022147804549539,6.60521530222206E-8,1.7673917684095E-6,2.76629369946457E-8,1.0001295254457,10.005763053894,2,20,1,3,0.724080230036768,0.0695745504478143,0.0404026173055172,172.741912841797,57.9399795532227,57.9518508911133,260.098968505859,260.098968505859,,,80.4359359741211,0,1,,,,,,1,1,1,57.9486999511719,0,57.9473345620292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754346542.22969,57.9532680511475,280.073883056641,,,5,,,,3.65000008605421,,,,,0.000211336660269012,1.07902759069076E-7,0.292714962898484,0.000101812747127207,0.000211309350795712,1.07888815593704E-7,0.000211306593188813,1.05785559637408E-7,1.07954094070132E-6,2.11993373106954E-8,1.00012923930341,10.005763053894,2,20,1,3,0.691000159908114,0.0644092413423618,0.0404026173055172,172.741912841797,57.9513931274414,57.9535522460937,280.073883056641,280.073883056641,,,80.5354309082031,0,1,,,,,,1,1,1,57.952995300293,0,57.9525361494585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754346565.05177,57.9724655151367,300.121673583984,,,5,,,,3.65000008605421,,,,,0.000194508830952681,1.99351801877534E-7,0.375959710742471,0.000123914253295726,0.000194483659156052,1.9932600334186E-7,0.000194479472291495,1.98014099085184E-7,1.27614103802421E-6,2.28313856724035E-8,1.00012942885144,10.005763053894,2,20,1,3,0.635891054096043,0.0602181907343071,0.0404026173055172,172.741912841797,57.9672927856445,57.9879989624023,300.121673583984,300.121673583984,,,80.6598052978516,0,1,,,,,,1,1,1,57.9752044677734,0,57.9782229336825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754346588.09047,57.998067855835,320.048034667969,,,5,,,,3.65000008605421,,,,,0.000187603594474485,1.69840769467055E-7,0.237025668228219,9.2606171579921E-5,0.000187579354962722,1.69818825019024E-7,0.000187577749870769,1.6901578582441E-7,7.75990753902489E-7,1.64953773221156E-8,1.0001292227056,10.005763053894,2,20,1,3,0.613454524387552,0.0566060883492646,0.0404026173055172,172.741912841797,57.9969749450684,58.0009231567383,320.048034667969,320.048034667969,,,80.7468643188477,0,1,,,,,,1,1,1,57.9988861083984,0,57.9992156982422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754346609.70427,58.0010852813721,340.071502685547,,,5,,,,3.65000008605421,,,,,0.000180858868361801,4.38014609509622E-8,0.209202134841215,8.21993270018224E-5,0.000180835496103896,4.37958005205326E-8,0.000180834290678983,4.12138828184123E-8,6.6027704138618E-7,1.48151276155308E-8,1.00012924596337,10.005763053894,2,20,1,3,0.59142519909323,0.0542964627301298,0.0404026173055172,172.741912841797,57.9999847412109,58.0014381408691,340.071502685547,340.071502685547,,,80.8214874267578,0,1,,,,,,1,1,1,58.0012969970703,0,58.0007511138916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754346631.60519,58.0012474060059,360.119293212891,,,5,,,,3.65000008605421,,,,,0.000175859357834588,1.90474796475547E-7,0.172011593465481,0.000108116444601416,0.000175836630355738,1.90450180145988E-7,0.000175835837947094,1.89576437853321E-7,5.27890427525824E-7,1.82221109777399E-8,1.00012925338028,10.005763053894,2,20,1,3,0.575109682679815,0.0524345860211227,0.0404026173055172,172.741912841797,58.0008010864258,58.0015068054199,360.119293212891,360.119293212891,,,80.896110534668,0,1,,,,,,1,1,1,58.0013542175293,0,58.0011241912842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754346653.25619,58.0339870452881,380.191345214844,,,5,,,,3.65000008605421,,,,,0.000166057257221919,7.63627326913593E-8,0.214666730903154,9.04057169567632E-5,0.000166035757495173,7.63528458733187E-8,0.000166034592147952,7.48981074979281E-8,6.22074962419312E-7,1.48334273242419E-8,1.0001294885335,10.005763053894,2,20,1,3,0.5430162721582,0.0499278955701026,0.0404026173055172,172.741912841797,58.0292015075684,58.0365524291992,380.191345214844,380.191345214844,,,80.9831695556641,0,1,,,,,,1,1,1,58.0354804992676,0,58.0346693559126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754346675.2024,58.0406951904297,400.069122314453,,,5,,,,3.65000008605421,,,,,0.000161805503787046,1.45473209008726E-7,0.166138378896973,9.88090435121233E-5,0.000161784597739102,1.45454413171682E-7,0.000161783917594046,1.4463094197112E-7,4.69119948471248E-7,1.5455644136196E-8,1.0001292214972,10.005763053894,2,20,1,3,0.529153090050886,0.0482126253254533,0.0404026173055172,172.741912841797,58.0375442504883,58.0408134460449,400.069122314453,400.069122314453,,,81.0453567504883,0,1,,,,,,1,1,1,58.0405693054199,0,58.039852142334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
