[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3772384980.91504,07/15/2019,8:42 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Cu2OSeO3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3772384999.64812,70.0055999755859,200.198501586914,0.00198785410241935,2.23061540761261E-7,1,2,13.9012460708618,4.99945235919426,6.47999998182058,2.38478503006011,0.363236770241618,1,-2.34646842538041E-6,,,,,,,,,,,,,,,,,,,,,70.0055999755859,70.0055999755859,200.198501586914,200.198501586914,52.7016937233998,5.66783657803533,24.3368549346924,28,1,0,0,1,0.314788818359375,30.7917900085449,1,1,1,70.0055999755859,0,70.0055999755859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385006.62528,70.0045547485352,200.198501586914,0.00198970576788597,1.36262974456107E-7,1,2,13.9012460708618,4.99927851748465,6.47999998182058,2.38764809346318,0.358615331755911,10,-6.46901008011065E-6,,,,,,,,,,,,,,,,,,,,,70.0045547485352,70.0045547485352,200.198501586914,200.198501586914,52.7138089654479,5.66818018889457,24.299674987793,28,1,0,0,1,0.306930541992188,30.7917900085449,6,1,1,70.0045547485352,0,70.0045547485352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385007.97292,70.0072479248047,200.198501586914,0.00198840558266873,1.402605395629E-7,1,2,13.9012460708618,4.99921604938383,6.47999998182058,2.38607839107424,0.358162563640842,10,-6.6416357796453E-6,,,,,,,,,,,,,,,,,,,,,70.0045547485352,70.0099411010742,200.198501586914,200.198501586914,52.7349129354671,5.66810468404081,24.3261604309082,28,1,0,0,1,0.3070068359375,30.7917900085449,6,1,1,70.0099411010742,0,70.0072479248047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385010.50304,70.0166206359863,200.198501586914,0.00198517755829332,2.06314376070688E-7,1,2,13.9012460708618,4.99914621462412,6.47999998182058,2.3821791842713,0.357435098453498,10,-6.74672548285152E-6,,,,,,,,,,,,,,,,,,,,,70.0099411010742,70.0233001708984,200.198501586914,200.198501586914,52.7904085603325,5.66817451213709,24.3403701782227,28,1,0,0,1,0.31280517578125,30.7917900085449,2,1,1,70.0233001708984,0,70.0166206359863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385012.54505,70.0278434753418,200.198501586914,0.00198188625420383,1.74176003923221E-7,1,2,13.9012460708618,4.99914621462412,6.47999998182058,2.37824187310754,0.356763041293295,10,-6.80178483118446E-6,,,,,,,,,,,,,,,,,,,,,70.0233001708984,70.0323867797852,200.198501586914,200.198501586914,52.6665204400344,5.66817451213709,24.3363590240479,28,1,0,0,1,0.313873291015625,30.7917900085449,2,1,1,70.0323867797852,0,70.0278434753418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385014.30663,70.0376396179199,200.198501586914,0.00197959127662324,1.78683902940264E-7,1,2,13.9012460708618,4.99915197106937,6.47999998182058,2.37547428653499,0.356464459486467,10,-6.69888881819578E-6,,,,,,,,,,,,,,,,,,,,,70.0323867797852,70.0428924560547,200.198501586914,200.198501586914,52.636427742044,5.66839656559983,24.3514766693115,28,1,0,0,1,0.30670166015625,30.7917900085449,2,1,1,70.0428924560547,0,70.0376396179199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385016.32803,70.0435981750488,200.198501586914,0.00197965645268631,1.47481861632254E-7,1,2,13.9012460708618,4.99916090670095,6.47999998182058,2.37557931178887,0.356341430684403,10,-6.81222246776317E-6,,,,,,,,,,,,,,,,,,,,,70.0428924560547,70.044303894043,200.198501586914,200.198501586914,52.725924207496,5.6687090511268,24.3530216217041,28,1,0,0,1,0.3143310546875,30.7917900085449,2,1,1,70.044303894043,0,70.0435981750488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385018.35944,70.0367240905762,200.198501586914,0.00198409995931724,3.75234014376521E-7,1,2,13.9012460708618,4.99916090670095,6.47999998182058,2.38092732825412,0.357038173856551,10,-6.91347156950514E-6,,,,,,,,,,,,,,,,,,,,,70.0296173095703,70.043830871582,200.198501586914,200.198501586914,52.773603547169,5.6687090511268,24.3000392913818,28,1,0,0,1,0.307388305664063,30.7917900085449,2,1,1,70.0296173095703,0,70.0367240905762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385020.64425,70.0130729675293,200.198501586914,0.00199420815035625,6.78800546871655E-7,1,2,13.9012460708618,4.99913519029175,6.47999998182058,2.39303003647133,0.358918365115757,10,-6.89547375226276E-6,,,,,,,,,,,,,,,,,,,,,69.9965286254883,70.0296173095703,200.198501586914,200.198501586914,52.7505455058517,5.66834014090719,24.3233089447021,28,1,0,0,1,0.307083129882812,30.7917900085449,2,1,1,69.9965286254883,0,70.0130729675293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385023.66842,69.9574432373047,200.198501586914,0.00202859964263066,9.9044123204616E-7,1,2,13.9012460708618,4.99913804677434,6.47999998182058,2.43430430712611,0.365089831215544,10,-7.02991793171366E-6,,,,,,,,,,,,,,,,,,,,,69.9208679199219,69.9940185546875,200.198501586914,200.198501586914,52.6458072842748,5.66855931535091,24.3129024505615,28,1,0,0,1,0.306854248046875,30.7917900085449,2,1,1,69.9208679199219,0,69.9574432373047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385026.4147,69.893611907959,200.198501586914,0.00204803677616984,9.83022981119703E-7,1,2,13.9012460708618,4.99923942668015,6.47999998182058,2.45769591222266,0.368618631205453,10,-7.08049022158591E-6,,,,,,,,,,,,,,,,,,,,,69.8663558959961,69.9208679199219,200.198501586914,200.198501586914,52.6876244100537,5.66836950270589,24.2966079711914,28,1,0,0,1,0.313644409179687,31.2805480957031,2,1,1,69.8663558959961,0,69.893611907959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385028.50088,69.8371849060059,200.198501586914,0.00206655076516866,9.13354755007183E-7,1,2,13.9012460708618,4.99913799967539,6.47999998182058,2.47984355541119,0.371931537372212,10,-7.15176532858499E-6,,,,,,,,,,,,,,,,,,,,,69.8080139160156,69.8663558959961,200.198501586914,200.198501586914,52.7841555321787,5.66855387698213,24.3478660583496,28,1,0,0,1,0.313796997070313,31.2805480957031,2,1,1,69.8080139160156,0,69.8371849060059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385030.53525,69.783519744873,200.198501586914,0.00208264717720151,8.20880817776434E-7,1,2,13.9012460708618,4.99913799967539,6.47999998182058,2.49914151552156,0.374943156200502,10,-7.11188965247688E-6,,,,,,,,,,,,,,,,,,,,,69.7636947631836,69.8033447265625,200.198501586914,200.198501586914,52.7321772356498,5.66855387698213,24.3396263122559,28,1,0,0,1,0.31494140625,31.2805480957031,2,1,1,69.7636947631836,0,69.783519744873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385032.75971,69.7440452575684,200.198501586914,0.00209662245747124,6.66692797551441E-7,1,2,13.9012460708618,4.99906360608881,6.47999998182058,2.5158761057263,0.377338633968098,10,-7.25349781704656E-6,,,,,,,,,,,,,,,,,,,,,69.7243957519531,69.7636947631836,200.198501586914,200.198501586914,52.7884544890344,5.66887192132004,24.3250885009766,28,1,0,0,1,0.313873291015625,31.2805480957031,2,1,1,69.7243957519531,0,69.7440452575684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385034.47762,69.6999778747559,200.198501586914,0.00210786278400103,5.42190200314062E-7,1,2,13.9012460708618,4.99913033599182,6.47999998182058,2.52940953643134,0.379383036667622,10,-7.28047086437374E-6,,,,,,,,,,,,,,,,,,,,,69.6755599975586,69.7243957519531,200.198501586914,200.198501586914,52.7118548941498,5.66894154058719,24.3356227874756,28,1,0,0,1,0.315475463867188,31.2805480957031,2,1,1,69.6722106933594,0,69.6999778747559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385036.57324,69.656120300293,200.198501586914,0.002117369283328,4.77312403385388E-7,1,2,13.9012460708618,4.99907924306605,6.47999998182058,2.54077037583753,0.381155163376701,10,-7.25777939742814E-6,,,,,,,,,,,,,,,,,,,,,69.6425323486328,69.6697082519531,200.198501586914,200.198501586914,52.646588912794,5.66896225525582,24.3518161773682,28,1,0,0,1,0.3076171875,31.2805480957031,2,1,1,69.6425323486328,0,69.656120300293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385038.70004,69.6229057312012,200.198501586914,0.00212569236599098,4.31643400989757E-7,1,2,13.9012460708618,4.99907924306605,6.47999998182058,2.55076577056043,0.382601441494901,10,-7.32965737633041E-6,,,,,,,,,,,,,,,,,,,,,69.6032791137695,69.6425323486328,200.198501586914,200.198501586914,52.6227492429575,5.66896225525582,24.3392677307129,28,1,0,0,1,0.307083129882812,31.2805480957031,2,1,1,69.6032791137695,0,69.6229057312012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385041.75662,69.579532623291,200.198501586914,0.00213939804857958,3.65255940899871E-7,1,2,13.9012460708618,4.99906687784915,6.47999998182058,2.56724198432816,0.384814442268529,10,-7.58747502617162E-6,,,,,,,,,,,,,,,,,,,,,69.5557861328125,69.6032791137695,200.198501586914,200.198501586914,52.6094615581306,5.66913902486092,24.3372344970703,28,1,0,0,1,0.308151245117188,31.2805480957031,2,1,1,69.5557861328125,0,69.579532623291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772385044.52594,69.5428848266602,200.198501586914,0.00214586187510191,3.66038125880002E-7,1,2,13.9012460708618,4.99906687784915,6.47999998182058,2.57496900795672,0.386168990205068,10,-7.45039608411305E-6,,,,,,,,,,,,,,,,,,,,,69.5313415527344,69.5544281005859,200.198501586914,200.198501586914,52.7102916371113,5.66913902486092,24.3646507263184,28,1,0,0,1,0.308761596679687,31.2805480957031,2,1,1,69.5313415527344,0,69.5428848266602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
