[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,ZFC_49p5K
FILEOPENTIME,3754343955.25457,12/19/2018,1:18 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,CoIINO3,SAMPLE_MATERIAL
INFO,40 Hours Pumped Turbo,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.37,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3754344092.75084,49.4607963562012,0.327855855226517,,,5,,,,3.65000008605421,,,,,0.000578605711259877,1.38058142751696E-8,-0.00041241335333897,1.03510371490735E-5,0.000578530549395365,1.38040208764495E-8,0.000578530549380378,1.24389345355554E-8,-4.16424605635465E-9,5.98530700780004E-9,1.0001299185749,10.005763053894,2,20,1,3,1.8927576859808,0.166115064192335,0.0404026173055172,172.741912841797,49.4253845214844,49.4716300964355,0.327855855226517,0.327855855226517,,,74.2173843383789,0,1,,,,,,1,1,1,49.4551086425781,0,49.4471806612882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754344115.56844,49.4017429351807,20.047779083252,,,5,,,,3.65000008605421,,,,,0.000577927222850585,1.93810330340693E-8,-0.000766583181947667,1.85038047051629E-5,0.000577851987018115,1.9378509968713E-8,0.000577851986966395,1.61635438050743E-8,-7.73131317270531E-9,1.06895509853759E-8,1.00013019914123,10.005763053894,2,20,1,3,1.89053673415806,0.165948666332965,0.0404026173055172,172.741912841797,49.3960151672363,49.405200958252,20.047779083252,20.047779083252,,,74.2298202514648,0,1,,,,,,1,1,1,49.4004554748535,0,49.3992931365967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754344137.23653,49.3962535858154,40.1562690734863,,,5,,,,3.65000008605421,,,,,0.000577416906960267,1.60712755317827E-8,-0.00198180712565854,1.87450371766962E-5,0.000577341551412093,1.6069178156796E-8,0.000577341551066727,1.18798187408453E-8,-1.99697012593719E-8,1.08207390375847E-8,1.0001305216089,10.005763053894,2,20,1,3,1.88886837541676,0.16580273185464,0.0404026173055172,172.741912841797,49.3953895568848,49.4018669128418,40.1562690734863,40.1562690734863,,,74.2671356201172,0,1,,,,,,1,1,1,49.3969192504883,0,49.3978588104248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754344159.11625,49.4143180847168,60.1676177978516,,,5,,,,3.65000008605421,,,,,0.000577451399086639,1.72424353928579E-8,-0.00115028805420891,2.49216906696959E-5,0.000577376025428952,1.72401847698183E-8,0.000577376025312594,9.49721082248768E-9,-1.15915823196242E-8,1.43884313770021E-8,1.0001305451809,10.005763053894,2,20,1,3,1.8889763071848,0.165880443469313,0.0404026173055172,172.741912841797,49.410587310791,49.4297142028809,60.1676177978516,60.1676177978516,,,74.304443359375,0,1,,,,,,1,1,1,49.4163055419922,0,49.4193649291992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754344180.74917,49.4411163330078,80.0696868896484,,,5,,,,3.65000008605421,,,,,0.000582113292474874,1.30852126037888E-8,0.00605178243175875,1.3732477149814E-5,0.000582037331070551,1.3083505082009E-8,0.000582037327823851,1.03595231207207E-8,6.14768368313553E-8,7.99114421983532E-9,1.00013050950561,10.005763053894,2,20,1,3,1.90420289362563,0.167499470424888,0.0404026173055172,172.741912841797,49.4401245117188,49.4448852539063,80.0696868896484,80.0696868896484,,,74.3790664672852,0,1,,,,,,1,1,1,49.4413223266602,0,49.4419498443604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754344202.66846,49.4609279632568,100.129608154297,,,5,,,,3.65000008605421,,,,,0.000596270029388001,2.00003426236904E-8,0.0171594645892696,1.68041462394901E-5,0.000596192158921418,1.99977306594206E-8,0.000596192132184061,1.73096100466474E-8,1.78553083201242E-7,1.0014321322972E-8,1.00013061303376,10.005763053894,2,20,1,3,1.9504763681842,0.171992923132965,0.0404026173055172,172.741912841797,49.4568710327148,49.4670906066895,100.129608154297,100.129608154297,,,74.4536895751953,0,1,,,,,,1,1,1,49.461986541748,0,49.4626087188721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754344224.24719,49.4861297607422,120.140960693359,,,5,,,,3.65000008605421,,,,,0.000618271261567303,2.41470158573875E-8,0.0458431500888796,2.56255155782562E-5,0.000618190514122414,2.41438622095417E-8,0.000618190316245122,1.82227553986291E-8,4.94622775700116E-7,1.5838474297579E-8,1.00013061902932,10.005763053894,2,20,1,3,2.02235300310315,0.179394822412783,0.0404026173055172,172.741912841797,49.4822120666504,49.498291015625,120.140960693359,120.140960693359,,,74.5531845092773,0,1,,,,,,1,1,1,49.4880676269531,0,49.4903930664062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754344246.14573,49.5044536590576,140.164443969727,,,5,,,,3.65000008605421,,,,,0.000652346910543151,6.71190430378895E-8,0.0950842451307414,6.50196434072795E-5,0.000652261839301003,6.71102901791409E-8,0.000652260941120266,5.20208515941246E-8,1.08244964423163E-6,4.23983731686791E-8,1.00013042498736,10.005763053894,2,20,1,3,2.13364741217363,0.191161498779632,0.0404026173055172,172.741912841797,49.5035438537598,49.5052146911621,140.164443969727,140.164443969727,,,74.6278076171875,0,1,,,,,,1,1,1,49.5039863586426,0,49.5043254852295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754344270.26911,49.5167274475098,160.078659057617,,,5,,,,3.65000008605421,,,,,0.000691679630241004,2.85841752239404E-8,0.0943165575445981,1.55871741853235E-5,0.000691589437978965,2.85804479616224E-8,0.000691588500958933,2.64762192838436E-8,1.13844869761565E-6,1.07634482449089E-8,1.00013041301253,10.005763053894,2,20,10,3,2.26229358080738,0.202705284001464,0.0404026173055172,172.741912841797,49.5093307495117,49.5174026489258,160.078659057617,160.078659057617,,,74.7148666381836,0,1,,,,,,1,1,1,49.51611328125,0,49.513738155365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754344297.34826,49.5417671203613,180.077865600586,,,5,,,,3.65000008605421,,,,,0.000721913165806625,9.78810725583798E-8,0.0822719668721561,7.15855199959325E-5,0.000721818949434083,9.78682981693898E-8,0.000721818205290563,8.31330381071371E-8,1.03647153058788E-6,5.1643990566666E-8,1.00013052632189,10.005763053894,2,20,10,3,2.36122037890586,0.211119665675647,0.0404026173055172,172.741912841797,49.5383110046387,49.5423851013184,180.077865600586,180.077865600586,,,74.8143692016602,0,1,,,,,,1,1,1,49.5422744750977,0,49.5408897399902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
