[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,ZFC_50K
FILEOPENTIME,3754342777.1477,12/19/2018,12:59 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,CoIINO3,SAMPLE_MATERIAL
INFO,40 Hours Pumped Turbo,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.37,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3754342916.30978,49.9410514831543,0.169999331235886,,,5,,,,3.65000008605421,,,,,0.000576479847902375,2.24617506680355E-8,-0.00046883317358315,1.11330570264046E-5,0.000576404991586529,2.24588339938299E-8,0.000576404991567232,2.15251005580388E-8,-4.71653904996549E-9,6.40853105857563E-9,1.00012986757044,10.005763053894,2,20,1,3,1.88580379893368,0.165501023934258,0.0404026173055172,172.741912841797,49.916877746582,49.9520568847656,0.169999331235886,0.169999331235886,,,71.9165191650391,0,1,,,,,,1,1,1,49.9364204406738,0,49.9313571929932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754342939.35799,49.9017734527588,20.1206340789795,,,5,,,,3.65000008605421,,,,,0.000575542239536811,1.5040552701871E-8,-0.00152174998993715,1.5418430658762E-5,0.000575467284867318,1.50385939235585E-8,0.000575467284664348,1.21436247206271E-8,-1.52841508099753E-8,8.87083343560592E-9,1.00013025009669,10.005763053894,2,20,1,3,1.882737201862,0.165237559966012,0.0404026173055172,172.741912841797,49.8979949951172,49.903491973877,20.1206340789795,20.1206340789795,,,71.9413909912109,0,1,,,,,,1,1,1,49.9009246826172,0,49.9002040516246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754342960.94909,49.9030456542969,40.0834121704102,,,5,,,,3.65000008605421,,,,,0.000574942569371833,1.29380050097407E-8,-0.00157209319406615,1.08428558740266E-5,0.000574867593380698,1.29363178155746E-8,0.000574867593164302,1.13369235495081E-8,-1.57733333695762E-8,6.23076905832336E-9,1.00013042306089,10.005763053894,2,20,1,3,1.88077320092635,0.165103918129004,0.0404026173055172,172.741912841797,49.9020881652832,49.9083518981934,40.0834121704102,40.0834121704102,,,72.0035781860352,0,1,,,,,,1,1,1,49.903392791748,0,49.9043960571289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754342982.87557,49.9332847595215,59.9611892700195,,,5,,,,3.65000008605421,,,,,0.000575051820320085,1.53305481918244E-8,-0.000149350979711471,2.1674574490122E-5,0.000574976694128003,1.53285453710916E-8,0.00057497669412605,8.92594206322978E-9,-1.49877239316686E-9,1.24616155243804E-8,1.00013065954299,10.005763053894,2,20,1,3,1.88112402151846,0.16522192181907,0.0404026173055172,172.741912841797,49.9272689819336,49.9446907043457,59.9611892700195,59.9611892700195,,,72.0533294677734,0,1,,,,,,1,1,1,49.9354057312012,0,49.9370441436768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754343004.53887,49.9542560577393,80.021110534668,,,5,,,,3.65000008605421,,,,,0.000580836333302754,1.26256970236042E-8,0.00850675102564669,8.7377215195255E-6,0.000580760627009764,1.26240513883998E-8,0.000580760620608742,1.15607572597377E-8,8.62260027406007E-8,5.07105166985921E-9,1.00013035713764,10.005763053894,2,20,1,3,1.9000187098789,0.167211692500838,0.0404026173055172,172.741912841797,49.9532508850098,49.9567031860352,80.021110534668,80.021110534668,,,72.1279525756836,0,1,,,,,,1,1,1,49.9544677734375,0,49.9550231933594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754343029.57372,49.9584484100342,100.044609069824,,,5,,,,3.65000008605421,,,,,0.000596707193913369,1.61816714390931E-8,0.0186504376100256,1.83473364918976E-5,0.000596629441452513,1.61795629262613E-8,0.000596629409843752,1.19158253291563E-8,1.94209766795616E-7,1.09449240842451E-8,1.00013031951737,10.005763053894,2,20,10,3,1.95190206911046,0.172167996225661,0.0404026173055172,172.741912841797,49.9580535888672,49.9723815917969,100.044609069824,100.044609069824,,,72.2150115966797,0,1,,,,,,1,1,1,49.9586334228516,0,49.9617578983307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754343054.90885,49.9881420135498,119.97095489502,,,5,,,,3.65000008605421,,,,,0.000620943139041722,3.46035797474249E-8,0.0679139141010747,2.93321527059354E-5,0.000620862168503632,3.45990674655494E-8,0.000620861732352095,2.94241380699248E-8,7.35921048026733E-7,1.82020759345643E-8,1.00013041628593,10.005763053894,2,20,10,3,2.03102328737589,0.180950370912992,0.0404026173055172,172.741912841797,49.9859504699707,49.9947700500488,119.97095489502,119.97095489502,,,72.3145065307617,0,1,,,,,,1,1,1,49.9894371032715,0,49.9906845092773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754343077.71808,49.9972763061523,140.006591796875,,,5,,,,3.65000008605421,,,,,0.000658287826196162,7.48635914052455E-8,0.115368613544918,6.43483354765798E-5,0.000658202012879062,7.48538323107388E-8,0.000658200678561673,6.17329108012739E-8,1.32532977107335E-6,4.23337210224445E-8,1.00013037534894,10.005763053894,2,20,10,3,2.15301027396732,0.193662487112757,0.0404026173055172,172.741912841797,49.9966430664063,49.9984474182129,140.006591796875,140.006591796875,,,72.3891296386719,0,1,,,,,,1,1,1,49.9974594116211,0,49.9975249550559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754343099.30499,49.9990425109863,160.078659057617,,,5,,,,3.65000008605421,,,,,0.000697076537451718,8.66907148577179E-8,0.116143754165936,9.0418206714132E-5,0.000696985691334965,8.66794169379341E-8,0.000696984259344346,5.95193460222452E-8,1.41285239577149E-6,6.30140362918013E-8,1.00013034143725,10.005763053894,2,20,10,3,2.27986755878264,0.205153600558439,0.0404026173055172,172.741912841797,49.9986915588379,49.9999847412109,160.078659057617,160.078659057617,,,72.463752746582,0,1,,,,,,1,1,1,49.9993934631348,0,49.9993991851807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754343121.19346,50.0132656097412,180.15071105957,,,5,,,,3.65000008605421,,,,,0.000724227763197302,7.32592099620158E-8,0.0830883017546942,3.73661245194995E-5,0.000724133322709203,7.32496568408871E-8,0.000724132561291515,6.80851276398914E-8,1.05011202310026E-6,2.7017172716023E-8,1.00013041864687,10.005763053894,2,20,10,3,2.3687880635963,0.211828612903318,0.0404026173055172,172.741912841797,50.0117797851562,50.0133590698242,180.15071105957,180.15071105957,,,72.5383758544922,0,1,,,,,,1,1,1,50.0131721496582,0,50.0127517700195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
