[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,ZFC_53p5K
FILEOPENTIME,3754334574.42651,12/18/2018,10:42 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,CoIINO3,SAMPLE_MATERIAL
INFO,40 Hours Pumped Turbo,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.37,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3754334704.19642,53.4799308776855,0.0364284291863441,,,5,,,,3.65000008605421,,,,,0.000558758281794349,1.91676703023871E-8,0.00173082062120145,9.30533148923278E-6,0.000558685901992225,1.91651873822607E-8,0.000558685901737309,1.84488694450278E-8,1.68770734600933E-8,5.19072476610794E-9,1.00012955365773,10.005763053894,2,20,1,3,1.82782700826687,0.160473834812159,0.0404026173055172,172.741912841797,53.4522399902344,53.485969543457,0.0364284291863441,0.0364284291863441,,,57.0541725158691,0,1,,,,,,1,1,1,53.4768714904785,0,53.4703199213201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754334726.94412,53.4178829193115,19.9263496398926,,,5,,,,3.65000008605421,,,,,0.000553966952695424,2.00002843826205E-8,-0.000879306399611757,1.24406878048694E-5,0.000553895177026924,1.9997693011827E-8,0.000553895176961696,1.87751919485821E-8,-8.50051396444543E-9,6.88475802691526E-9,1.00012958348705,10.005763053894,2,20,1,3,1.81215831918079,0.159053943326307,0.0404026173055172,172.741912841797,53.4049797058105,53.4229850769043,19.9263496398926,19.9263496398926,,,57.0914878845215,0,1,,,,,,1,1,1,53.4153900146484,0,53.4131126403809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754334748.59952,53.396427154541,39.961986541748,,,5,,,,3.65000008605421,,,,,0.00055341239001558,1.71214972644659E-8,-1.67624800733179E-5,1.19965698670857E-5,0.000553340530958201,1.7119274085736E-8,0.000553340530958178,1.57817560387886E-8,-1.61885564744399E-10,6.63368084510496E-9,1.00012986407711,10.005763053894,2,20,1,3,1.81033941804408,0.158960835278517,0.0404026173055172,172.741912841797,53.3960914611816,53.3984603881836,39.961986541748,39.961986541748,,,57.1412315368652,0,1,,,,,,1,1,1,53.3963851928711,0,53.396626663208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754334770.51825,53.4156684875488,59.9976196289063,,,5,,,,3.65000008605421,,,,,0.000559285972329002,8.31200639395389E-9,0.0205260530385436,1.01439291073081E-5,0.00055921317914698,8.3109245549228E-9,0.000559213143261974,6.07471281699282E-9,2.00336555799486E-7,5.67180140243662E-9,1.00013017071975,10.005763053894,2,20,1,3,1.82949310900508,0.161343085499438,0.0404026173055172,172.741912841797,53.4101486206055,53.4322128295898,59.9976196289063,59.9976196289063,,,57.1909828186035,0,1,,,,,,1,1,1,53.4181900024414,0,53.4210334777832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754334792.31121,53.4395847320557,79.8754043579102,,,5,,,,3.65000008605421,,,,,0.000580333643047699,4.24800052752339E-8,0.0946140786903831,6.94211155073239E-5,0.000580258274487629,4.24744883508444E-8,0.000580257483340033,1.34553569624661E-8,9.58195831498323E-7,4.02869151174253E-8,1.00012988795401,10.005763053894,2,20,1,3,1.89812199889745,0.169909825640995,0.0404026173055172,172.741912841797,53.4385032653809,53.4422798156738,79.8754043579102,79.8754043579102,,,57.2531700134277,0,1,,,,,,1,1,1,53.4400405883789,0,53.4401664733887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754334817.22704,53.454029083252,100.008171081543,,,5,,,,3.65000008605421,,,,,0.000624395955934456,5.01492398391671E-8,0.26430901119758,2.62721594697913E-5,0.00062431473892071,5.01427167804211E-8,0.000624308096115812,4.74087550508366E-8,2.87999268831051E-6,1.63310131544645E-8,1.00013008985482,10.005763053894,2,20,10,3,2.04168517208053,0.188902087819769,0.0404026173055172,172.741912841797,53.4496269226074,53.4640693664551,100.008171081543,100.008171081543,,,57.3402290344238,0,1,,,,,,1,1,1,53.4550514221191,0,53.4557819366455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754334842.61884,53.5112113952637,120.031669616699,,,5,,,,3.65000008605421,,,,,0.000671388957754838,1.40778019091439E-7,0.239276736505301,0.000171138466780085,0.000671301566603486,1.40759694760913E-7,0.000671295712738219,8.13112208177381E-8,2.8034592169726E-6,1.14898986237105E-7,1.00013018165859,10.005763053894,2,20,10,3,2.19543098422248,0.202206883165486,0.0404026173055172,172.741912841797,53.5042839050293,53.5189247131348,120.031669616699,120.031669616699,,,57.4272880554199,0,1,,,,,,1,1,1,53.5137596130371,0,53.514350197532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754334865.36992,53.5518836975098,140.140167236328,,,5,,,,3.65000008605421,,,,,0.000699550804198284,1.19859102310274E-7,0.188897763784012,0.000114829207274532,0.000699459890475932,1.19843525404232E-7,0.000699456089100225,8.89634761880678E-8,2.30603669123892E-6,8.02992558237614E-8,1.00012997703455,10.005763053894,2,20,10,3,2.28770093505009,0.208726258921682,0.0404026173055172,172.741912841797,53.5456771850586,53.5528297424316,140.140167236328,140.140167236328,,,57.4894752502441,0,1,,,,,,1,1,1,53.5524978637695,0,53.5504282171076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754334887.01742,53.5796718597412,159.969375610352,,,5,,,,3.65000008605421,,,,,0.000710165507119939,7.99980970127693E-8,0.153158680204717,3.9914793899346E-5,0.00071007320741375,7.99876997169616E-8,0.000710070670470002,7.48236218829819E-8,1.89811093770072E-6,2.82746832753858E-8,1.00012998618343,10.005763053894,2,20,10,3,2.32254213403505,0.210493918108047,0.0404026173055172,172.741912841797,53.5724601745605,53.5802421569824,159.969375610352,159.969375610352,,,57.5516586303711,0,1,,,,,,1,1,1,53.5802421569824,0,53.5776878356934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754334908.93376,53.5617637634277,179.932144165039,,,5,,,,3.65000008605421,,,,,0.000712572990409811,4.13723022570025E-8,0.0689235852336676,1.63526669516154E-5,0.000712480552785684,4.13669352877562E-8,0.000712480037280043,3.9701272391588E-8,8.5707363929908E-7,1.16203401667222E-8,1.0001297405575,10.005763053894,2,20,10,3,2.33072046990376,0.207830999484733,0.0404026173055172,172.741912841797,53.546947479248,53.5645179748535,179.932144165039,179.932144165039,,,57.6014060974121,0,1,,,,,,1,1,1,53.5602149963379,0,53.5563892364502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
