[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,ZFC_58K
FILEOPENTIME,3754323973.8616,12/18/2018,7:45 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,CoIINO3,SAMPLE_MATERIAL
INFO,40 Hours Pumped Turbo,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.37,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3754324102.53347,57.9852466583252,0.0607140436768532,,,5,,,,3.65000008605421,,,,,0.000426669477146299,1.35811261834527E-6,-0.0831878477288264,0.000418003882093535,0.00042661440323422,1.3579373150275E-6,0.000426613953578675,1.34615992827578E-6,-6.19402019627688E-7,1.78457835492469E-7,1.00012909529463,10.005763053894,2,20,1,3,1.39591480028052,0.120462634361471,0.0404026173055172,172.741912841797,57.9698181152344,57.9882392883301,0.0607140436768532,0.0607140436768532,,,38.833812713623,0,1,,,,,,1,1,1,57.9836730957031,0,57.9797451019287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754324124.25422,57.9372749328613,19.9870643615723,,,5,,,,3.65000008605421,,,,,0.000377995627323525,8.0636838703278E-7,-0.00653577664710969,0.000286976625235659,0.000377946971483922,8.06264590776779E-7,0.00037794696902497,7.99023484207863E-7,-4.31127214902344E-8,1.0781494342054E-7,1.00012873721256,10.005763053894,2,20,1,3,1.23652530537539,0.108401217710088,0.0404026173055172,172.741912841797,57.9161186218262,57.9442520141602,19.9870643615723,19.9870643615723,,,38.9084358215332,0,1,,,,,,1,1,1,57.9334182739258,0,57.9292182922363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754324146.12862,57.899845123291,40.0591278076172,,,5,,,,3.65000008605421,,,,,0.000359092380220897,6.15651298986738E-7,0.0256136428995823,0.000228744114198682,0.000359046030622093,6.15571834224234E-7,0.000359045994744974,6.10167018075895E-7,1.60508794621642E-7,8.13934465578041E-8,1.00012909096565,10.005763053894,2,20,1,3,1.17462816096729,0.103664551730899,0.0404026173055172,172.741912841797,57.8968696594238,57.9015121459961,40.0591278076172,40.0591278076172,,,38.9457473754883,0,1,,,,,,1,1,1,57.8992080688477,0,57.8988227844238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754324167.81394,57.9137191772461,59.9247627258301,,,5,,,,3.65000008605421,,,,,0.00032918281742352,4.81947877539628E-7,0.0598368429340193,0.000211141941832885,0.000329140157272097,4.81885419937513E-7,0.000329139977780999,4.76951589385592E-7,3.43737435484435E-7,6.87803702440678E-8,1.00012961089821,10.005763053894,2,20,1,3,1.07673250928259,0.0956961463337717,0.0404026173055172,172.741912841797,57.9086380004883,57.9294929504394,59.9247627258301,59.9247627258301,,,38.9830589294434,0,1,,,,,,1,1,1,57.9162788391113,0,57.919758605957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754324189.65839,57.9506778717041,79.8875350952148,,,5,,,,3.65000008605421,,,,,0.000302937850338322,3.21363403842502E-7,0.0662134940754546,0.000144368473828941,0.00030289867028181,3.21321840741987E-7,0.00030289846801945,3.18405002238553E-7,3.50042795759891E-7,4.3196989331266E-8,1.00012935037475,10.005763053894,2,20,1,3,0.990876036778349,0.0881979351621059,0.0404026173055172,172.741912841797,57.9476051330566,57.9538116455078,79.8875350952148,79.8875350952148,,,39.0452461242676,0,1,,,,,,1,1,1,57.9518508911133,0,57.9516201019287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754324211.19826,57.9547214508057,100.020317077637,,,5,,,,3.65000008605421,,,,,0.000288504297220541,2.23986441997803E-7,0.0657160462881254,0.000113795239577034,0.000288467029873563,2.23957508701028E-7,0.000288466840131452,2.21589056698638E-7,3.30860469872365E-7,3.24846987823291E-8,1.00012919101013,10.005763053894,2,20,1,3,0.943664937606214,0.0840078602089463,0.0404026173055172,172.741912841797,57.9531478881836,57.9553680419922,100.020317077637,100.020317077637,,,39.1074295043945,0,1,,,,,,1,1,1,57.9543075561523,0,57.9540942798961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754324233.36222,57.9663791656494,120.01953125,,,5,,,,3.65000008605421,,,,,0.000269803386829137,2.53953642911456E-7,0.102234390367189,0.000130856235359689,0.000269768453227181,2.53920761502586E-7,0.000269768023779948,2.51527292570883E-7,4.81354804064111E-7,3.4781808665085E-8,1.00012949476315,10.005763053894,2,20,1,3,0.882444920798716,0.0791437861886453,0.0404026173055172,172.741912841797,57.9615669250488,57.9816093444824,120.01953125,120.01953125,,,39.1696166992188,0,1,,,,,,1,1,1,57.9686851501465,0,57.9716732025146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754324255.16703,57.9934120178223,139.909454345703,,,5,,,,3.65000008605421,,,,,0.000255622822138058,1.20265991913627E-7,0.0719103191114963,0.000114821721997022,0.000255589789898299,1.20250450832253E-7,0.000255589588595128,1.16641524536074E-7,3.20783462310198E-7,2.92391121489818E-8,1.00012923927741,10.005763053894,2,20,1,3,0.836103048039526,0.0745593540498975,0.0404026173055172,172.741912841797,57.9919128417969,57.9960670471191,139.909454345703,139.909454345703,,,39.2318000793457,0,1,,,,,,1,1,1,57.9942512512207,0,57.9943328857422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754324277.16312,57.9977855682373,160.030090332031,,,5,,,,3.65000008605421,,,,,0.000247481674589507,1.16755639176332E-7,0.0629626759807804,0.000130115527782215,0.000247449701665162,1.16740555153548E-7,0.00024744955225574,1.12237143298422E-7,2.71923907557412E-7,3.21120052592158E-8,1.00012920979144,10.005763053894,2,20,1,3,0.809484767990073,0.0720757827555574,0.0404026173055172,172.741912841797,57.9970359802246,57.9986763000488,160.030090332031,160.030090332031,,,39.281551361084,0,1,,,,,,1,1,1,57.9981460571289,0,57.9981190074574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754324299.90401,57.9992828369141,179.956420898438,,,5,,,,3.65000008605421,,,,,0.000241054351882224,1.08907301733631E-7,0.0778578252108666,0.000109425297318704,0.000241023220478348,1.08893236701538E-7,0.00024102299794859,1.05676706755233E-7,3.27520423947642E-7,2.62710991149123E-8,1.00012916350472,10.005763053894,2,20,1,3,0.788442375642273,0.0704256975102706,0.0404026173055172,172.741912841797,57.9989700317383,57.9994773864746,179.956420898438,179.956420898438,,,39.3437347412109,0,1,,,,,,1,1,1,57.9991264343262,0,57.9991886138916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
